date,n_factor_files,median_pairwise_rowset_jaccard,min_pairwise_rowset_jaccard,mom1m_rows_in_listed,top_mcap_n_jaccard,share_factor_rows_in_top_mcap_n,median_mcap_pct_rank_of_factor_rows
2020-12-07,8,1.0,1.0,685,0.9712230215827338,0.9854014598540146,0.8330087633885103
2020-12-14,8,1.0,1.0,699,0.9829787234042553,0.9914163090128756,0.8304178814382897
2020-12-21,8,1.0,1.0,711,0.9695290858725761,0.9845288326300985,0.8277535177098496
2020-12-29,8,1.0,1.0,709,0.9776847977684798,0.9887165021156559,0.8285714285714286
2021-01-07,8,1.0,1.0,735,0.9678714859437751,0.9836734693877551,0.8222760290556901
2021-01-14,8,1.0,1.0,729,0.9782903663500678,0.9890260631001372,0.823728813559322
2021-01-21,8,1.0,1.0,742,0.9760319573901465,0.9878706199460916,0.820754716981132
2021-01-28,8,1.0,1.0,771,0.9769230769230769,0.9883268482490273,0.8140994688556253
2021-02-04,8,1.0,1.0,749,0.9736495388669302,0.986648865153538,0.8197590361445783
2021-02-15,8,1.0,1.0,756,0.96875,0.9841269841269841,0.8183349374398461
2021-02-22,8,1.0,1.0,775,0.9770408163265306,0.9883870967741936,0.8138528138528138
2021-03-02,8,1.0,1.0,758,0.9816993464052287,0.9907651715039578,0.8183781190019194
2021-03-09,8,1.0,1.0,740,0.9707057256990679,0.9851351351351352,0.8227817745803357
2021-03-16,8,1.0,1.0,738,0.9812080536912752,0.9905149051490515,0.8231211105792244
2021-03-23,8,1.0,1.0,756,0.9764705882352941,0.9880952380952381,0.8195506692160612
2021-03-30,8,1.0,1.0,761,0.9766233766233766,0.988173455978975,0.8185291308500477
2021-04-06,8,1.0,1.0,783,0.9772727272727273,0.9885057471264368,0.813365155131265
2021-04-13,8,1.0,1.0,800,0.968019680196802,0.98375,0.8093078758949881
2021-04-20,8,1.0,1.0,821,0.9688249400479616,0.9841656516443362,0.8042959427207638
2021-04-27,8,1.0,1.0,837,0.9787234042553191,0.989247311827957,0.8006676204101096
2021-05-04,8,1.0,1.0,828,0.9597633136094674,0.9794685990338164,0.8029075309818875
2021-05-12,8,1.0,1.0,850,0.9744483159117305,0.9870588235294118,0.79728442115293
2021-05-20,8,1.0,1.0,831,0.9668639053254438,0.9831528279181708,0.8025689819219791
2021-05-27,8,1.0,1.0,824,0.9736526946107784,0.9866504854368932,0.8042240151874704
2021-06-03,8,1.0,1.0,862,0.9793340987370838,0.9895591647331786,0.7958748221906117
2021-06-10,8,1.0,1.0,865,0.9794050343249427,0.9895953757225433,0.7951635846372689
2021-06-17,8,1.0,1.0,860,0.9815668202764977,0.9906976744186047,0.7964454976303317
2021-06-24,8,1.0,1.0,858,0.9792387543252595,0.9895104895104895,0.7970156324017054
2021-07-01,8,1.0,1.0,869,0.9840182648401826,0.9919447640966629,0.7945075757575758
2021-07-08,8,1.0,1.0,882,0.9820224719101124,0.9909297052154195,0.7914299242424242
2021-07-15,8,1.0,1.0,869,0.9840182648401826,0.9919447640966629,0.7946048272598202
2021-07-22,8,1.0,1.0,865,0.9771428571428571,0.9884393063583815,0.7957446808510639
2021-07-29,8,1.0,1.0,865,0.9839449541284404,0.991907514450867,0.7959376476145489
2021-08-05,8,1.0,1.0,862,0.9793340987370838,0.9895591647331786,0.7966461974492206
2021-08-12,8,1.0,1.0,871,0.981797497155859,0.9908151549942594,0.795004712535344
2021-08-20,8,1.0,1.0,842,0.9718969555035128,0.9857482185273159,0.8014567669172932
2021-08-27,8,1.0,1.0,849,0.9790209790209791,0.9893992932862191,0.8008454673555659
2021-09-03,8,1.0,1.0,862,0.9793340987370838,0.9895591647331786,0.7979821679962459
2021-09-10,8,1.0,1.0,859,0.9792626728110599,0.989522700814901,0.7988748241912799
2021-09-17,8,1.0,1.0,860,0.9792865362485615,0.9895348837209302,0.7982661668228679
2021-09-29,8,1.0,1.0,847,0.967479674796748,0.9834710743801653,0.8021515434985969
2021-10-07,8,1.0,1.0,798,0.9752475247524752,0.9874686716791979,0.813785046728972
2021-10-15,8,1.0,1.0,812,0.970873786407767,0.9852216748768473,0.8107792813812412
2021-10-22,8,1.0,1.0,833,0.9786223277909739,0.9891956782713085,0.806060606060606
2021-10-29,8,1.0,1.0,839,0.9811097992916175,0.9904648390941597,0.8049348230912476
2021-11-05,8,1.0,1.0,834,0.9786476868327402,0.9892086330935251,0.8063691306369131
2021-11-12,8,1.0,1.0,806,0.982779827798278,0.9913151364764268,0.8133116883116883
2021-11-19,8,1.0,1.0,822,0.9735894357743097,0.98661800486618,0.8097775718257646
2021-11-26,8,1.0,1.0,823,0.9759903961584634,0.9878493317132442,0.8097222222222222
2021-12-03,8,1.0,1.0,787,0.982367758186398,0.9911054637865311,0.8181397501156872
2021-12-10,8,1.0,1.0,807,0.9731051344743277,0.9863692688971499,0.8135985198889917
2021-12-17,8,1.0,1.0,820,0.9854721549636803,0.9926829268292683,0.8105920444033303
2021-12-24,8,1.0,1.0,810,0.978021978021978,0.9888888888888889,0.8129047178538391
2022-01-03,8,1.0,1.0,832,0.9809523809523809,0.9903846153846154,0.8079056865464633
2022-01-10,8,1.0,1.0,826,0.9666666666666667,0.9830508474576272,0.8092926490984744
2022-01-17,8,1.0,1.0,830,0.9785458879618594,0.9891566265060241,0.8083680073971335
2022-01-24,8,1.0,1.0,808,0.9683313032886723,0.9839108910891089,0.8137119113573408
2022-02-03,8,1.0,1.0,735,0.9678714859437751,0.9836734693877551,0.8306414397784956
2022-02-10,8,1.0,1.0,779,0.9872448979591837,0.993581514762516,0.82081989866421
2022-02-17,8,1.0,1.0,742,0.9813084112149533,0.9905660377358491,0.8294198895027625
2022-02-24,8,1.0,1.0,765,0.9767441860465116,0.9882352941176471,0.824367816091954
2022-03-04,8,1.0,1.0,786,0.9748743718592965,0.9872773536895675,0.8198715006883892
2022-03-14,8,1.0,1.0,777,0.9796178343949045,0.9897039897039897,0.8220999541494727
2022-03-21,8,1.0,1.0,796,0.9825653798256538,0.9912060301507538,0.8178276810265811
2022-03-28,8,1.0,1.0,820,0.97352587244284,0.9865853658536585,0.8125
2022-04-04,8,1.0,1.0,831,0.9738717339667459,0.98676293622142,0.8101555352241537
2022-04-11,8,1.0,1.0,821,0.9878934624697336,0.9939098660170523,0.8124428179322964
2022-04-18,8,1.0,1.0,826,0.9808153477218226,0.9903147699757869,0.8112991765782251
2022-04-25,8,1.0,1.0,844,0.969661610268378,0.9845971563981043,0.8071820677035682
2022-05-02,8,1.0,1.0,821,0.9830917874396136,0.9914738124238733,0.8125285779606767
