sample,universe,target,definition,metric,horizon,outcome,n_high,n_low,high_mean,low_mean,high_minus_low,nw_t
TRAIN_2017_2022,K200,REVISION,A,FH_A_HEALTHY_BREADTH,5,spread,37,254,0.002498430380092165,0.0024101999534714073,8.823042662075772e-05,0.028536999909879263
TRAIN_2017_2022,K200,REVISION,A,FH_A_HEALTHY_BREADTH,20,top,37,254,-0.0014900668555463588,0.008759179187497966,-0.010249246043044325,-0.6567856870079786
TRAIN_2017_2022,K200,REVISION,A,FH_A_HEALTHY_BREADTH,20,spread,37,254,0.014861439340271785,0.00942357387429155,0.005437865465980235,0.6634263513748563
TRAIN_2017_2022,K200,REVISION,A,FH_A_INCLUSIVE,5,top,27,215,-0.0006500389079002591,0.0018870989111837747,-0.0025371378190840337,-0.4395127689116336
TRAIN_2017_2022,K200,REVISION,A,FH_A_INCLUSIVE,5,spread,27,215,0.0015397135192834965,0.0027151384753463757,-0.0011754249560628793,-0.31316270763732357
TRAIN_2017_2022,K200,REVISION,A,FH_A_INCLUSIVE,20,top,27,215,-0.011191706688159477,0.008601063991246601,-0.019792770679406078,-1.1505634701966072
TRAIN_2017_2022,K200,REVISION,A,FH_A_INCLUSIVE,20,spread,27,215,0.008276484343757426,0.009609845930920942,-0.0013333615871635156,-0.12753189696649372
TRAIN_2017_2022,K200,REVISION,B,FH_B_NET_BREADTH,5,top,93,85,0.003919818265645112,0.00418685285921058,-0.0002670345935654678,-0.055863888337909846
TRAIN_2017_2022,K200,REVISION,B,FH_B_NET_BREADTH,5,spread,93,85,0.0030564772764511954,0.004788754338506834,-0.0017322770620556384,-0.6766481991414449
TRAIN_2017_2022,K200,REVISION,B,FH_B_NET_BREADTH,20,top,93,85,0.014957498713130405,0.011642238694720489,0.0033152600184099164,0.22929809835988896
TRAIN_2017_2022,K200,REVISION,B,FH_B_NET_BREADTH,20,spread,93,85,0.016354827016690925,0.008684942184076155,0.007669884832614771,1.0124288490828512
TRAIN_2017_2022,K200,REVISION,B,FH_B_INCLUSIVE,5,top,117,98,0.0020081386107410385,0.0011676521038346374,0.0008404865069064011,0.1897241340077648
TRAIN_2017_2022,K200,REVISION,B,FH_B_INCLUSIVE,5,spread,117,98,0.004256514457478871,0.0025081254607924944,0.0017483889966863767,0.7285391976968387
TRAIN_2017_2022,K200,REVISION,B,FH_B_INCLUSIVE,20,top,117,98,0.006242983796960198,0.006892056880975864,-0.000649073084015666,-0.047177565135798245
TRAIN_2017_2022,K200,REVISION,B,FH_B_INCLUSIVE,20,spread,117,98,0.015315986339292393,0.00694074387679591,0.008375242462496484,1.1799500775455145
TRAIN_2017_2022,K200,REVISION,C,FH_C_CONTINUOUS,5,top,97,97,0.002890860626988872,0.0011512322023223185,0.0017396284246665537,0.36113639849784573
TRAIN_2017_2022,K200,REVISION,C,FH_C_CONTINUOUS,5,spread,97,97,0.00312265268989103,0.0009263031646144384,0.0021963495252765915,0.8192012180810024
TRAIN_2017_2022,K200,REVISION,C,FH_C_CONTINUOUS,20,top,97,97,0.013682514459829234,0.007142618205958736,0.0065398962538704974,0.4508764272213334
TRAIN_2017_2022,K200,REVISION,C,FH_C_CONTINUOUS,20,spread,97,97,0.013370424200593952,0.003663634463868494,0.009706789736725457,1.2822306189818589
TRAIN_2017_2022,K200,REVISION,C,FH_C_INCLUSIVE,5,top,97,97,0.003440294400981099,0.0004017705588023453,0.003038523842178754,0.6242712732764504
TRAIN_2017_2022,K200,REVISION,C,FH_C_INCLUSIVE,5,spread,97,97,0.003372415502727264,0.0007417352848741396,0.0026306802178531243,1.031547914576844
TRAIN_2017_2022,K200,REVISION,C,FH_C_INCLUSIVE,20,top,97,97,0.010166812193647687,0.008341975524067109,0.0018248366695805783,0.1281499429690472
TRAIN_2017_2022,K200,REVISION,C,FH_C_INCLUSIVE,20,spread,97,97,0.01370243898080251,0.0052884848228728605,0.00841395415792965,1.1497837570915623
TRAIN_2017_2022,K200,VALUE,A,FH_A_HEALTHY_BREADTH,5,top,56,235,0.0032712734449515017,0.0009207535371736974,0.0023505199077778044,0.5428216521519242
TRAIN_2017_2022,K200,VALUE,A,FH_A_HEALTHY_BREADTH,5,spread,56,235,0.004186299766159026,-0.00012064415316788807,0.004306943919326914,1.146011397839081
TRAIN_2017_2022,K200,VALUE,A,FH_A_HEALTHY_BREADTH,20,top,56,235,-0.003442995902579318,0.008061277692485203,-0.01150427359506452,-0.9915756801319198
TRAIN_2017_2022,K200,VALUE,A,FH_A_HEALTHY_BREADTH,20,spread,56,235,0.008983182307219137,0.001155312527339847,0.007827869779879289,0.6298808543441021
