sample,universe,target,family,n,ex_beta_per_1sd,ex_t,self_beta_per_1sd,self_t
POST_2023_PLUS,KOSPI_ALL,VALUE,C,171,0.0017697023420303157,0.15109219861260023,-0.008998210402451244,-1.1798257644210621
POST_2023_PLUS,KOSPI_EX_K200,FLOW,A,171,-0.01388007951834529,-1.8359884057581815,0.010778901847520056,1.3782482327783825
POST_2023_PLUS,KOSPI_EX_K200,FLOW,B,171,-0.005485700536072539,-0.6535185425004475,0.0036087824065170436,0.5169200380116125
POST_2023_PLUS,KOSPI_EX_K200,FLOW,C,171,-0.005087311380863819,-0.49676757448645215,-0.0009166800223541369,-0.09906586371442701
POST_2023_PLUS,KOSPI_EX_K200,MOMENTUM,A,171,0.0027425752426449793,0.2930474196685198,-0.0006195859928841629,-0.05763468867614797
POST_2023_PLUS,KOSPI_EX_K200,MOMENTUM,B,171,0.0002904910552882174,0.03215429692955488,0.007949853045144142,0.8613037282531181
POST_2023_PLUS,KOSPI_EX_K200,MOMENTUM,C,171,0.006489440200047639,0.5153605952346794,-0.005264789836903829,-0.36301434494175294
POST_2023_PLUS,KOSPI_EX_K200,REVISION,A,171,-0.001562780413190074,-0.22242513564398556,0.003469176780037407,0.5367482336475592
POST_2023_PLUS,KOSPI_EX_K200,REVISION,B,171,0.0012828209833679728,0.17647487327977848,0.006252103535464517,0.8162376869367605
POST_2023_PLUS,KOSPI_EX_K200,REVISION,C,171,-0.0026051870254435987,-0.29096498598642834,0.009538859762957281,1.0303845004907934
POST_2023_PLUS,KOSPI_EX_K200,VALUE,A,171,-0.004884045734083945,-0.6796165601530668,-0.00782651935110041,-1.507487532210888
POST_2023_PLUS,KOSPI_EX_K200,VALUE,B,171,-0.003505403457423006,-0.5005064937652893,-0.011724958334487941,-1.8519358503997807
POST_2023_PLUS,KOSPI_EX_K200,VALUE,C,171,-0.006364706314054108,-0.6627069775161676,-0.0056615447326980985,-0.8764613746671245
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,FLOW,A,171,0.007323467223737501,0.8133868294360879,-0.001214094568743145,-0.16251754238045385
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,FLOW,B,171,0.0036188828916308663,0.3918225535603487,0.00044420234533410646,0.06551420270157765
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,FLOW,C,171,-0.016743773510020977,-1.275552014899317,0.016116681194274306,1.6310656342533092
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,MOMENTUM,A,171,0.007568672830070186,0.7923141556653257,0.010780919460991415,0.980554962979771
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,MOMENTUM,B,171,0.002668994940785931,0.2808942777155641,0.014120870130217074,1.307117456952422
