date,universe,factor,family,cut_name,spread_20d,strength_vs_cut,state
2019-07-23,K200,MOM1M,MOMENTUM,Q25,0.013948309191261332,1.2014281925584762,WORKING
2019-07-30,K200,MOM1M,MOMENTUM,Q25,0.005667984999916165,0.48820806024031366,NEUTRAL
2019-08-06,K200,MOM1M,MOMENTUM,Q25,0.05723223599778837,4.929659997355214,WORKING
2019-08-13,K200,MOM1M,MOMENTUM,Q25,0.008624652483342432,0.7428786172161169,NEUTRAL
2019-08-21,K200,MOM1M,MOMENTUM,Q25,-0.00951483638155215,-0.8195540061256774,NEUTRAL
2019-08-28,K200,MOM1M,MOMENTUM,Q25,0.0033517412804131563,0.28869997167637096,NEUTRAL
2019-09-04,K200,MOM1M,MOMENTUM,Q25,-0.048354638248459425,-4.164994110473409,REVERSE
2019-09-11,K200,MOM1M,MOMENTUM,Q25,-0.030199734214864327,-2.6012337119858326,REVERSE
2019-09-20,K200,MOM1M,MOMENTUM,Q25,-0.012092146098445222,-1.0415488380706261,REVERSE
2019-09-27,K200,MOM1M,MOMENTUM,Q25,-0.03721993703218385,-3.205914140742762,REVERSE
2019-10-07,K200,MOM1M,MOMENTUM,Q25,-0.02919970466244748,-2.51509684183257,REVERSE
2019-10-15,K200,MOM1M,MOMENTUM,Q25,-0.033482255464171606,-2.8839714630288613,REVERSE
2019-10-22,K200,MOM1M,MOMENTUM,Q25,-0.023568609682432795,-2.0300662785437473,REVERSE
2019-10-29,K200,MOM1M,MOMENTUM,Q25,-0.0009693516956841286,-0.08349445368108896,NEUTRAL
2019-11-05,K200,MOM1M,MOMENTUM,Q25,0.025609427898394266,2.2058507773616487,WORKING
2019-11-12,K200,MOM1M,MOMENTUM,Q25,0.02869434952255845,2.471568418136787,WORKING
2019-11-19,K200,MOM1M,MOMENTUM,Q25,0.02555494534109881,2.2011579590823946,WORKING
2019-11-26,K200,MOM1M,MOMENTUM,Q25,0.015117521567074244,1.302137510951703,WORKING
2019-12-03,K200,MOM1M,MOMENTUM,Q25,0.016874955766525757,1.4535129188836051,WORKING
2019-12-10,K200,MOM1M,MOMENTUM,Q25,0.03838724866736398,3.3064597401252005,WORKING
2019-12-17,K200,MOM1M,MOMENTUM,Q25,0.03326493528758134,2.865252736379835,WORKING
2019-12-24,K200,MOM1M,MOMENTUM,Q25,0.014666579009272374,1.2632958782678634,WORKING
2020-01-03,K200,MOM1M,MOMENTUM,Q25,-0.012203425031681925,-1.0511337738356124,REVERSE
2020-01-10,K200,MOM1M,MOMENTUM,Q25,0.011000234667593034,0.947497784368392,NEUTRAL
2020-01-17,K200,MOM1M,MOMENTUM,Q25,0.006093303008108064,0.5248425396483771,NEUTRAL
2020-01-28,K200,MOM1M,MOMENTUM,Q25,-0.00011908965180484898,-0.010257706734086214,NEUTRAL
2020-02-04,K200,MOM1M,MOMENTUM,Q25,-0.0004200151250385309,-0.03617771914881337,NEUTRAL
2020-02-11,K200,MOM1M,MOMENTUM,Q25,-0.05735896735689883,-4.940575917387439,REVERSE
2020-02-18,K200,MOM1M,MOMENTUM,Q25,-0.04894228223290231,-4.215610428223191,REVERSE
2020-02-25,K200,MOM1M,MOMENTUM,Q25,-0.008545777757000161,-0.7360847959286373,NEUTRAL
2020-03-03,K200,MOM1M,MOMENTUM,Q25,0.0018580870812514583,0.16004507593241302,NEUTRAL
2020-03-10,K200,MOM1M,MOMENTUM,Q25,0.03025526362646125,2.606016700353378,WORKING
2020-03-17,K200,MOM1M,MOMENTUM,Q25,0.13458157521641034,11.592093095070187,WORKING
2020-03-24,K200,MOM1M,MOMENTUM,Q25,0.16418195199561025,14.14170155909565,WORKING
2020-03-31,K200,MOM1M,MOMENTUM,Q25,0.04930563954907874,4.246907965268057,WORKING
2020-04-07,K200,MOM1M,MOMENTUM,Q25,-0.04193942907413628,-3.612424400589122,REVERSE
2020-04-14,K200,MOM1M,MOMENTUM,Q25,-0.1721723967301766,-14.829953120166781,REVERSE
2020-04-22,K200,MOM1M,MOMENTUM,Q25,-0.21737112682306647,-18.723115212921375,REVERSE
2020-04-29,K200,MOM1M,MOMENTUM,Q25,-0.16496571647005143,-14.209210582806518,REVERSE
2020-05-11,K200,MOM1M,MOMENTUM,Q25,-0.10703538720464445,-9.219420793284257,REVERSE
2020-05-18,K200,MOM1M,MOMENTUM,Q25,-0.017729385373247086,-1.5271086360415518,REVERSE
2020-05-25,K200,MOM1M,MOMENTUM,Q25,-0.029391297973447528,-2.531599602287959,REVERSE
2020-06-01,K200,MOM1M,MOMENTUM,Q25,-0.018247642282417265,-1.5717483449214897,REVERSE
2020-06-08,K200,MOM1M,MOMENTUM,Q25,-0.011609773499286713,-1.0,REVERSE
2020-06-15,K200,MOM1M,MOMENTUM,Q25,-0.06782300299666066,-5.841888560601773,REVERSE
2020-06-22,K200,MOM1M,MOMENTUM,Q25,-0.028237296754672236,-2.4322004866337052,REVERSE
2020-06-29,K200,MOM1M,MOMENTUM,Q25,0.01080554006937251,0.930727896632642,NEUTRAL
2020-07-06,K200,MOM1M,MOMENTUM,Q25,-0.0005744878929370145,-0.04948312669255005,NEUTRAL
2020-07-13,K200,MOM1M,MOMENTUM,Q25,0.044855602928588034,3.8636070661795334,WORKING
2020-07-20,K200,MOM1M,MOMENTUM,Q25,-0.027599445769794784,-2.377259622807495,REVERSE
2020-07-27,K200,MOM1M,MOMENTUM,Q25,-0.00640334135899312,-0.5515474836254585,NEUTRAL
2020-08-03,K200,MOM1M,MOMENTUM,Q25,-0.0018326043317297147,-0.1578501365114752,NEUTRAL
2020-08-10,K200,MOM1M,MOMENTUM,Q25,0.04404031427515598,3.793382728600325,WORKING
2020-08-18,K200,MOM1M,MOMENTUM,Q25,0.04919284627761522,4.237192593002573,WORKING
