sample,universe,cut_name,factor_a,factor_b,family_pair,contrast,left_state,right_state,n_left,n_right,mkt_1d_diff,mkt_5d_diff,mkt_20d_diff,a_fwd_5d_diff,a_fwd_20d_diff,b_fwd_5d_diff,b_fwd_20d_diff
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,10,27,-0.0034647628908548783,0.010620676959536795,0.01478203884621877,-0.019447711216294863,-0.048140918472178496,-0.021077351756183728,-0.042994530043902066
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,10,68,-0.004391627138090501,-0.0045663996253535585,-0.0009499372860331157,-0.012869071908816084,-0.04362786400528264,-0.012002701483067577,-0.03852133534428521
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,41,54,-0.006137560177639419,-0.007760335233965059,0.008107119021160469,0.003659345547389295,-0.0018391171825396912,0.003103649891427282,-0.0036021657973201657
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,41,68,-0.005207321318014383,-0.009220721226436785,0.008668242232982033,-0.002224326657451224,-0.011300653167464461,0.004010361734112838,-0.003721380426158107
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,55,34,0.0018703986192471315,0.00039968390778484617,0.002691450124968381,-0.002572106620554465,-0.003367513001662504,-0.005387154890102603,-0.0010511272420079204
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,55,16,0.001631632478348417,-0.0015961019652151217,-0.00631081179536252,-0.0001787160468428392,-0.00636796124684758,-0.00036121873454919443,-0.006170758522081878
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,64,39,0.0007887601826099736,0.000842783000045047,0.0175135001126836,-0.0012285014024618992,0.009053455274717917,-0.0016951754273069556,-0.009679786649806078
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,64,16,0.000629978346135402,-0.0006602185768836238,0.015149085767762334,-0.0032653801530017797,-0.005682398726452721,0.005301779955611736,-0.0001685152429245166
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,PER12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,48,31,0.003927066201991085,-0.004096415173239996,-0.010116917549310019,-0.0031608050685305042,-0.007501294113822594,-0.005959027436118779,-0.01569738120754923
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,PER12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,48,26,0.001808612887055944,0.0012148866460416287,-0.007931527387110476,-0.004625918836021421,-0.004752543901555338,-0.001475739590824425,-0.003774289509644686
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,PER12MF,MOMENTUM_X_VALUE,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,59,43,0.00037405239010181163,-4.590844358022517e-05,0.0196784862689413,-0.0034091878295399824,0.006916494137992842,-3.517293648378286e-05,-0.012896134163193415
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,PER12MF,MOMENTUM_X_VALUE,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,59,26,-0.00010381465057821948,0.0040227121579326985,0.01714260641786653,-0.006596175094477379,0.0026870861845986753,0.007136985909748148,0.004856058312833551
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,PRIVATE_FLOW,MOMENTUM_X_FLOW,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,29,37,-0.0024672267548588173,-0.0031546412315680535,-0.027501726643318243,0.001345997072019,0.0019338563127083317,0.0013740572469750937,-0.005371626179926962
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,PRIVATE_FLOW,MOMENTUM_X_FLOW,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,29,39,-0.00112378546305842,-0.006435393085107873,-0.03327852167745566,0.0010900048750639522,0.01736843571362727,0.0010963889400486028,-0.0010297141021887047
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,PRIVATE_FLOW,MOMENTUM_X_FLOW,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,62,46,0.00065785176136903,0.0005072924136804557,0.003962020091983884,-0.003272517653262365,0.014706637105635807,-0.0018133744840415729,-0.0031895932134636444
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,PRIVATE_FLOW,MOMENTUM_X_FLOW,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,62,39,0.0005131490572443226,0.0006955928482054543,0.013614611371668741,-0.00439246899268003,0.008941429324001448,-0.0010391851652379542,-0.001345216667828577
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,21,38,-0.0005197108099521907,-0.002753418139522519,0.022091521814873588,-0.01039915422962433,-0.02409417010398513,0.0037903492521622673,0.012043899790254024
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,21,43,-0.00016082358739750156,-0.0018763595805111938,0.02426092700768091,-0.006715530045511423,-0.020605792061851175,0.005156818084779176,0.01170087170048512
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,36,27,0.002070372047655573,0.006807721652659601,0.014380531253902819,-0.007133291919687609,-0.011963233405825632,-0.0016785493186282272,0.003179316346313317
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,36,43,0.0024264871309997967,0.0038697031501058986,0.011705120758154147,-0.0004739306304886344,-0.01061919610468353,0.0032815898436189153,0.008939139752606292
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,OP12_REV,MOMENTUM_X_REVISION,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,50,61,0.002336484260566283,0.0020008815490498875,0.017731754893216895,-0.004980453517492284,0.002455524583971579,-0.0008820256562945923,0.0020746350183680727
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,OP12_REV,MOMENTUM_X_REVISION,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,50,71,0.004177277710761128,0.004309507124129001,0.018576370123589894,0.0048016283745053664,0.01557549986561789,0.002934408884619966,0.010770966945515324
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,9,24,0.0029775449200231474,0.01699772527258697,0.013685453987613417,-0.0038923457598369865,0.036554083599368924,-0.00419801776154697,0.007926693965577634
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,9,69,0.0008158027511391016,0.00781958864989815,0.020404177545193462,0.01372091109787003,0.039950440246657386,0.000966907331003864,0.01301231000761116
