feature,target,n_universe_years,train_direction_median,DEV_2020_2022_median_dic,DEV_2020_2022_positive_dic_share,DEV_2020_2022_median_dhl,CONFIRM_2023_2024_median_dic,CONFIRM_2023_2024_positive_dic_share,CONFIRM_2023_2024_median_dhl,BULL_2025_median_dic,BULL_2025_positive_dic_share,BULL_2025_median_dhl,YTD_2026_median_dic,YTD_2026_positive_dic_share,YTD_2026_median_dhl,CONFIRM_positive_universes,CONFIRM_universe_count,PASS
BREADTH_20,TARGET_REVERSAL_GAP_20,42,1.0,0.026415339515260792,0.5555555555555556,0.006180694711771951,0.03482822631374963,0.5833333333333334,0.014180194087937076,-0.062335074973842955,0.5,-0.01712119354721693,-0.02527959535003487,0.5,-0.007481231443228521,4,6,True
DISPERSION_20,TARGET_REVERSAL_GAP_20,42,1.0,0.04542016806722689,0.6666666666666666,0.008107426866932098,0.03160442900564481,0.8333333333333334,7.838743081791614e-05,-0.02760204081632653,0.3333333333333333,0.0033578510349523065,0.1825980392156863,1.0,0.03572241651671126,5,6,True
LEADER_ABS_SHARE_20,TARGET_TOP2_RELATIVE_LOSS_20,42,-1.0,0.006482593037214884,0.5,0.00018198445129557063,0.025809813287016932,0.6666666666666666,0.0021982331702300514,-0.0673469387755102,0.3333333333333333,-0.002742958433272862,0.01838235294117647,0.5,0.002445570282696318,4,6,True
EXTREME_RANGE_RATIO_20,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,0.05354141656662664,0.5555555555555556,0.00016027695791195017,0.02530612244897959,0.6666666666666666,0.0017737312237651242,0.09346938775510204,0.8333333333333334,0.005490859201476929,-0.10294117647058826,0.3333333333333333,0.0026603588820667814,4,6,True
CROSS_HORIZON_RANK_CORR,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,-0.1065282598817549,0.3333333333333333,-0.007518547430685132,0.16180367078742486,0.75,0.00488357950916071,-0.09729558990078946,0.16666666666666666,-0.009500001379581806,-0.08794495826527905,0.5,-0.01715244041133352,4,6,False
BREADTH_20,TARGET_TOP2_RELATIVE_LOSS_20,42,-1.0,-0.005726947889046551,0.4444444444444444,0.002415802787004388,0.12090821879678684,0.75,0.008322781337837594,-0.1403131798881383,0.16666666666666666,-0.013945718453408276,-0.13031331571433366,0.3333333333333333,-0.010798507518675764,6,6,False
SIGN_ALIGNMENT_20_60,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,-0.0700083932868164,0.4444444444444444,-0.001502441958076973,0.11448424320162301,0.6666666666666666,0.0031180221027916335,0.022380028418409276,0.6666666666666666,0.0017483362172964305,0.10692000397964507,0.5,0.0012122444861917792,5,6,False
RANGE_20,TARGET_WORST_LEADER_LOSS_20,42,1.0,-0.038865546218487396,0.3888888888888889,-0.004766626039529712,0.09979591836734694,0.8333333333333334,0.007231869035236613,-0.04428571428571428,0.5,-0.0047390106662411665,0.41666666666666674,1.0,0.01619287971916056,5,6,False
DISPERSION_CHANGE_20,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,0.06178676598844665,0.6111111111111112,0.0020131353855559883,0.09872991749891447,0.75,-0.0003702920590810091,-0.010153061224489796,0.3333333333333333,0.0022892865049539968,0.02205882352941177,0.6666666666666666,0.00733886639062992,5,6,False
LEADER_STRENGTH_20,TARGET_WORST_LEADER_LOSS_20,42,1.0,-0.07549819927971188,0.2777777777777778,-0.008051592984067855,0.09831306990881458,0.8333333333333334,0.008626571090059163,-0.12163265306122448,0.3333333333333333,-0.011143840793358173,0.37867647058823534,0.8333333333333334,0.05630272266564286,5,6,False
DISPERSION_20,TARGET_WORST_LEADER_LOSS_20,42,1.0,-0.005765306122448979,0.4444444444444444,-0.0014143192848418105,0.09493920972644376,0.75,0.004570069022114631,-0.08193877551020406,0.3333333333333333,-0.007610846161760223,0.286764705882353,0.8333333333333334,-0.0036318632692259427,4,6,False
TOP2_PREMIUM_20,TARGET_WORST_LEADER_LOSS_20,42,1.0,-0.07366082330368046,0.2777777777777778,-0.003731932345711412,0.08841728180633955,0.75,0.006394720783368686,-0.11020408163265305,0.3333333333333333,-0.005393081425222308,0.06495098039215687,0.5,0.04687116775592939,4,6,False
LEADER_STRENGTH_20,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,-0.004485896922871713,0.4444444444444444,-0.005547659907427485,0.08570343030829353,0.9166666666666666,0.004336357337934499,0.03413265306122448,0.6666666666666666,0.0027010434426233735,0.1053921568627451,0.6666666666666666,0.021902684149993832,6,6,False
CROSS_HORIZON_RANK_CORR,TARGET_TOP2_DROP_SHARE_20,42,1.0,-0.16415286817141905,0.2222222222222222,-0.07481060606060608,0.07355935883851497,0.5833333333333334,0.0867300724637681,-0.1333164509715412,0.16666666666666666,-0.1049498746867168,0.016412783246649715,0.5,-0.0625,3,6,False
ABS_OPPORTUNITY_20,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,0.040240096038415364,0.6111111111111112,0.004243461055133534,0.07035714285714285,0.75,-0.0005575183815639136,-0.06341836734693877,0.3333333333333333,-0.0006428132507672788,0.20343137254901963,0.6666666666666666,0.04723936748589019,4,6,False
BREADTH_60,TARGET_TOP2_RELATIVE_LOSS_20,42,-1.0,-0.11588807130657229,0.16666666666666666,-0.002423558453492341,0.07008257688010866,0.6666666666666666,0.008195313517700371,0.03849138712307842,0.5,0.0065717703073415205,0.035134250233766824,0.6666666666666666,-0.0023383137046608096,5,6,False
TOP2_ABS_SHARE_20,TARGET_TOP2_RELATIVE_LOSS_20,42,-1.0,-0.0821938775510204,0.2222222222222222,-0.005378228480649847,0.06788862353452019,0.5833333333333334,0.007144370841963715,-0.07755102040816327,0.3333333333333333,-0.007588743322617691,0.17034313725490197,0.6666666666666666,0.0123468000684102,5,6,False
LEADER_ABS_SHARE_20,TARGET_WORST_LEADER_LOSS_20,42,-1.0,0.039972989195678266,0.6666666666666666,0.007771725842533374,0.06321428571428571,0.5833333333333334,0.006102389021823791,0.08112244897959184,0.6666666666666666,0.008250025781646578,-0.1311274509803922,0.3333333333333333,-0.02115607379017722,3,6,False
ABS_OPPORTUNITY_20,TARGET_REVERSAL_GAP_20,42,1.0,-0.006866746698679471,0.5,0.008514378950467806,0.05367998263135041,0.6666666666666666,-0.006117920283122516,-0.0225,0.5,-0.005537318257065249,0.24264705882352944,1.0,0.05966875251749406,5,6,False
FACTOR_VOL_MEDIAN_60,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,-0.02343337334933973,0.5,0.007494124684808909,0.04988167607468519,0.5833333333333334,-0.010793355958093062,0.07882653061224489,0.6666666666666666,0.012355905644936067,0.011029411764705883,0.5,-0.004697593546174652,4,6,False
BREADTH_20,TARGET_TOP2_DROP_SHARE_20,42,-1.0,-0.011504400793596183,0.4444444444444444,0.01457307060755339,0.049771349484758726,0.5833333333333334,0.03389661444581357,-0.18696511224756168,0.3333333333333333,-0.1925980232431845,-0.021482026491350562,0.5,-0.035019841269841256,4,6,False
LEADER_Z_20,TARGET_TOP2_DROP_SHARE_20,42,-1.0,-0.009653483987826735,0.3333333333333333,-0.014177489177489178,0.047364350298120084,0.5833333333333334,0.021205918264741747,0.00508266314537826,0.5,0.012500000000000011,0.05692461246695797,0.6666666666666666,0.08333333333333331,2,6,False
TOP2_ABS_SHARE_20,TARGET_TOP2_DROP_SHARE_20,42,-1.0,-0.0632176565940974,0.3333333333333333,-0.034496753246753276,0.04724344959207387,0.5833333333333334,0.012689393939394,-0.06066473824797831,0.3333333333333333,-0.006871345029239778,0.04407306550783974,0.5,0.03125,3,6,False
FACTOR_VOL_MEDIAN_60,TARGET_TOP2_DROP_SHARE_20,42,1.0,-0.035904335590225135,0.4444444444444444,-0.00694444444444442,0.044070533000788864,0.5833333333333334,-0.030303030303030276,0.013158316315739401,0.5,0.2272727272727273,0.11826457340110003,0.8333333333333334,0.15476190476190482,4,6,False
