model,universe,cost_bps,period,n_rebalances,cagr,sharpe,mdd,ew8_cagr,ew8_sharpe,ew8_mdd,top2_cagr,top2_sharpe,delta_cagr_vs_ew8,delta_sharpe_vs_ew8,delta_mdd_vs_ew8,delta_sharpe_vs_top2,avg_abs_lambda,avg_lambda,annual_turnover
PERSIST_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,YTD_2026,4,0.2909051856337441,2.8602838273770748,-0.008292882740202234,0.2828730582623422,2.96081382296115,-0.008290406828556196,0.6805392344320684,3.0568680153054153,0.00803212737140191,-0.10052999558407505,-2.4759116460382202e-06,-0.19658418792834054,0.09525052192066805,-0.05897703549060543,1.2979488821187548
LIQ_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,YTD_2026,4,0.24418113080092074,3.08720861612088,-0.008287892129782204,0.2828730582623422,2.96081382296115,-0.008290406828556196,0.6805392344320684,3.0568680153054153,-0.03869192746142147,0.12639479315973023,2.51469877399213e-06,0.030340600815464747,0.10151356993736951,0.0,1.4974639207166092
COMBINED_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,YTD_2026,4,0.2530014958949578,2.9829038837757733,-0.008290574906109183,0.2828730582623422,2.96081382296115,-0.008290406828556196,0.6805392344320684,3.0568680153054153,-0.02987156236738442,0.022090060814623502,-1.6807755298664517e-07,-0.07396413152964199,0.06328288100208769,-0.06328288100208769,0.6642105798174495
PERSIST_CONT,KOSPI_ALL,0,YTD_2026,4,0.38339384709056223,2.8835614220704096,0.0,0.3373222096968975,2.5834806921651743,-0.0010997618702287548,0.35962875464660593,1.5104366181841682,0.04607163739366471,0.30008072990523527,0.0010997618702287548,1.3731248038862414,0.16022964509394572,-0.11664926931106472,2.5638579040636986
LIQ_CONT,KOSPI_ALL,0,YTD_2026,4,0.35728760452073494,3.2477375768004206,0.0,0.3373222096968975,2.5834806921651743,-0.0010997618702287548,0.35962875464660593,1.5104366181841682,0.019965394823837412,0.6642568846352463,0.0010997618702287548,1.7373009586162524,0.18110647181628392,-0.05610647181628392,2.2116086990823907
COMBINED_CONT,KOSPI_ALL,0,YTD_2026,4,0.3777357712422529,3.275744794623682,0.0,0.3373222096968975,2.5834806921651743,-0.0010997618702287548,0.35962875464660593,1.5104366181841682,0.04041356154535536,0.6922641024585077,0.0010997618702287548,1.7653081764395138,0.16649269311064718,-0.11012526096033404,2.2670084083847164
PERSIST_CONT,KOSPI_EX_K200,0,YTD_2026,4,0.07909534103549531,0.7102219213454859,-0.03667573901766952,0.09628607605010986,0.8131294328196278,-0.03853855760883207,0.3526699720129478,1.4324742188862067,-0.017190735014614544,-0.1029075114741419,0.0018628185911625517,-0.7222522975407208,0.13738986784140966,-0.03386563876651982,1.9033016703377388
LIQ_CONT,KOSPI_EX_K200,0,YTD_2026,4,0.047874654624004975,0.5208090994404806,-0.03513360698816703,0.09628607605010986,0.8131294328196278,-0.03853855760883207,0.3526699720129478,1.4324742188862067,-0.048411421426104884,-0.2923203333791472,0.003404950620665037,-0.9116651194457261,0.23182819383259912,-0.10792951541850221,2.3917180616740086
COMBINED_CONT,KOSPI_EX_K200,0,YTD_2026,4,0.052522891678396855,0.5522983146258318,-0.03529829140304441,0.09628607605010986,0.8131294328196278,-0.03853855760883207,0.3526699720129478,1.4324742188862067,-0.043763184371713004,-0.260831118193796,0.0032402662057876563,-0.880175904260375,0.22136563876651982,-0.09911894273127753,2.401091226138032
PERSIST_CONT,KOSPI_KOSDAQ_ALL,0,YTD_2026,4,0.33047023979999235,3.7878264950178053,-0.0005834481551934001,0.3575104971599006,3.6521409812900503,-0.0002378172667306666,-0.07900754446236768,-1.6866084520032967,-0.027040257359908226,0.13568551372775506,-0.0003456308884627335,5.474434947021102,0.1544885177453027,-0.04645093945720251,1.9084974753604893
LIQ_CONT,KOSPI_KOSDAQ_ALL,0,YTD_2026,4,0.41662600160130236,3.4722049657191425,0.0,0.3575104971599006,3.6521409812900503,-0.0002378172667306666,-0.07900754446236768,-1.6866084520032967,0.05911550444140179,-0.17993601557090777,0.0002378172667306666,5.158813417722439,0.130741127348643,-0.015657620041753646,1.691960783123756
COMBINED_CONT,KOSPI_KOSDAQ_ALL,0,YTD_2026,4,0.38631663322024434,3.541212394059443,-0.00022230266325851122,0.3575104971599006,3.6521409812900503,-0.0002378172667306666,-0.07900754446236768,-1.6866084520032967,0.028806136060343768,-0.11092858723060717,1.5514603472155386e-05,5.227820846062739,0.09068371607515656,-0.0538883089770355,1.1164161194591442
PERSIST_CONT,K200,10,DEV_2020_2022,38,0.0836897519315718,1.1250622342697767,-0.04549507040053513,0.06861936099357124,0.9252577805444361,-0.06132276546491944,0.023317694164691094,0.22452587054137485,0.015070390938000555,0.19980445372534061,0.015827695064384306,0.9005363637284018,0.14972822458636634,-0.004373198841536202,2.2536147109335687
