universe,strategy,period,cost_bp,n_phases,median_cagr,mean_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_turnover,median_n_names,median_top_weight
NON_K200_50_50,ACT5_RULE,EARLY_2016_2019,60,10,-0.041936324399990454,-0.043051598969430706,-0.0603734787141198,-0.3653346163786372,-0.37418474633438836,-0.15670850868265707,-0.26991994385411405,9.62625424644771,151.859375,0.020214843749999996
NON_K200_50_50,ACT5_RULE,FULL_2016_2026,0,10,0.10537517037002353,0.10523545622042536,0.0916472901297043,-0.5159726884168544,-0.53430756845612,0.5391865723147136,0.48604281778795827,10.124018411193846,164.73062015503876,0.01936773255813953
NON_K200_50_50,ACT5_RULE,FULL_2016_2026,30,10,0.07241678302935328,0.07220051460628592,0.05889797044525902,-0.5397432916263009,-0.5570206775251954,0.41266654041249456,0.3591609718674601,10.124018411193846,164.73062015503876,0.01936773255813953
NON_K200_50_50,ACT5_RULE,FULL_2016_2026,60,10,0.04040252974171599,0.0401142374519432,0.027092564514607842,-0.5623716157501818,-0.5786502036091568,0.28595601929654224,0.23230607228009623,10.124018411193846,164.73062015503876,0.01936773255813953
NON_K200_50_50,ACT5_RULE,LATE_2020_2022,0,10,0.10164384181974973,0.09774677990332996,0.07323031473337527,-0.4066688326189949,-0.42030292131825664,0.5044540856027965,0.40235706042681185,10.393551563731952,170.44594594594594,0.018982263513513512
NON_K200_50_50,ACT5_RULE,LATE_2020_2022,30,10,0.06802096647037614,0.06401720355454783,0.040384567174645,-0.40931942280618105,-0.42310182844239874,0.38448069684658176,0.28316259619047335,10.393551563731952,170.44594594594594,0.018982263513513512
NON_K200_50_50,ACT5_RULE,LATE_2020_2022,60,10,0.03538427090608154,0.0312837315622088,0.008504855665711464,-0.4120198981630071,-0.4258906843855875,0.2644960480164713,0.1634718288058143,10.393551563731952,170.44594594594594,0.018982263513513512
NON_K200_50_50,ACT5_RULE,NORMAL_2023_2024,0,10,0.1048846213972664,0.10383324798671852,0.06670058842891913,-0.2639228630673424,-0.2798859920754304,0.5892640993806613,0.4181689175709848,10.376676589787563,172.5,0.018782552083333334
NON_K200_50_50,ACT5_RULE,NORMAL_2023_2024,30,10,0.0709299708785257,0.06999227123267031,0.03420679767073209,-0.2738709347673422,-0.28976707639731847,0.43714414693759107,0.2676690754046579,10.376676589787563,172.5,0.018782552083333334
NON_K200_50_50,ACT5_RULE,NORMAL_2023_2024,60,10,0.037978469699975315,0.037148698454306725,0.002664477542710708,-0.2833267224520568,-0.29966745650569127,0.2850429935769915,0.11660394301888485,10.376676589787563,172.5,0.018782552083333334
