universe,strategy,period,cost_bp,n_phases,median_delta_cagr,mean_delta_cagr,min_delta_cagr,cagr_better_phases,median_delta_sharpe,sharpe_better_phases,median_mdd_improvement,mdd_better_phases,median_delta_annual_turnover,median_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_annual_turnover
KOSDAQ,TURNOVER20_TOP01_LOW30,LATE_2020_2022,60,10,0.004611237473905738,0.0006840631026148181,-0.019112905521209034,7,0.023069226893927222,7,-0.0072143205858976045,0,0.17916086926155295,-0.013045089657524933,-0.028084659950298074,-0.4211397500293927,-0.439656732452647,0.10967821193359095,0.05942874289375892,10.462494353918292
KOSDAQ,ACT1_LOW05,NORMAL_2023_2024,0,10,0.009205919771123505,0.008926984985113084,-0.001010976247857398,9,0.034370788815793335,9,-0.0006510897666580084,4,0.07339055558591401,0.07638494729454992,0.02070996103674516,-0.33613894897586083,-0.36535410833858306,0.4206071179604285,0.20819819641017445,10.173670779010774
KOSDAQ,ACT5_LOW30,NORMAL_2023_2024,0,10,0.015920738497810838,0.020286991508675613,-0.0003043018112975915,9,0.0549845904717611,9,0.006428977628902932,9,1.7804293898399912,0.07586940583893098,0.04526158341959552,-0.3285106918001084,-0.35869135469049696,0.4174424608739855,0.30355327530029597,11.882708237520479
KOSDAQ,AMIHUD20_TOP05,NORMAL_2023_2024,0,10,0.003177144357862094,0.00379179620289527,0.001588366916421613,10,0.011844240722480387,10,5.551115123125783e-17,5,-0.002354789166234994,0.07315317469831717,0.009280516530132399,-0.3360546110403233,-0.36376563369844794,0.407677718293178,0.16301061703127762,10.076841208718292
KOSDAQ,TURNOVER20_LOW30,NORMAL_2023_2024,0,10,0.017682766419946705,0.021498427709817202,0.011390092391315942,10,0.06145547728076797,10,-0.006675268866857154,0,0.168126376909715,0.0835894414311561,0.03897114033129623,-0.3457710385450345,-0.36823904377943495,0.4408197702746527,0.278474538870637,10.242533285478029
KOSDAQ,TURNOVER20_TOP01_LOW30,NORMAL_2023_2024,0,10,0.022188156056109465,0.023640686308584246,0.002024668502137006,10,0.07385291242959752,10,0.005571960774290785,9,0.1383071726708085,0.08134292556913869,0.04364944802187143,-0.3281034306776895,-0.3570329816229262,0.43348338984574375,0.29578933760986176,10.230386642104373
KOSDAQ,ACT1_LOW05,NORMAL_2023_2024,30,10,0.008765707848320536,0.008429609080990618,-0.0014162715080601185,9,0.033842912359313776,9,-0.0007241192939210772,4,0.07339055558591401,0.04418757222948688,-0.01024232649564727,-0.3448669663173443,-0.37435398220840865,0.29899819847013087,0.08505485995824111,10.173670779010774
KOSDAQ,ACT5_LOW30,NORMAL_2023_2024,30,10,0.009698917645487026,0.014122420365441535,-0.005206333199449853,7,0.035009999283258375,7,0.004732323974207586,9,1.7804293898399912,0.03871323734613952,0.008260184027340411,-0.33900443690789933,-0.36903444698961707,0.2778510804400558,0.15855719789684755,11.882708237520479
KOSDAQ,AMIHUD20_TOP05,NORMAL_2023_2024,30,10,0.003065466824397345,0.003682466706580034,0.0015349226322207699,10,0.01184248650019673,10,-1.6653345369377348e-16,4,-0.002354789166234994,0.04104034577607918,-0.02108540717611418,-0.34474169748230127,-0.3727225495341122,0.28680147777998355,0.040690163499911565,10.076841208718292
KOSDAQ,TURNOVER20_LOW30,NORMAL_2023_2024,30,10,0.01667384599659072,0.020332334153566434,0.010710244469787966,10,0.06450144197203693,10,-0.006804610526871702,0,0.168126376909715,0.05054799995259818,0.007084618165097867,-0.35461251016180495,-0.3773730508020391,0.32120717859527187,0.15786740126193713,10.242533285478029
