universe,policy,cost_bps,period,cagr,sharpe,mdd,avg_exposure,annual_allocator_turnover,n_days
KOSDAQ_PLUS_KOSPI_EX_K200,B_ONLY_PROB,0,BULL_2025,0.33229694984556724,1.809503078507373,-0.1390103589950734,0.8296072576657864,3.618755773423163,242
KOSDAQ_PLUS_KOSPI_EX_K200,B_ONLY_PROB,0,YTD_2026,-0.18229785756555117,-0.21981917809909585,-0.41718644615788414,0.8178042915413272,1.4817968916329574,147
KOSDAQ_PLUS_KOSPI_EX_K200,B_ONLY_PROB,10,TRAIN_2016_2022,-0.011044378311219072,0.040060861069995055,-0.5094995285457303,0.8494275804516769,2.668119512326504,1660
KOSDAQ_PLUS_KOSPI_EX_K200,B_ONLY_PROB,10,OOS_2023_2024,0.028549523444661995,0.24262999112453684,-0.25045179066923295,0.8818551457594,2.2726888720250886,489
KOSDAQ_PLUS_KOSPI_EX_K200,B_ONLY_PROB,10,BULL_2025,0.327496455033641,1.7880654703976426,-0.13925942848656991,0.8296072576657864,3.618755773423163,242
KOSDAQ_PLUS_KOSPI_EX_K200,B_ONLY_PROB,10,YTD_2026,-0.1834710440568894,-0.22314906233101942,-0.4173474397169883,0.8178042915413272,1.4817968916329574,147
KOSDAQ_PLUS_KOSPI_EX_K200,B_ONLY_PROB,30,TRAIN_2016_2022,-0.016319156784626143,0.012466583558574036,-0.5131096576880321,0.8494275804516769,2.668119512326504,1660
KOSDAQ_PLUS_KOSPI_EX_K200,B_ONLY_PROB,30,OOS_2023_2024,0.02386941105468421,0.21914283428882578,-0.25359852751438217,0.8818551457594,2.2726888720250886,489
KOSDAQ_PLUS_KOSPI_EX_K200,B_ONLY_PROB,30,BULL_2025,0.31794419583404543,1.7450269388362913,-0.13975748800417154,0.8296072576657864,3.618755773423163,242
KOSDAQ_PLUS_KOSPI_EX_K200,B_ONLY_PROB,30,YTD_2026,-0.1858132240596021,-0.2298124074876436,-0.4176694268351959,0.8178042915413272,1.4817968916329574,147
KOSDAQ_PLUS_KOSPI_EX_K200,B_FSUB_PROB,0,TRAIN_2016_2022,-0.008151139897748072,0.05487424246657945,-0.5089783659832617,0.8494257701388248,2.9386052543041243,1660
KOSDAQ_PLUS_KOSPI_EX_K200,B_FSUB_PROB,0,OOS_2023_2024,0.033915834063312555,0.26997754476368346,-0.24492227926925647,0.8799924660761185,2.6555695628049634,489
KOSDAQ_PLUS_KOSPI_EX_K200,B_FSUB_PROB,0,BULL_2025,0.3356549806665785,1.8225990264583818,-0.13886192856305635,0.8358722290065163,4.0389099117382,242
KOSDAQ_PLUS_KOSPI_EX_K200,B_FSUB_PROB,0,YTD_2026,-0.18233015655446694,-0.22137011239799734,-0.4159991034623015,0.8163779892780642,1.4948026146573372,147
KOSDAQ_PLUS_KOSPI_EX_K200,B_FSUB_PROB,10,TRAIN_2016_2022,-0.01106689731469046,0.039643920555716514,-0.5109660359886984,0.8494257701388248,2.9386052543041243,1660
KOSDAQ_PLUS_KOSPI_EX_K200,B_FSUB_PROB,10,OOS_2023_2024,0.031166725158054076,0.2561473132906707,-0.2470538490850398,0.8799924660761185,2.6555695628049634,489
KOSDAQ_PLUS_KOSPI_EX_K200,B_FSUB_PROB,10,BULL_2025,0.33028221644280276,1.798581489379008,-0.13919474424876588,0.8358722290065163,4.0389099117382,242
KOSDAQ_PLUS_KOSPI_EX_K200,B_FSUB_PROB,10,YTD_2026,-0.18351438737444647,-0.22473594565736055,-0.41616301995829696,0.8163779892780642,1.4948026146573372,147
KOSDAQ_PLUS_KOSPI_EX_K200,B_FSUB_PROB,30,TRAIN_2016_2022,-0.016874533116685186,0.009195820651522678,-0.514918472596442,0.8494257701388248,2.9386052543041243,1660
KOSDAQ_PLUS_KOSPI_EX_K200,B_FSUB_PROB,30,OOS_2023_2024,0.025688797029320476,0.22849362500838616,-0.25131817507097376,0.8799924660761185,2.6555695628049634,489
KOSDAQ_PLUS_KOSPI_EX_K200,B_FSUB_PROB,30,BULL_2025,0.31959804695084815,1.7503753098670447,-0.13986017463247113,0.8358722290065163,4.0389099117382,242
KOSDAQ_PLUS_KOSPI_EX_K200,B_FSUB_PROB,30,YTD_2026,-0.18587851633183394,-0.23147125270736135,-0.4164908473562495,0.8163779892780642,1.4948026146573372,147
KOSPI_ALL,B_ONLY_PROB,0,TRAIN_2016_2022,0.009253158304588949,0.1368913895310477,-0.41419283165319265,0.858304184479855,2.244592653865418,1660
KOSPI_ALL,B_ONLY_PROB,0,OOS_2023_2024,0.042773442976496545,0.34247646968665213,-0.1679913829251103,0.8696528620743708,2.2154086469519347,489
KOSPI_ALL,B_ONLY_PROB,0,BULL_2025,0.5898048919437353,2.8034257461753564,-0.12033490796345214,0.7912768122202471,1.6852404421209597,242
KOSPI_ALL,B_ONLY_PROB,0,YTD_2026,0.6825531944812351,1.258969887117413,-0.33714014716205876,0.75483331162377,1.9554942211488695,147
KOSPI_ALL,B_ONLY_PROB,10,TRAIN_2016_2022,0.006990795342411982,0.12235332332117102,-0.4170986082149317,0.858304184479855,2.244592653865418,1660
KOSPI_ALL,B_ONLY_PROB,10,OOS_2023_2024,0.040462155792722054,0.3285461580831393,-0.16825866033740133,0.8696528620743708,2.2154086469519347,489
KOSPI_ALL,B_ONLY_PROB,10,BULL_2025,0.5871281651668243,2.7932658479334833,-0.12049839121756345,0.7912768122202471,1.6852404421209597,242
KOSPI_ALL,B_ONLY_PROB,10,YTD_2026,0.6793321275536075,1.2553945380780003,-0.3373940463484124,0.75483331162377,1.9554942211488695,147
KOSPI_ALL,B_ONLY_PROB,30,TRAIN_2016_2022,0.002480050230662778,0.09327120674554865,-0.42286847951019835,0.858304184479855,2.244592653865418,1660
KOSPI_ALL,B_ONLY_PROB,30,OOS_2023_2024,0.035853779183989465,0.30068566075002395,-0.16879304344240365,0.8696528620743708,2.2154086469519347,489
KOSPI_ALL,B_ONLY_PROB,30,BULL_2025,0.5817868661649606,2.7728736517061665,-0.12082535772578529,0.7912768122202471,1.6852404421209597,242
KOSPI_ALL,B_ONLY_PROB,30,YTD_2026,0.6729062319423726,1.2482344039843836,-0.33790169905330936,0.75483331162377,1.9554942211488695,147
KOSPI_ALL,B_FSUB_PROB,0,TRAIN_2016_2022,0.010154073145046905,0.14265945653889334,-0.4132517745982891,0.8582565556343023,2.594357322337478,1660
