predictor_type,definition,universe,forward_horizon,high_minus_low_train,diff_tstat_train,high_minus_low_oos,diff_tstat_oos,same_sign,oos_confirmed,abs_oos_hl
FACTOR_BREADTH,FACTOR_20D,KOSPI_ALL,5,0.0012358464968986007,0.47408234854571757,0.00458620119417094,0.787304669822693,True,0.00458620119417094,0.00458620119417094
FACTOR_BREADTH,FACTOR_20D,KOSPI_ALL,20,0.0024609428373097656,0.4343582844318928,0.030752309946554215,2.3489648562055794,True,0.030752309946554215,0.030752309946554215
FACTOR_BREADTH,FACTOR_20D,KOSPI_EX_K200,1,0.0003611916006637947,0.2875816853599822,-0.0013055038611254931,-0.47245209552378653,False,-0.0013055038611254931,0.0013055038611254931
FACTOR_BREADTH,FACTOR_20D,KOSPI_EX_K200,5,0.0018220095484451845,0.49571676876109316,-0.006534400376476557,-1.2900710941039673,False,-0.006534400376476557,0.006534400376476557
FACTOR_BREADTH,FACTOR_20D,KOSPI_EX_K200,20,-0.007378980749643554,-1.0040969158523454,-0.007722444630467457,-0.7717405963332975,True,0.007722444630467457,0.007722444630467457
FACTOR_BREADTH,FACTOR_20D,KOSPI_KOSDAQ_ALL,1,0.00045008520427539014,0.38749362709716667,-0.0007933572830734887,-0.24462882081982132,False,-0.0007933572830734887,0.0007933572830734887
FACTOR_BREADTH,FACTOR_20D,KOSPI_KOSDAQ_ALL,5,-0.0026885454849024954,-1.0004054091578154,-0.0029950315849864174,-0.5460343799747497,True,0.0029950315849864174,0.0029950315849864174
FACTOR_BREADTH,FACTOR_20D,KOSPI_KOSDAQ_ALL,20,-0.001338473933110946,-0.23524583134184715,-0.003604514959250956,-0.2820581873212771,True,0.003604514959250956,0.003604514959250956
FACTOR_BREADTH,FACTOR_40D,K200,1,0.002420399769837521,2.0648794690404695,0.00046427703949392975,0.14786363422475307,True,0.00046427703949392975,0.00046427703949392975
FACTOR_BREADTH,FACTOR_40D,K200,5,0.001507169921030777,0.5729800354259097,0.00036327769142014636,0.06327305583971825,True,0.00036327769142014636,0.00036327769142014636
FACTOR_BREADTH,FACTOR_40D,K200,20,-0.0007960629846300101,-0.14384015699138983,0.0047265564227771985,0.3527906288553193,False,-0.0047265564227771985,0.0047265564227771985
FACTOR_BREADTH,FACTOR_40D,KOSDAQ,1,-0.0008154877819410813,-0.5439861197721542,0.004723572771523116,1.3598282159136088,False,-0.004723572771523116,0.004723572771523116
FACTOR_BREADTH,FACTOR_40D,KOSDAQ,5,-0.006272318903445843,-1.6179341724507876,0.0012209253146823393,0.19800469318954603,False,-0.0012209253146823393,0.0012209253146823393
FACTOR_BREADTH,FACTOR_40D,KOSDAQ,20,-0.02931660727283501,-3.921013789452742,0.0003097370874906632,0.025511169022810427,False,-0.0003097370874906632,0.0003097370874906632
FACTOR_BREADTH,FACTOR_40D,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.00206277804445962,-1.536316921300101,0.004376614670535992,1.547970289775914,False,-0.004376614670535992,0.004376614670535992
FACTOR_BREADTH,FACTOR_40D,KOSDAQ_PLUS_KOSPI_EX_K200,5,-0.00842276593318187,-2.356236062820021,-0.0003005701887793667,-0.056572647833974664,True,0.0003005701887793667,0.0003005701887793667
FACTOR_BREADTH,FACTOR_40D,KOSDAQ_PLUS_KOSPI_EX_K200,20,-0.022589688851833975,-3.1744238466814636,-0.0010453288792837577,-0.0939325010203773,True,0.0010453288792837577,0.0010453288792837577
FACTOR_BREADTH,FACTOR_40D,KOSPI_ALL,1,0.0012455223029830547,1.0560091374763998,0.0018042458264985362,0.5156640357467273,True,0.0018042458264985362,0.0018042458264985362
FACTOR_BREADTH,FACTOR_40D,KOSPI_ALL,5,-0.0008100489554599324,-0.3004391306710845,0.005396497455949437,0.9321654280181887,False,-0.005396497455949437,0.005396497455949437
FACTOR_BREADTH,FACTOR_40D,KOSPI_ALL,20,-0.0005201714317404921,-0.09335970087254108,0.005700719788995112,0.42524852338456687,False,-0.005700719788995112,0.005700719788995112
FACTOR_BREADTH,FACTOR_40D,KOSPI_EX_K200,1,0.00023655098419565133,0.18915766773313167,-0.0014832883580374267,-0.6007864518007618,False,-0.0014832883580374267,0.0014832883580374267
FACTOR_BREADTH,FACTOR_40D,KOSPI_EX_K200,5,0.00028082760637772753,0.08133397161217705,-0.00860353970651034,-1.9530262816857535,False,-0.00860353970651034,0.00860353970651034
FACTOR_BREADTH,FACTOR_40D,KOSPI_EX_K200,20,-0.012555024317538998,-1.8148940926169885,-0.014031235723855815,-1.4767551331682252,True,0.014031235723855815,0.014031235723855815
FACTOR_BREADTH,FACTOR_40D,KOSPI_KOSDAQ_ALL,1,0.0007240761384927015,0.6072502034257792,0.0023116270955286767,0.800251466722993,True,0.0023116270955286767,0.0023116270955286767
