variant,top_n,weighting,cost_bps,year,n_periods,return,excess_return,sharpe,mdd,avg_turnover,avg_rank_ic
MOM12_1_BASE,20,equal,0,2019,24,-0.07646434111850786,-0.027724130734469554,-0.5698867447818541,-0.1730399131177185,0.2729166666666667,-0.022136318135253158
MOM12_1_BASE,20,equal,0,2020,25,0.8061873257593013,0.4101354288815582,1.7825843043369327,-0.28881376865767916,0.14800000000000002,-0.002199697627247541
MOM12_1_BASE,20,equal,0,2021,25,-0.15703233243920367,-0.18277887720108377,-0.6976108006904859,-0.1560952390017688,0.19200000000000003,-0.06131108157880753
MOM12_1_BASE,20,equal,0,2022,25,-0.21201372248719652,-0.09242814453697434,-0.8907739753721371,-0.20684101533594024,0.19000000000000003,0.013462161456106117
MOM12_1_BASE,20,equal,0,2023,24,0.08646579881272798,0.04941260017407911,0.47452953151518507,-0.20024271062378585,0.18541666666666667,-0.0038000596023804456
MOM12_1_BASE,20,equal,0,2024,24,0.22715025783013676,0.2425429463471207,1.0516688187526897,-0.1353726147056118,0.20625000000000002,0.06144272473809429
MOM12_1_BASE,20,equal,0,2025,25,1.0900934775072422,0.34825694071602986,2.25413740415716,-0.11201832843904047,0.16,0.05907868765906574
MOM12_1_BASE,20,equal,0,2026,13,0.04765496561635518,0.06002530285157448,0.4399030300870952,-0.40030790519160164,0.15769230769230771,-0.048981876807475816
MOM12_1_BASE,20,equal,30,2016,25,-0.14895054421946652,-0.15060546964010013,-0.7238352434715585,-0.20433907989214584,0.23200000000000004,-0.02232554057217394
MOM12_1_BASE,20,equal,30,2017,24,0.15717178720247316,0.022466676421328158,1.2083667027330454,-0.0744260038399418,0.21458333333333335,0.0034107207624585432
MOM12_1_BASE,20,equal,30,2018,25,-0.21829442977883573,-0.08619445876223741,-0.8124049700143154,-0.3371605339927807,0.17600000000000002,-0.042664110102604215
MOM12_1_BASE,20,equal,30,2019,24,-0.09451033806629394,-0.046664986966477806,-0.7264994210314477,-0.18181510301366444,0.2729166666666667,-0.022136318135253158
MOM12_1_BASE,20,equal,30,2020,25,0.7863212567932043,0.3947155954654815,1.7507614230633421,-0.2908271320990341,0.14800000000000002,-0.002199697627247541
MOM12_1_BASE,20,equal,30,2021,25,-0.16916378749478456,-0.19453886262608222,-0.7657448207553617,-0.15731090150966964,0.19200000000000003,-0.06131108157880753
MOM12_1_BASE,20,equal,30,2022,25,-0.22327771021092901,-0.1053320398568004,-0.9515709342921654,-0.21335201349002364,0.19000000000000003,0.013462161456106117
MOM12_1_BASE,20,equal,30,2023,24,0.07212161325427413,0.035535090554728255,0.41648533681519134,-0.2023475530742953,0.18541666666666667,-0.0038000596023804456
MOM12_1_BASE,20,equal,30,2024,24,0.209222130905927,0.22433868353457354,0.9838047307514352,-0.14112412605811286,0.20625000000000002,0.06144272473809429
MOM12_1_BASE,20,equal,30,2025,25,1.0659249804166238,0.33235391708715456,2.2216420500254688,-0.11339833179854886,0.16,0.05907868765906574
MOM12_1_BASE,20,equal,30,2026,13,0.041149382876132234,0.05352090534264842,0.42141748085493613,-0.4013695923281212,0.15769230769230771,-0.048981876807475816
MOM12_1_BASE,20,equal,60,2016,25,-0.1636890706701083,-0.16532076104641857,-0.8139680449508117,-0.2147507485614163,0.23200000000000004,-0.02232554057217394
MOM12_1_BASE,20,equal,60,2017,24,0.13957314201162396,0.006806836416438422,1.0903510628779882,-0.07472600383994188,0.21458333333333335,0.0034107207624585432
MOM12_1_BASE,20,equal,60,2018,25,-0.22868348415497142,-0.09823591999614945,-0.8628818705584366,-0.3432754266508272,0.17600000000000002,-0.042664110102604215
MOM12_1_BASE,20,equal,60,2019,24,-0.112219857647886,-0.06525376042813191,-0.882920592988138,-0.19050534139656305,0.2729166666666667,-0.022136318135253158
MOM12_1_BASE,20,equal,60,2020,25,0.7666626682449418,0.3794561570861892,1.719007551789193,-0.29283638180596494,0.14800000000000002,-0.002199697627247541
MOM12_1_BASE,20,equal,60,2021,25,-0.18112858130412623,-0.20613730101803396,-0.8339196971179165,-0.15852544973561655,0.19200000000000003,-0.06131108157880753
MOM12_1_BASE,20,equal,60,2022,25,-0.2343877551581347,-0.11806054502292584,-1.0123625383620507,-0.219813793585801,0.19000000000000003,0.013462161456106117
MOM12_1_BASE,20,equal,60,2023,24,0.05795812991105609,0.021832684844423245,0.3583828687304488,-0.20444782222381586,0.18541666666666667,-0.0038000596023804456
MOM12_1_BASE,20,equal,60,2024,24,0.19154417919323063,0.20638903965853594,0.915859651009508,-0.1468410510750493,0.20625000000000002,0.06144272473809429
MOM12_1_BASE,20,equal,60,2025,25,1.0420238738949883,0.31663034792948896,2.189108752224688,-0.11477691328453321,0.16,0.05907868765906574
MOM12_1_BASE,20,equal,60,2026,13,0.03468016000360241,0.047052433133276006,0.4029411332957972,-0.40243003262416666,0.15769230769230771,-0.048981876807475816
MOM12_1_BASE,20,equal,100,2016,25,-0.18296209217768789,-0.18456323934048624,-0.9344944351764897,-0.22843317153912468,0.23200000000000004,-0.02232554057217394
MOM12_1_BASE,20,equal,100,2017,24,0.11650505986381554,-0.013717441796052943,0.9320260750687893,-0.07698815463270325,0.21458333333333335,0.0034107207624585432
MOM12_1_BASE,20,equal,100,2018,25,-0.24233019729835126,-0.11405515285729284,-0.9301168973067475,-0.3513461254878737,0.17600000000000002,-0.042664110102604215
MOM12_1_BASE,20,equal,100,2019,24,-0.13531945379934018,-0.08950186522744619,-1.0910859216382442,-0.20196146426269912,0.2729166666666667,-0.022136318135253158
MOM12_1_BASE,20,equal,100,2020,25,0.74077041689585,0.3593570069525316,1.6767770886265299,-0.2955089916667035,0.14800000000000002,-0.002199697627247541
MOM12_1_BASE,20,equal,100,2021,25,-0.19682615656702163,-0.2213542420479473,-0.9248727322311465,-0.16551678528000568,0.19200000000000003,-0.06131108157880753
MOM12_1_BASE,20,equal,100,2022,25,-0.24896514892354793,-0.13476298420580934,-1.0934043513120832,-0.22835352736303238,0.19000000000000003,0.013462161456106117
MOM12_1_BASE,20,equal,100,2023,24,0.039350834299380466,0.0038315611584640585,0.28082706643585303,-0.20724108067213642,0.18541666666666667,-0.0038000596023804456
MOM12_1_BASE,20,equal,100,2024,24,0.16835699219194655,0.18284639595612862,0.8251467140766038,-0.15441013832098383,0.20625000000000002,0.06144272473809429
MOM12_1_BASE,20,equal,100,2025,25,1.0105667935516363,0.2959414009866448,2.1456725928310236,-0.11661281138925284,0.16,0.05907868765906574
MOM12_1_BASE,20,equal,100,2026,13,0.026110775165613775,0.03848338039315058,0.37832072221616364,-0.404355312441805,0.15769230769230771,-0.048981876807475816
MOM12_1_BASE,20,rank_linear,0,2016,25,-0.15571634417413882,-0.1562263513483373,-0.6088752553451008,-0.23130658817004668,0.25847619047619047,-0.02232554057217394
MOM12_1_BASE,20,rank_linear,0,2017,24,0.15965730151863244,0.024406833110385495,1.1769418547164925,-0.07401593886944391,0.21726190476190474,0.0034107207624585432
MOM12_1_BASE,20,rank_linear,0,2018,25,-0.19261117996600463,-0.05492162782800336,-0.6336586685816203,-0.32991941371007083,0.18114285714285713,-0.042664110102604215
MOM12_1_BASE,20,rank_linear,0,2019,24,-0.15239623313762896,-0.10798719461802131,-1.1471917143879502,-0.20528537329875352,0.27460317460317457,-0.022136318135253158
MOM12_1_BASE,20,rank_linear,0,2020,25,0.678647214705306,0.30604180983059326,1.5553081905674173,-0.27423954683477003,0.16666666666666663,-0.002199697627247541
MOM12_1_BASE,20,rank_linear,0,2021,25,-0.18333319814191196,-0.20556097551548247,-0.7113257787054728,-0.178850803013203,0.1803809523809524,-0.06131108157880753
