sample,universe,n_pos_alt,horizon,metric,series,n,mean,positive_share,tstat
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,5,spread,neg_alt_spread_5,20,-0.0005195557416402024,0.45,-0.34457772034575274
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,5,spread,mom_spread_5,20,-0.004682197943260169,0.35,-0.917401191613455
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,5,spread,pos_minus_mom_spread_5,20,0.008470956695408571,0.45,0.8574832601143455
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,20,top,pos_alt_top_20,20,0.03246571756005061,0.8,3.48154910553943
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,20,top,neg_alt_top_20,20,0.03163479225825692,0.65,2.721379681774631
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,20,top,mom_top_20,20,0.03208304100207769,0.65,2.057303182659634
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,20,top,pos_minus_mom_top_20,20,0.00038267655797292186,0.45,0.02761754202711397
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,20,spread,pos_alt_spread_20,20,0.001993853079304786,0.45,0.17444602166232773
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,20,spread,neg_alt_spread_20,20,0.0019296546874031846,0.55,0.5521257848818756
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,20,spread,mom_spread_20,20,-0.0058093972508791334,0.4,-0.5669426417921176
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,20,spread,pos_minus_mom_spread_20,20,0.0078032503301839196,0.5,0.40043180356301766
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,5,top,pos_alt_top_5,9,0.015143454602957549,0.7777777777777778,2.7108266377883137
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,5,top,neg_alt_top_5,9,0.012633104271108654,0.8888888888888888,3.2938476673744836
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,5,top,mom_top_5,9,0.010698154854949377,0.7777777777777778,1.3541397912823687
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,5,top,pos_minus_mom_top_5,9,0.004445299748008172,0.4444444444444444,0.38716996978354407
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,5,spread,pos_alt_spread_5,9,0.007713713985599778,0.7777777777777778,1.1502196974970629
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,5,spread,neg_alt_spread_5,9,0.006757691544328434,0.5555555555555556,1.317277149805817
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,5,spread,mom_spread_5,9,0.0012180732040739438,0.5555555555555556,0.11699764446547285
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,5,spread,pos_minus_mom_spread_5,9,0.006495640781525833,0.5555555555555556,0.4794148127670271
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,20,top,pos_alt_top_20,9,0.019827022242644505,0.6666666666666666,1.3472460285361378
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,20,top,neg_alt_top_20,9,0.02429016942172615,0.7777777777777778,2.243371735345038
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,20,top,mom_top_20,9,0.013597080206855473,0.6666666666666666,1.1028908032881044
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,20,top,pos_minus_mom_top_20,9,0.006229942035789033,0.6666666666666666,0.4865234847840764
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,20,spread,pos_alt_spread_20,9,-0.00019477823178436985,0.4444444444444444,-0.028569878842864424
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,20,spread,neg_alt_spread_20,9,0.022285194863482977,0.7777777777777778,2.1589019893576373
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,20,spread,mom_spread_20,9,-0.009509856746147806,0.4444444444444444,-0.6287265615124599
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,2,20,spread,pos_minus_mom_spread_20,9,0.009315078514363436,0.6666666666666666,0.5819877304955337
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,3,5,top,pos_alt_top_5,17,0.0012014680351467803,0.5294117647058824,0.18516813044779407
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,3,5,top,mom_top_5,17,0.00301457760923943,0.4117647058823529,0.37460831351074547
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,3,5,top,pos_minus_mom_top_5,17,-0.0018131095740926498,0.5882352941176471,-0.5634004311853238
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,3,5,spread,pos_alt_spread_5,17,-0.002872671061591123,0.29411764705882354,-1.4899119497396345
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,3,5,spread,mom_spread_5,17,0.000822941601859353,0.5882352941176471,0.15535340694004335
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,3,5,spread,pos_minus_mom_spread_5,17,-0.003695612663450477,0.35294117647058826,-0.6473037693138927
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,3,20,top,pos_alt_top_20,17,0.017016787644731607,0.7647058823529411,1.2327348392632185
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,3,20,top,mom_top_20,17,0.011106935266795378,0.5882352941176471,0.6203995487116054
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,3,20,top,pos_minus_mom_top_20,17,0.005909852377936231,0.6470588235294118,0.7486008970605164
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,3,20,spread,pos_alt_spread_20,17,-0.0003635207366522564,0.47058823529411764,-0.11297608039016162
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,3,20,spread,mom_spread_20,17,-0.011181199632461518,0.29411764705882354,-0.8946756458852132
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,3,20,spread,pos_minus_mom_spread_20,17,0.010817678895809263,0.7058823529411765,0.8151472755639064
POST_2023_PLUS,K200,0,5,top,neg_alt_top_5,16,0.00213966703039408,0.4375,0.27175536184053467
POST_2023_PLUS,K200,0,5,top,mom_top_5,16,-0.0019684260396934054,0.4375,-0.20448794006935825
POST_2023_PLUS,K200,0,5,spread,neg_alt_spread_5,16,0.006454555167453342,0.6875,2.354948075858643
POST_2023_PLUS,K200,0,5,spread,mom_spread_5,16,0.0013306380705088378,0.5,0.1462529212509372
POST_2023_PLUS,K200,0,20,top,neg_alt_top_20,13,0.03469433929262468,0.7692307692307693,1.6714160659394277
POST_2023_PLUS,K200,0,20,top,mom_top_20,13,0.04302838468942654,0.8461538461538461,1.171156252391653
POST_2023_PLUS,K200,0,20,spread,neg_alt_spread_20,13,0.014459048967561339,0.7692307692307693,2.3598666595182096
POST_2023_PLUS,K200,0,20,spread,mom_spread_20,13,0.028852436505136983,0.6923076923076923,1.2116147093180667
