factor_a,factor_b,spec,period,observed_r2,placebo_p,observed_percentile,placebo_q90
MOM12_1,PRIVATE_FLOW,TRAIL20,STRESS_2026,-0.039326193145827526,0.7692307692307693,0.24,0.07114733298121627
MOM12_1,PRIVATE_FLOW,DISLOCATION,VAL_2020_2022,-0.022024675678828265,0.9657534246575342,0.034482758620689655,0.011771996551987792
MOM12_1,PRIVATE_FLOW,DISLOCATION,CONF_2023_2024,-0.0006221093167735336,0.48936170212765956,0.5161290322580645,0.022718754438616522
MOM12_1,PRIVATE_FLOW,DISLOCATION,STRESS_2025,-0.00011934575076222309,0.5217391304347826,0.4888888888888889,0.03427589229936583
MOM12_1,PRIVATE_FLOW,DISLOCATION,STRESS_2026,-0.010361661430724478,0.6923076923076923,0.32,0.014734103773094212
MOM12_1,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,0.012160718642418966,0.2191780821917808,0.7862068965517242,0.018187566534592935
MOM12_1,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,-0.019252660397103716,0.7446808510638298,0.25806451612903225,0.022865056769997803
MOM12_1,FOREIGN_FLOW,TRAIL20,STRESS_2025,1.1217954653419682e-05,0.7608695652173914,0.24444444444444444,0.03585515756655871
MOM12_1,FOREIGN_FLOW,TRAIL20,STRESS_2026,0.019054814396606057,0.2692307692307692,0.76,0.03221524608267073
MOM12_1,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,-0.006002404008629725,0.3493150684931507,0.6551724137931034,0.04623441121766526
MOM12_1,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,-0.05221879435804544,0.6063829787234043,0.3978494623655914,0.06753347877796154
MOM12_1,FOREIGN_FLOW,DISLOCATION,STRESS_2025,-0.02969458365987543,0.6521739130434783,0.35555555555555557,0.0719322261718638
MOM12_1,FOREIGN_FLOW,DISLOCATION,STRESS_2026,0.06950221064386108,0.15384615384615385,0.88,0.06639250965059404
OP12_REV,OPFY1_REV,TRAIL20,VAL_2020_2022,-0.06613668021663432,0.6575342465753424,0.3448275862068966,0.03700919331402358
OP12_REV,OPFY1_REV,TRAIL20,CONF_2023_2024,-0.09702427121393908,0.8191489361702128,0.1827956989247312,0.07005716660429408
OP12_REV,OPFY1_REV,TRAIL20,STRESS_2025,-0.059530968012339036,0.6956521739130435,0.3111111111111111,0.0647796748325932
OP12_REV,OPFY1_REV,TRAIL20,STRESS_2026,0.05987148472255266,0.34615384615384615,0.68,0.09932547641332044
OP12_REV,OPFY1_REV,DISLOCATION,VAL_2020_2022,-0.05755409323060379,0.636986301369863,0.36551724137931035,0.04220062963784125
OP12_REV,OPFY1_REV,DISLOCATION,CONF_2023_2024,-0.08245634385312428,0.648936170212766,0.3548387096774194,0.0783132893504379
OP12_REV,OPFY1_REV,DISLOCATION,STRESS_2025,-0.05617920640588392,0.6304347826086957,0.37777777777777777,0.07484400382883973
OP12_REV,OPFY1_REV,DISLOCATION,STRESS_2026,0.0797429407586413,0.19230769230769232,0.84,0.10138188446036893
OP12_REV,PBR12MF,TRAIL20,VAL_2020_2022,-0.0073707307288204404,0.7945205479452054,0.20689655172413793,0.009617980718617546
OP12_REV,PBR12MF,TRAIL20,CONF_2023_2024,-0.00215907459521425,0.5957446808510638,0.40860215053763443,0.016588979213596474
