universe,base_k,base_rank,base_state,base_role,factor_method,period,n_high,n_low,base_distance_z,factor_distance_z,MKT_FWD_20D_high,MKT_FWD_20D_low,MKT_FWD_20D_diff,MKT_FWD_DD20_high,MKT_FWD_DD20_low,MKT_FWD_DD20_diff,NEXT_UP_high,NEXT_UP_low,NEXT_UP_diff,NEXT_DOWN_high,NEXT_DOWN_low,NEXT_DOWN_diff
K200,4,4,B4,STRONG,SCORE_MEDIAN,VALID_2023_2024,17,8,0.6111849125275616,1.8451823608372087,-0.015163755430091,0.0008904042564040113,-0.016054159686495012,-0.04241255034073096,-0.02440475200625056,-0.018007798334480397,0.0,0.0,0.0,0.5294117647058824,0.5,0.02941176470588236
K200,5,2,B2,REPAIR_MID,KMEANS,TRAIN,21,72,1.174956699031742,3.081648133672565,0.004849212046898976,0.006782493991902666,-0.0019332819450036893,-0.03067900306480415,-0.034004869284360306,0.0033258662195561547,0.3333333333333333,0.18055555555555555,0.15277777777777776,0.0,0.013888888888888888,-0.013888888888888888
K200,5,2,B2,REPAIR_MID,SCORE_MEDIAN,TRAIN,53,40,0.8465873532297179,1.72882598725137,-0.0008191043518684778,0.015839638776272494,-0.01665874312814097,-0.039823337034285124,-0.024549319750442937,-0.015274017283842187,0.2641509433962264,0.15,0.11415094339622642,0.018867924528301886,0.0,0.018867924528301886
K200,5,2,B2,REPAIR_MID,SCORE_MEDIAN,VALID_2023_2024,16,10,1.2136537853796319,2.5946187490300088,0.008058247193596432,0.003507752059131168,0.0045504951344652635,-0.029424006779408082,-0.03601404764521724,0.006590040865809159,0.3125,0.0,0.3125,0.0,0.0,0.0
K200,5,3,B3,REPAIR_MID,KMEANS,TRAIN,41,85,0.3276015073082602,2.7037750727778467,0.005180930283918668,-0.006555315616812593,0.011736245900731261,-0.024431403593750397,-0.03373722433183744,0.009305820738087046,0.21951219512195122,0.23529411764705882,-0.0157819225251076,0.04878048780487805,0.16470588235294117,-0.11592539454806312
K200,5,3,B3,REPAIR_MID,KMEANS,VALID_2023_2024,17,30,1.1349157591708918,2.4354215300605424,-0.002369346629548265,0.012191224949354073,-0.014560571578902339,-0.03838912949575469,-0.02263583927328263,-0.015753290222472058,0.35294117647058826,0.2,0.15294117647058825,0.058823529411764705,0.1,-0.0411764705882353
K200,5,3,B3,REPAIR_MID,SCORE_MEDIAN,TRAIN,65,61,0.8548663376049502,1.8973271957096063,0.0017587676758603215,-0.007526288274087312,0.009285055949947633,-0.026921221770223318,-0.034745445909597265,0.007824224139373948,0.3076923076923077,0.14754098360655737,0.16015132408575034,0.07692307692307693,0.18032786885245902,-0.1034047919293821
K200,5,3,B3,REPAIR_MID,SCORE_MEDIAN,VALID_2023_2024,29,18,1.1431678375166232,2.136797650351949,0.000656057002478151,0.017024011261468627,-0.016367954258990475,-0.033195994556994124,-0.02050036319297105,-0.012695631364023074,0.27586206896551724,0.2222222222222222,0.05363984674329503,0.10344827586206896,0.05555555555555555,0.04789272030651341
K200,5,4,B4,REPAIR_MID,KMEANS,TRAIN,21,69,0.6069892508134195,2.937870900414542,0.0008953848949951428,0.0011353430504713162,-0.00023995815547617335,-0.03360867541665544,-0.026114426250895703,-0.007494249165759734,0.047619047619047616,0.028985507246376812,0.018633540372670804,0.2857142857142857,0.34782608695652173,-0.06211180124223603
K200,5,4,B4,REPAIR_MID,SCORE_MEDIAN,TRAIN,46,44,0.5133813133830141,2.0819212154163544,-0.0022597840645230487,0.004570268641942706,-0.006830052706465755,-0.03150492635096699,-0.024055704157206502,-0.007449222193760485,0.043478260869565216,0.022727272727272728,0.02075098814229249,0.2826086956521739,0.38636363636363635,-0.10375494071146246
K200,5,4,B4,REPAIR_MID,SCORE_MEDIAN,VALID_2023_2024,16,8,0.6183588556594357,1.7155213140089656,-0.01512429328115275,0.0008904042564040113,-0.01601469753755676,-0.04349114051207795,-0.02440475200625056,-0.019086388505827386,0.0,0.0,0.0,0.5625,0.5,0.0625
KOSDAQ,3,1,B1,EXTREME_LOW,SCORE_MEDIAN,TRAIN,41,11,0.8261434957558728,1.6861277013771827,0.05291231918316922,0.024945160879401997,0.027967158303767226,-0.03622474231151688,-0.03982446966786565,0.003599727356348774,0.24390243902439024,0.2727272727272727,-0.02882483370288247,0.0,0.0,0.0
KOSDAQ,3,1,B1,EXTREME_LOW,SCORE_MEDIAN,VALID_2023_2024,8,10,1.1822160642845838,3.2326465131441666,0.033605200960278664,0.02050135242364496,0.013103848536633704,-0.032312757432153276,-0.05515818640378069,0.02284542897162741,0.25,0.1,0.15,0.0,0.0,0.0
KOSDAQ,3,2,B2,REPAIR_MID,KMEANS,TRAIN,64,93,0.7966011617591893,2.580121674203798,-0.010858361115463228,-0.007997554762553078,-0.0028608063529101495,-0.044785983732698265,-0.05507300807435142,0.010287024341653156,0.25,0.16129032258064516,0.08870967741935484,0.046875,0.10752688172043011,-0.06065188172043011
KOSDAQ,3,2,B2,REPAIR_MID,KMEANS,VALID_2023_2024,20,33,1.0282692075549666,2.724759885048744,0.01594651618531331,-0.011113208244885984,0.027059724430199293,-0.03195106382798728,-0.05562569130769438,0.023674627479707104,0.15,0.12121212121212122,0.02878787878787878,0.05,0.09090909090909091,-0.04090909090909091
KOSDAQ,3,2,B2,REPAIR_MID,KMEANS,STRESS_2025,14,10,1.0020340760709727,2.0991701358006396,0.03146392537657178,0.024315201457510687,0.00714872391906109,-0.021875040162150344,-0.049772002173288324,0.02789696201113798,0.2857142857142857,0.2,0.08571428571428569,0.0,0.1,-0.1
KOSDAQ,3,2,B2,REPAIR_MID,SCORE_MEDIAN,TRAIN,85,72,1.3200917280304814,2.045796761532355,-0.010842595241258841,-0.007181765400001133,-0.0036608298412577085,-0.049043151106058516,-0.05304756758044994,0.004004416474391426,0.29411764705882354,0.08333333333333333,0.21078431372549022,0.047058823529411764,0.125,-0.07794117647058824
KOSDAQ,3,2,B2,REPAIR_MID,SCORE_MEDIAN,VALID_2023_2024,35,18,1.5974627003964628,2.075410142364592,-0.00852249846402382,0.013915660992547922,-0.02243815945657174,-0.05368653459258381,-0.03309113216517927,-0.02059540242740454,0.17142857142857143,0.05555555555555555,0.11587301587301588,0.02857142857142857,0.16666666666666666,-0.13809523809523808
