universe,state,sample,n,ret60,liq,abs_confirmed,defensive,leader_strength,fwd5,fwd20,fwd_dd20
KOSPI_EX_K200,BROAD_EXPANSION,NORMAL_2023_2024,7,0.10087313930557548,0.48064586127453024,0.5178571428571429,0.017857142857142856,0.13456057132588478,-0.0035457408437253126,-0.018695519268764334,-0.03811985464722144
KOSPI_EX_K200,BROAD_WEAKNESS,TRAIN,45,-0.09988621463896828,0.36754022384391505,0.24722222222222223,0.0,0.07233552201657732,-0.0006060540085434477,-0.004566329624838371,-0.03593524520255698
KOSPI_EX_K200,BROAD_WEAKNESS,POST_2023,5,-0.07272154832129094,0.3375471137502871,0.225,0.0,0.081622868719876,-0.0007706776118855763,-0.019935916627637502,-0.027794275222316988
KOSPI_EX_K200,BROAD_WEAKNESS,NORMAL_2023_2024,5,-0.07272154832129094,0.3375471137502871,0.225,0.0,0.081622868719876,-0.0007706776118855763,-0.019935916627637502,-0.027794275222316988
KOSPI_EX_K200,CONCENTRATED_TREND,TRAIN,23,0.1322919756018156,0.29156605644367845,0.375,0.043478260869565216,0.17755039244915138,0.007697432401077552,0.014709057711115994,-0.02875085201877661
KOSPI_EX_K200,CONCENTRATED_TREND,POST_2023,6,0.15828281945035946,0.23026819372104398,0.3541666666666667,0.0,0.1441383546300376,0.0024365609797837675,0.003232716082345518,-0.027969425577691664
KOSPI_EX_K200,DEFENSIVE_WEAKNESS,TRAIN,59,-0.10212982744990466,0.3276111434277979,0.06567796610169492,0.375,0.06597891657641,-0.0024969297131635774,0.011569445566448826,-0.042480121281681445
KOSPI_EX_K200,DEFENSIVE_WEAKNESS,POST_2023,20,-0.10706437546408168,0.352854509217036,0.09375,0.475,0.09600853731277045,0.004391668908991047,0.030680451685308977,-0.040744492334482255
KOSPI_EX_K200,DEFENSIVE_WEAKNESS,NORMAL_2023_2024,15,-0.07828606486995927,0.35579318272202803,0.11666666666666667,0.4083333333333333,0.09884594866073433,0.004572884254115615,0.02594629041798929,-0.033723539786135674
KOSPI_EX_K200,MIXED,TRAIN,105,0.0020953845561850473,0.3683083493819654,0.2726190476190476,0.125,0.07807503477795058,-0.002708134636995255,-0.019728887930001736,-0.04896538545740478
KOSPI_EX_K200,MIXED,POST_2023,72,0.010805978803842296,0.33800550792521855,0.28125,0.1111111111111111,0.05499408354749981,0.0016351727818971352,0.007386552399013344,-0.03959001201956391
KOSPI_EX_K200,MIXED,NORMAL_2023_2024,39,0.013556766735238025,0.3332317398216399,0.30448717948717946,0.07051282051282051,0.06834431497445763,0.0014355795074507951,-0.0009376278459664721,-0.036577588861755585
KOSPI_EX_K200,OTHER_UPTREND,TRAIN,60,0.10388936395128617,0.35209980280419145,0.32083333333333336,0.029166666666666667,0.07619440216353796,-0.0009549202126545318,0.006758727064148137,-0.027020350260097383
KOSPI_EX_K200,OTHER_UPTREND,POST_2023,43,0.10093251055487672,0.3360411160617655,0.23546511627906977,0.040697674418604654,0.053052097024297605,0.005010785823017186,0.026749319715969715,-0.023127000652172235
KOSPI_EX_K200,OTHER_UPTREND,NORMAL_2023_2024,26,0.07396343054146648,0.3476616078898441,0.27403846153846156,0.028846153846153848,0.054951004390297646,0.0011311685790219492,0.015979955621660227,-0.0222228855506117
KOSPI_EX_K200,ROTATION,TRAIN,7,-0.01986100471768721,0.34136436540398896,0.2857142857142857,0.07142857142857142,0.051315261059965596,-0.005974694959763431,-0.004319980561515938,-0.035033479387348195
KOSPI_EX_K200,ROTATION,POST_2023,6,0.009938366599008097,0.3018759207991782,0.2916666666666667,0.08333333333333333,0.06040454879614906,0.007888717625485498,0.011081017655034128,-0.027593511554814893
KOSPI_EX_K200,ROTATION,NORMAL_2023_2024,5,0.010626906471708941,0.2936602730405079,0.25,0.1,0.06690944287272169,0.006636986228437549,0.0015992842180224509,-0.03391089914338785
