model,date,universe,state,MKT_RET_20D,MKT_RET_60D,MKT_VOL_20D,MKT_DD_60D,LIQ_5D_20D,MKT_FWD_5D,MKT_FWD_20D,MKT_FWD_DD20,MKT_FWD_VOL20
BASE,2017-01-20,KOSDAQ,S3,0.006619055395861162,-0.04695190276106109,0.10866683670839913,-0.039137958391040395,0.2782694198623402,-0.009103320857873149,0.00634962480004689,-0.019307692652908548,0.10819582641123282
BASE,2017-01-31,KOSDAQ,S3,-0.029377315767451062,0.006620807868500389,0.09832470085239958,-0.04788499385595757,0.2868369351669941,-0.009092647400710018,-0.0013631248530177292,-0.009797088374302043,0.09703187658879486
BASE,2017-02-07,KOSDAQ,S3,-0.05654223989175022,-0.023988166610440897,0.11614590870851633,-0.05654223989175,0.3605108055009823,0.006734816497690355,-0.0031936020218026706,-0.010572861503933328,0.07706025529963159
BASE,2017-02-14,KOSDAQ,S3,-0.03532728407222818,-0.025183598600690194,0.11455761990726204,-0.05018822500409881,0.3362745098039216,0.018057662068841993,-0.00484876748017875,-0.01719189375195662,0.09070170310589916
BASE,2017-02-21,KOSDAQ,S4,0.006349624800047415,0.050786039318776455,0.10819582641123256,-0.033036844942215815,0.3715686274509804,-0.016697637812872597,-0.025025493874539357,-0.03462432152336681,0.09227000167533951
BASE,2017-02-28,KOSDAQ,S3,-0.0013631248530170392,0.030461790172721104,0.0970318765887946,-0.04918284548376328,0.3281096963761019,-0.010908956542155615,0.0024938571443507704,-0.018231100015483115,0.09718438834245698
BASE,2017-03-08,KOSDAQ,S3,-0.003193602021802522,0.036363400447952055,0.07706025529963126,-0.05955526850191706,0.2931372549019608,0.005063165214761886,0.04177881336376919,-0.0013125404677593044,0.1013400677417389
BASE,2017-03-15,KOSDAQ,S3,-0.004848767480178484,-0.01875300720533335,0.09070170310589888,-0.05479364145098986,0.3917727717923604,-0.0025834929938246386,0.021149420610358412,-0.006343587053216471,0.12313363205299764
BASE,2017-03-22,KOSDAQ,S3,-0.025025493874539007,-0.012340384571566942,0.09227000167533923,-0.05723557545601954,0.4196078431372549,0.011056772884763944,0.04893678881962556,-0.0037698333975625387,0.13979558162464628
BASE,2017-03-29,KOSDAQ,S3,0.0024938571443504642,-0.02828310092795916,0.0971843883424567,-0.04681164333000176,0.3644400785854617,0.02785078054984464,0.03553184731399665,0.0022793525615449894,0.14978256730441536
BASE,2017-04-05,KOSDAQ,S4,0.041778813363769096,-0.02026460358571891,0.10134006774173863,-0.017675539524855344,0.4985279685966634,-0.014839181148238737,0.021170926321028467,-0.019531269480451474,0.1536873693395875
BASE,2017-04-12,KOSDAQ,S4,0.021149420610358183,-0.019701414604289536,0.12313363205299743,-0.01811031392852691,0.3901960784313725,0.024558058652569683,0.02972428278674813,-0.0047627638477152345,0.13841378658630593
BASE,2017-04-19,KOSDAQ,S4,0.04893678881962504,0.029180304009756908,0.13979558162464614,0.0,0.3320274240940254,-0.001864079013892046,0.014876552472151645,-0.015960512018964534,0.11424502969660265
BASE,2017-04-26,KOSDAQ,S4,0.03553184731399672,0.036699236385470346,0.1497825673044152,-0.0018640790138920726,0.3647058823529411,0.013596381817131239,0.02403378988420017,-0.013768536389907382,0.10613542159934526
BASE,2017-05-08,KOSDAQ,S4,0.02117092632102824,0.060436772697783026,0.15368736933958735,0.0,0.2768472906403941,-0.006587446357808226,0.03918504066426265,-0.007560202774261948,0.08378698421330887
BASE,2017-05-16,KOSDAQ,S4,0.02972428278674788,0.04640386433303223,0.13841378658630576,-0.012782219306420428,0.4438976377952756,0.009784820805492225,0.05647249871617498,-0.0009792068893100803,0.08935137848726735
BASE,2017-05-23,KOSDAQ,S4,0.014876552472152138,0.037900678914839725,0.11424502969660245,-0.0031224702263377146,0.3944773175542406,0.007142107576682784,0.03658370414066431,-0.002356409373392543,0.1026115387771004
BASE,2017-05-30,KOSDAQ,S4,0.024033789884200685,0.06306413715157277,0.10613542159934504,0.0,0.3848425196850393,0.02859320430715077,0.029971593258573407,0.005556133565193244,0.10744474833815092
BASE,2017-06-07,KOSDAQ,S4,0.03918504066426287,0.10552062365667969,0.0837869842133086,0.0,0.438235294117647,0.009938559288265062,-0.005077591028458777,-0.013544298852231629,0.11650158648961483
BASE,2017-06-14,KOSDAQ,S4,0.05647249871617577,0.11088332013512359,0.0893513784872671,-0.0025749022386238885,0.4392156862745098,-0.00922504730832488,-0.030986557769223707,-0.030986557769223877,0.10238384577810745
BASE,2017-06-21,KOSDAQ,S4,0.0365837041406647,0.10348621786548629,0.10261153877710019,-0.014537708636470081,0.3919843597262952,0.0007177973519331299,0.003921041636318186,-0.02196413060481439,0.10763046643108017
BASE,2017-06-28,KOSDAQ,S4,0.029971593258573126,0.09220206714981938,0.10744474833815074,-0.013830346413299499,0.29296875,-0.006409074406277415,-0.0017250850077314933,-0.022665658607019634,0.10568310545974978
BASE,2017-07-05,KOSDAQ,S4,-0.005077591028459283,0.05579728436285425,0.11650158648961464,-0.020150781100349402,0.2478218780251694,-0.016361445925070293,-0.00995037906078718,-0.020094909536962358,0.11909452610282227
BASE,2017-07-12,KOSDAQ,S3,-0.030986557769223877,0.054165872529674086,0.10238384577810726,-0.036182531110098504,0.2282398452611218,0.026466485587220805,-0.013149799581869523,-0.018778361668691845,0.15581587874134928
BASE,2017-07-19,KOSDAQ,S4,0.003921041636318234,0.0561294494375284,0.10763046643107997,-0.010673669961012489,0.3239845261121857,-0.004910314007894608,-0.037750857698141044,-0.0598644576265247,0.16858685941453191
BASE,2017-07-26,KOSDAQ,S4,-0.0017250850077317192,0.05290622260095246,0.1056831054597496,-0.015531572897781953,0.4127290260366442,-0.014595774691658658,-0.02344392781276232,-0.055225317267599605,0.16646639392894894
