universe,base_k,base_rank,base_role,factor_method,stress_period,outcome,valid_diff,stress_diff,same_sign,stress_n_min
KOSPI_EX_K200,5,5,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,-0.575,-0.04999999999999999,1.0,8
KOSPI_EX_K200,5,5,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,-0.00016095620893390866,-0.024880765814067507,1.0,8
KOSPI_EX_K200,5,5,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,0.009445953784319987,-0.01738602918306698,0.0,8
KOSPI_KOSDAQ_ALL,3,3,STRONG,KMEANS,STRESS_2025,NEXT_UP,0.0,0.0,1.0,16
KOSPI_KOSDAQ_ALL,3,3,STRONG,KMEANS,STRESS_2025,NEXT_DOWN,-0.18413978494623656,-0.125,1.0,16
KOSPI_KOSDAQ_ALL,3,3,STRONG,KMEANS,STRESS_2025,MKT_FWD_20D,0.009424932967928203,0.015162081465691514,1.0,16
KOSPI_KOSDAQ_ALL,3,3,STRONG,KMEANS,STRESS_2025,MKT_FWD_DD20,0.007942484988261146,0.014043972293469511,1.0,16
KOSPI_KOSDAQ_ALL,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.0,0.0,1.0,12
KOSPI_KOSDAQ_ALL,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,-0.11155913978494625,-0.011904761904761904,1.0,12
KOSPI_KOSDAQ_ALL,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,-0.008603609800191252,0.03933392410560771,0.0,12
KOSPI_KOSDAQ_ALL,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,-0.0058042842871651075,0.02705687248341565,0.0,12
KOSPI_KOSDAQ_ALL,4,3,REPAIR_MID,KMEANS,STRESS_2025,NEXT_UP,0.06730769230769232,0.3545454545454545,1.0,10
KOSPI_KOSDAQ_ALL,4,3,REPAIR_MID,KMEANS,STRESS_2025,NEXT_DOWN,-0.044871794871794865,-0.1,1.0,10
KOSPI_KOSDAQ_ALL,4,3,REPAIR_MID,KMEANS,STRESS_2025,MKT_FWD_20D,-0.009128524958703341,0.0008124665678465037,0.0,10
KOSPI_KOSDAQ_ALL,4,3,REPAIR_MID,KMEANS,STRESS_2025,MKT_FWD_DD20,-0.004816877807055947,0.0026949120863528284,0.0,10
KOSPI_KOSDAQ_ALL,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.16319444444444445,0.46153846153846156,1.0,8
KOSPI_KOSDAQ_ALL,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,0.0069444444444444475,-0.125,0.0,8
KOSPI_KOSDAQ_ALL,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,-0.017704893051239172,0.024395088068584078,0.0,8
KOSPI_KOSDAQ_ALL,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,-0.0003746641164222332,0.014498211994059252,0.0,8
