Code,Name,결산월,WICS업종명(중)
A008060,대덕,12,기술하드웨어와장비
A008250,이건산업,12,자본재
A008260,NI스틸,12,자본재
A008290,원풍물산,12,내구소비재와의류
A0082N0,카나프테라퓨틱스,12,제약과생물공학
A008350,남선알미늄,12,소재
A008370,원풍,12,소재
A008420,문배철강,12,소재
A008470,부스타,12,자본재
A008490,서흥,12,제약과생물공학
A008500,일정실업,12,
A008600,윌비스,12,내구소비재와의류
A008700,아남전자,12,전자와 전기제품
A008730,율촌화학,12,소재
A008770,호텔신라,12,소매(유통)
A008830,대동기어,12,자본재
A008870,금비,9,소재
A0088M0,메쥬,12,건강관리장비와서비스
A008930,한미사이언스,12,제약과생물공학
A008970,KBI동양철관,12,소재
A009070,KCTC,12,운송
A009140,경인전자,12,전자와 전기제품
A009150,삼성전기,12,기술하드웨어와장비
A009160,SIMPAC,12,소재
A009180,한솔로지스틱스,12,운송
A009190,대양금속,12,소재
A009200,무림페이퍼,12,소재
A009240,한샘,12,자본재
A009270,신원,12,내구소비재와의류
A009290,광동제약,12,제약과생물공학
A009300,삼아제약,12,제약과생물공학
A009310,참엔지니어링,12,디스플레이
A009320,아진전자부품,12,자동차와부품
A009410,태영건설,12,자본재
A009420,한올바이오파마,12,제약과생물공학
A009440,KC그린홀딩스,12,상업서비스와공급품
A009450,경동나비엔,12,내구소비재와의류
A009460,한창제지,12,소재
A009470,삼화전기,12,전자와 전기제품
A009520,포스코엠텍,12,소재
A009540,HD한국조선해양,12,자본재
A009580,무림P&P,12,소재
A009620,삼보산업,12,소재
A009680,모토닉,12,자동차와부품
A009730,이렘,12,소재
A009770,삼정펄프,12,가정용품과개인용품
A009780,엠에스씨,12,"식품,음료,담배"
A009810,플레이그램,12,소매(유통)
A009830,한화솔루션,12,에너지
A009900,명신산업,12,자동차와부품
A009970,영원무역홀딩스,12,내구소비재와의류
A010040,한국내화,12,소재
A010060,OCI홀딩스,12,소재
A010100,한국무브넥스,12,자동차와부품
A010120,LS ELECTRIC,12,자본재
A010130,고려아연,12,소재
A010140,삼성중공업,12,자본재
A010170,대한광통신,12,기술하드웨어와장비
A010240,흥국,12,자본재
A010280,아이티센엔텍,12,소프트웨어와서비스
A010400,우진아이엔에스,12,자본재
A010470,오리콤,12,미디어와엔터테인먼트
A010580,에스엠벡셀,12,자동차와부품
A010640,진양폴리,12,소재
A010660,화천기계,12,자본재
A010690,화신,12,자동차와부품
A010770,평화홀딩스,12,자동차와부품
A010780,아이에스동서,12,자본재
A010820,퍼스텍,12,자본재
A010950,S-Oil,12,에너지
A010960,삼호개발,12,자본재
A011000,진원생명과학,12,제약과생물공학
A011040,경동제약,12,제약과생물공학
A011070,LG이노텍,12,기술하드웨어와장비
A011080,형지I&C,12,내구소비재와의류
A011090,에넥스,12,자본재
A011150,CJ씨푸드,12,"식품,음료,담배"
A011170,롯데케미칼,12,소재
A011200,HMM,12,운송
A011210,현대위아,12,자동차와부품
A011230,삼화전자,12,기술하드웨어와장비
A011280,태림포장,12,소재
A011300,우성머티리얼스,12,내구소비재와의류
A011320,유니크,12,자동차와부품
A011330,유니켐,12,자동차와부품
A011370,서한,12,자본재
A011390,부산산업,12,자본재
A011420,갤럭시아에스엠,12,내구소비재와의류
A011500,한농화성,12,소재
A011560,세보엠이씨,12,자본재
A011690,와이투솔루션,12,기술하드웨어와장비
A011700,한신기계,12,자본재
A011760,현대코퍼레이션,12,자본재
A011780,금호석유화학,12,소재
A011790,SKC,12,소재
A0117P0,피스피스스튜디오,12,내구소비재와의류
A011810,STX,12,자본재
A011930,신성이엔지,12,반도체와반도체장비
A012030,DB,12,소프트웨어와서비스
A0120G0,삼양바이오팜,12,건강관리장비와서비스
A012160,영흥,12,소재
A012170,아센디오,12,미디어와엔터테인먼트
A012200,계양전기,12,자동차와부품
A012210,삼미금속,12,자본재
A012280,영화금속,12,자동차와부품
A012320,경동인베스트,12,소재
A012330,현대모비스,12,자동차와부품
A012340,뉴인텍,12,전자와 전기제품
A012450,한화에어로스페이스,12,자본재
A012510,더존비즈온,12,
A012610,경인양행,12,소재
A012620,원일특강,12,소재
A012630,HDC,12,자본재
A012690,모나리자,12,가정용품과개인용품
A0126Z0,삼성에피스홀딩스,12,제약과생물공학
A012700,리드코프,12,에너지
A012750,에스원,12,상업서비스와공급품
A012790,신일제약,12,제약과생물공학
A012800,대창,12,소재
A012860,모베이스전자,12,자동차와부품
A013000,세우글로벌,12,소재
A013030,하이록코리아,12,자본재
A013120,동원개발,12,자본재
A013310,아진산업,12,자동차와부품
A013360,일성건설,12,자본재
A013520,화승코퍼레이션,12,자동차와부품
A013570,디와이,12,자동차와부품
A013580,계룡건설,12,자본재
A013700,까뮤이앤씨,12,자본재
A013720,청보,12,자동차와부품
A013810,스페코,12,자본재
A013870,지엠비코리아,12,자동차와부품
A013890,지누스,12,자본재
A013990,아가방컴퍼니,12,내구소비재와의류
A014100,메디앙스,12,내구소비재와의류
A014130,한익스프레스,12,운송
A014160,대영포장,12,소재
A014190,원익큐브,12,소재
A014280,금강공업,12,자본재
A014440,영보화학,12,소재
A014470,부방,12,내구소비재와의류
A014530,극동유화,12,에너지
A014570,고려제약,12,제약과생물공학
A014580,태경비케이,12,소재
A014620,성광벤드,12,자본재
A014680,한솔케미칼,12,소재
A014710,사조씨푸드,12,"식품,음료,담배"
A014790,HL D&I,12,자본재
A014820,동원시스템즈,12,소재
A014830,유니드,12,소재
A014910,성문전자,12,전자와 전기제품
A014940,오리엔탈정공,12,자본재
A014950,삼익제약,12,제약과생물공학
A014970,삼륭물산,12,소재
A014990,인디에프,12,내구소비재와의류
A015020,이스타코,12,부동산
A015230,대창단조,12,자본재
A015260,에이엔피,12,기술하드웨어와장비
A015360,INVENI,12,유틸리티
A015590,DKME,12,자본재
A015710,코콤,12,기술하드웨어와장비
A015750,성우하이텍,12,자동차와부품
A015760,한국전력,12,유틸리티
A015860,일진홀딩스,12,자본재
A015890,태경산업,12,소재
A016090,대현,12,내구소비재와의류
A016100,리더스코스메틱,12,소재
A016250,SGC E&C,12,자본재
A016360,삼성증권,12,증권
A016380,KG스틸,12,소재
A016450,한세예스24홀딩스,12,내구소비재와의류
A016580,환인제약,12,제약과생물공학
A016590,신대양제지,12,소재
A016600,큐캐피탈,12,다각화된금융
A016610,DB증권,12,증권
A016670,디모아,12,소프트웨어와서비스
A016710,대성홀딩스,12,유틸리티
A016740,두올,12,자동차와부품
A016790,현대사료,12,"식품,음료,담배"
A016800,퍼시스,12,자본재
A016880,웅진,12,미디어와엔터테인먼트
A016920,카스,12,기술하드웨어와장비
A017000,신원종합개발,12,자본재
A017040,광명전기,12,자본재
A017180,명문제약,12,제약과생물공학
A017250,인터엠,9,기술하드웨어와장비
A017370,우신시스템,12,자동차와부품
A017390,서울가스,12,유틸리티
A017480,삼현철강,12,소재
A017510,세명전기,12,자본재
A017550,수산세보틱스,12,자본재
A017650,대림제지,12,소재
A017670,SK텔레콤,12,전기통신서비스
A017800,현대엘리베이터,12,자본재
A017810,풀무원,12,"식품,음료,담배"
A017860,DS단석,12,소재
A017890,한국알콜,12,소재
A017900,광전자,12,기술하드웨어와장비
A017940,E1,12,유틸리티
A017960,한국카본,12,자본재
A018000,유니슨,12,에너지
A018120,진로발효,12,"식품,음료,담배"
A018250,애경산업,12,내구소비재와의류
A018260,삼성에스디에스,12,소프트웨어와서비스
A018290,브이티,12,내구소비재와의류
A018310,삼목에스폼,12,자본재
A018470,조일알미늄,12,소재
A018500,동원모빌리티,3,자동차와부품
A018620,우진비앤지,12,제약과생물공학
A018670,SK가스,12,유틸리티
A018680,서울제약,12,제약과생물공학
A018700,졸스,12,내구소비재와의류
A018880,한온시스템,12,자동차와부품
A019010,베뉴지,12,"호텔,레스토랑,레저등"
A019170,신풍제약,12,제약과생물공학
A019180,티에이치엔,12,자동차와부품
A019210,와이지-원,12,자본재
A019490,엑시큐어하이트론,12,기술하드웨어와장비
A019540,일지테크,12,자동차와부품
A019550,SBI인베스트먼트,12,다각화된금융
A019570,GMI벤처,12,다각화된금융
A019660,글로본,12,소매(유통)
A019680,대교,12,교육서비스
A019770,서연탑메탈,12,자동차와부품
A019990,에너토크,12,자본재
A020000,한섬,12,내구소비재와의류
A020120,키다리스튜디오,12,미디어와엔터테인먼트
A020150,롯데에너지머티리얼즈,12,기술하드웨어와장비
A020180,대신정보통신,3,소프트웨어와서비스
A020400,대동금속,12,자동차와부품
A020560,아시아나항공,12,운송
A020710,시공테크,12,"호텔,레스토랑,레저등"
A020760,일진디스플,12,디스플레이
A021040,대호특수강,12,소재
A021050,서원,12,소재
A021080,에이티넘인베스트,12,다각화된금융
A021240,코웨이,12,내구소비재와의류
A021320,KCC건설,12,자본재
A021650,한국큐빅,12,자동차와부품
A021820,세원정공,6,자동차와부품
A021880,메이슨캐피탈,3,다각화된금융
A022100,포스코DX,12,소프트웨어와서비스
A022220,티케이지애강,12,자본재
