date,universe,factor,current_payoff20,future_payoff20,LOCAL_RANK20,future_rank20,local_top2,local_positive,GLOBAL_MEAN_RANK20,GLOBAL_TOP2_SHARE,GLOBAL_POSITIVE_SHARE,GLOBAL_MEAN_PAYOFF20,GLOBAL_RANK_DISPERSION20,universe_count,NEG_GLOBAL_RANK_DISPERSION20,GLOBALLY_CONFIRMED,era
2016-04-08,KOSPI_ALL,FOREIGN_FLOW,-0.017522372521997,-0.0167627352516529,0.125,0.125,False,False,0.22916666666666666,0.0,0.16666666666666666,-0.01108536213797965,0.12289901003127188,6,-0.12289901003127188,False,2016_2019
2016-04-08,KOSPI_ALL,MOM12_1,0.0159338164919047,0.0025401135914433,0.625,0.75,False,True,0.6458333333333334,0.0,1.0,0.01582096517451015,0.09409658158863513,6,-0.09409658158863513,False,2016_2019
2016-04-08,KOSPI_ALL,MOM1M,0.0149184611302297,0.0064102861864832,0.5,0.875,False,True,0.2916666666666667,0.0,0.5,-0.017710228592788833,0.18819316317727025,6,-0.18819316317727025,False,2016_2019
2016-04-08,KOSPI_ALL,OP12_REV,0.0369280317926201,-0.0035172362220459,0.75,0.5,False,True,0.8125,0.5,1.0,0.03476957536881975,0.18957188610128875,6,-0.18957188610128875,True,2016_2019
2016-04-08,KOSPI_ALL,OPFY1_REV,0.0483895516760062,-0.0053947230793435,1.0,0.375,True,True,0.7916666666666666,0.6666666666666666,1.0,0.03316024583294157,0.3027650354097492,6,-0.3027650354097492,True,2016_2019
2016-04-08,KOSPI_ALL,PBR12MF,0.0099975056653496,-0.0109367312610676,0.375,0.25,False,True,0.5416666666666666,0.16666666666666666,0.6666666666666666,0.012890409934981849,0.2327373340628157,6,-0.2327373340628157,False,2016_2019
2016-04-08,KOSPI_ALL,PER12MF,0.0397482398988344,0.0122375632729743,0.875,1.0,True,True,0.8333333333333334,0.6666666666666666,1.0,0.041249753363038516,0.12909944487358058,6,-0.12909944487358058,True,2016_2019
2016-04-08,KOSPI_ALL,PRIVATE_FLOW,0.0033866979862311,0.0024133185628241,0.25,0.625,False,True,0.3541666666666667,0.0,0.5,-0.007053817452886884,0.14613064930625153,6,-0.14613064930625153,False,2016_2019
2016-04-08,KOSPI_EX_K200,FOREIGN_FLOW,-0.0100335363885087,0.0283180209057989,0.125,1.0,False,False,0.22916666666666666,0.0,0.16666666666666666,-0.01108536213797965,0.12289901003127188,6,-0.12289901003127188,False,2016_2019
2016-04-08,KOSPI_EX_K200,MOM12_1,0.0194533357745796,0.0215740186723978,0.75,0.875,False,True,0.6458333333333334,0.0,1.0,0.01582096517451015,0.09409658158863513,6,-0.09409658158863513,False,2016_2019
2016-04-08,KOSPI_EX_K200,MOM1M,0.0028162957290345,0.0123155216536265,0.375,0.75,False,True,0.2916666666666667,0.0,0.5,-0.017710228592788833,0.18819316317727025,6,-0.18819316317727025,False,2016_2019
2016-04-08,KOSPI_EX_K200,OP12_REV,0.0149360192392324,0.0079435247677592,0.5,0.625,False,True,0.8125,0.5,1.0,0.03476957536881975,0.18957188610128875,6,-0.18957188610128875,True,2016_2019
2016-04-08,KOSPI_EX_K200,OPFY1_REV,0.0025016440036556,0.0064079023448464,0.25,0.5,False,True,0.7916666666666666,0.6666666666666666,1.0,0.03316024583294157,0.3027650354097492,6,-0.3027650354097492,True,2016_2019
2016-04-08,KOSPI_EX_K200,PBR12MF,0.044440995936593,-0.0363328772267932,0.875,0.125,True,True,0.5416666666666666,0.16666666666666666,0.6666666666666666,0.012890409934981849,0.2327373340628157,6,-0.2327373340628157,False,2016_2019
2016-04-08,KOSPI_EX_K200,PER12MF,0.1000083711250103,-0.0096031387824295,1.0,0.375,True,True,0.8333333333333334,0.6666666666666666,1.0,0.041249753363038516,0.12909944487358058,6,-0.12909944487358058,True,2016_2019
2016-04-08,KOSPI_EX_K200,PRIVATE_FLOW,0.0149435440826473,-0.029105384963865,0.625,0.25,False,True,0.3541666666666667,0.0,0.5,-0.007053817452886884,0.14613064930625153,6,-0.14613064930625153,False,2016_2019
2016-04-08,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,-0.0051197807605889,-0.0381780906343219,0.25,0.125,False,False,0.22916666666666666,0.0,0.16666666666666666,-0.01108536213797965,0.12289901003127188,6,-0.12289901003127188,False,2016_2019
2016-04-08,KOSPI_KOSDAQ_ALL,MOM12_1,0.015964862476157,0.0047624652058064,0.625,0.5,False,True,0.6458333333333334,0.0,1.0,0.01582096517451015,0.09409658158863513,6,-0.09409658158863513,False,2016_2019
2016-04-08,KOSPI_KOSDAQ_ALL,MOM1M,-0.017331244693556,-0.0202835009399237,0.125,0.25,False,False,0.2916666666666667,0.0,0.5,-0.017710228592788833,0.18819316317727025,6,-0.18819316317727025,False,2016_2019
2016-04-08,KOSPI_KOSDAQ_ALL,OP12_REV,0.0324033818987186,0.0105958252144076,0.75,0.875,False,True,0.8125,0.5,1.0,0.03476957536881975,0.18957188610128875,6,-0.18957188610128875,True,2016_2019
2016-04-08,KOSPI_KOSDAQ_ALL,OPFY1_REV,0.0405637195864063,0.0081306546434016,1.0,0.625,True,True,0.7916666666666666,0.6666666666666666,1.0,0.03316024583294157,0.3027650354097492,6,-0.3027650354097492,True,2016_2019
2016-04-08,KOSPI_KOSDAQ_ALL,PBR12MF,0.010613086182758,-0.0040229174982369,0.5,0.375,False,True,0.5416666666666666,0.16666666666666666,0.6666666666666666,0.012890409934981849,0.2327373340628157,6,-0.2327373340628157,False,2016_2019
2016-04-08,KOSPI_KOSDAQ_ALL,PER12MF,0.0336164524053479,0.0092330941339566,0.875,0.75,True,True,0.8333333333333334,0.6666666666666666,1.0,0.041249753363038516,0.12909944487358058,6,-0.12909944487358058,True,2016_2019
