sample,factor,overlay,top_n,cost_bps,n_periods,annualized_return,annualized_excess,sharpe,excess_sharpe,mdd,avg_turnover,hit_rate,avg_eligible
IS_PRE_2023,PER12MF,ACT5_MULTIPLY,20,0,171,0.061562385210297554,0.055677356347096474,0.38892357528933086,0.5873725501543106,-0.47567871082870994,0.5441520467836256,0.5964912280701754,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_MULTIPLY,20,30,171,0.01879483385033298,0.013200089837298146,0.197997788342552,0.18018377327672605,-0.520104168586004,0.5441520467836256,0.5672514619883041,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_MULTIPLY,20,60,171,-0.022318351345177345,-0.02763590499233015,0.0071247647477751955,-0.22879044534509863,-0.5608341677258231,0.5441520467836256,0.5380116959064327,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_W10,10,0,171,0.05956624934633159,0.054185103791168254,0.3649409376930054,0.4512047230849378,-0.5427987620558177,0.30233918128654974,0.5263157894736842,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_W10,10,30,171,0.03567575968349024,0.03043392166388248,0.26875064908400853,0.28553126264497714,-0.5656721916207855,0.30233918128654974,0.5263157894736842,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_W10,10,60,171,0.01229969340440995,0.0071938301573653,0.17241727488542197,0.11912718470304975,-0.5874246832486039,0.30233918128654974,0.5087719298245614,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_W10,20,0,171,0.03632560661200723,0.03196217271536539,0.27432896831742665,0.3549692147015127,-0.5240798176859572,0.17456140350877195,0.5906432748538012,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_W10,20,30,171,0.02274755544525764,0.018462216097784756,0.21530847401855474,0.22799449831259727,-0.5378865407741832,0.17456140350877195,0.5906432748538012,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_W10,20,60,171,0.009338878190211286,0.0051304305309882725,0.1562647605307181,0.10055195940980129,-0.5513008544271331,0.17456140350877195,0.5906432748538012,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_W20,10,0,171,0.024324595685477624,0.02023408786560532,0.22378808246148502,0.21460094248963493,-0.535467824925749,0.5251461988304094,0.5555555555555556,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_W20,10,30,171,-0.01566110849794855,-0.019491263082006105,0.05807706005942446,-0.07811924880679846,-0.5743860618264193,0.5251461988304094,0.5497076023391813,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_W20,10,60,171,-0.05415063131178477,-0.05773356536161567,-0.10725894081626512,-0.37080031703899385,-0.6101059654054536,0.5251461988304094,0.5263157894736842,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_W20,20,0,171,0.05251372861441017,0.0473408253188623,0.3457785182635429,0.49687391127227104,-0.5077171985531204,0.33508771929824566,0.5730994152046783,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_W20,20,30,171,0.02620785868990727,0.02119562752366,0.23077520688053885,0.2535558120131561,-0.534177404748789,0.33508771929824566,0.5672514619883041,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_W20,20,60,171,0.0005320083082018812,-0.0043240737119830674,0.11572383653620008,0.009127714375372527,-0.5592426680926573,0.33508771929824566,0.5555555555555556,165.7017543859649
IS_PRE_2023,PER12MF,BASE,10,0,173,0.063044740602751,0.05613857301048486,0.380765192330824,0.48720092673145954,-0.571403158106673,0.1335260115606936,0.5433526011560693,166.28901734104045
IS_PRE_2023,PER12MF,BASE,10,30,173,0.052394181738797396,0.04555395731467904,0.3376926911194102,0.40905161735041345,-0.580162473039862,0.1335260115606936,0.5433526011560693,166.28901734104045
IS_PRE_2023,PER12MF,BASE,10,60,173,0.04184341771272626,0.03506858027899118,0.2945851687895397,0.33079961196477925,-0.588747505998783,0.1335260115606936,0.5433526011560693,166.28901734104045
IS_PRE_2023,PER12MF,BASE,20,0,173,0.04397241290502962,0.038711610518423756,0.30580139659137545,0.41861374296016673,-0.5574107346345969,0.0994219653179191,0.5838150289017341,166.28901734104045
