year,factor,direction,overlay,top_n,cost_bps,return_delta,turnover_delta
2016,MOM12_1,LOW,TURNOVER_W10,10,30,0.06291280503512053,0.06800000000000006
2016,MOM12_1,LOW,ACT1_W10,10,60,0.007556012069369622,0.25234782608695666
2016,MOM12_1,LOW,ACT5_KEEP_TOP50,10,60,0.037560939988751985,0.45234782608695673
2016,MOM12_1,LOW,ACT5_KEEP_TOP70,10,60,-0.014161765631274026,0.26973913043478254
2016,MOM12_1,LOW,ACT5_W10,10,60,-0.0014872665703868915,0.26539130434782615
2016,MOM12_1,LOW,RAW_TA_W10,10,60,0.00789978668500313,0.043999999999999984
2016,MOM12_1,LOW,TURNOVER_W10,10,60,0.05685970265294593,0.06800000000000006
2016,MOM12_1,LOW,ACT1_W10,20,0,-0.022904714824697803,0.04869565217391303
2016,MOM12_1,LOW,ACT5_KEEP_TOP50,20,0,0.043959669270088764,0.36826086956521736
2016,MOM12_1,LOW,ACT5_KEEP_TOP70,20,0,0.007453997688249281,0.22695652173913045
2016,MOM12_1,LOW,ACT5_W10,20,0,-0.012304435399491442,0.05739130434782613
2016,MOM12_1,LOW,RAW_TA_W10,20,0,-0.05666785027427912,0.016000000000000014
2016,MOM12_1,LOW,TURNOVER_W10,20,0,-0.02763166777746562,0.0040000000000000036
2016,MOM12_1,LOW,ACT1_W10,20,30,-0.02405558496432758,0.04869565217391303
2016,MOM12_1,LOW,ACT5_KEEP_TOP50,20,30,0.018693729111552537,0.36826086956521736
2016,MOM12_1,LOW,ACT5_KEEP_TOP70,20,30,-0.006632674540509198,0.22695652173913045
2016,MOM12_1,LOW,ACT5_W10,20,30,-0.01424812543984122,0.05739130434782613
2016,MOM12_1,LOW,RAW_TA_W10,20,30,-0.056820077302678684,0.016000000000000014
2016,MOM12_1,LOW,TURNOVER_W10,20,30,-0.027471299872563137,0.0040000000000000036
2016,MOM12_1,LOW,ACT1_W10,20,60,-0.02515232745089946,0.04869565217391303
2016,MOM12_1,LOW,ACT5_KEEP_TOP50,20,60,-0.00510697193406906,0.36826086956521736
2016,MOM12_1,LOW,ACT5_KEEP_TOP70,20,60,-0.020014729296614076,0.22695652173913045
2016,MOM12_1,LOW,ACT5_W10,20,60,-0.01611023972052983,0.05739130434782613
2016,MOM12_1,LOW,RAW_TA_W10,20,60,-0.05694426873835401,0.016000000000000014
2016,MOM12_1,LOW,TURNOVER_W10,20,60,-0.02730715913064774,0.0040000000000000036
2016,MOM1M,HIGH,ACT1_W10,10,0,0.04808549719185473,0.0808695652173913
2016,MOM1M,HIGH,ACT5_KEEP_TOP50,10,0,0.10586114991449636,0.06782608695652181
2016,MOM1M,HIGH,ACT5_KEEP_TOP70,10,0,-0.036829296733545513,0.0417391304347825
2016,MOM1M,HIGH,ACT5_W10,10,0,-0.02141132503661658,0.07217391304347842
2016,MOM1M,HIGH,RAW_TA_W10,10,0,-0.06844644377332876,0.019999999999999907
2016,MOM1M,HIGH,TURNOVER_W10,10,0,0.029391849655247437,-0.024000000000000132
2016,MOM1M,HIGH,ACT1_W10,10,30,0.04426650580708813,0.0808695652173913
2016,MOM1M,HIGH,ACT5_KEEP_TOP50,10,30,0.10020884860302282,0.06782608695652181
2016,MOM1M,HIGH,ACT5_KEEP_TOP70,10,30,-0.03379624259812286,0.0417391304347825
2016,MOM1M,HIGH,ACT5_W10,10,30,-0.021247414340633375,0.07217391304347842
2016,MOM1M,HIGH,RAW_TA_W10,10,30,-0.06656049421118437,0.019999999999999907
2016,MOM1M,HIGH,TURNOVER_W10,10,30,0.0301283345858796,-0.024000000000000132
2016,MOM1M,HIGH,ACT1_W10,10,60,0.0406902791278827,0.0808695652173913
2016,MOM1M,HIGH,ACT5_KEEP_TOP50,10,60,0.09483457363218806,0.06782608695652181
2016,MOM1M,HIGH,ACT5_KEEP_TOP70,10,60,-0.03097235448150537,0.0417391304347825
2016,MOM1M,HIGH,ACT5_W10,10,60,-0.021058428818880648,0.07217391304347842
2016,MOM1M,HIGH,RAW_TA_W10,10,60,-0.06469069202958411,0.019999999999999907
2016,MOM1M,HIGH,TURNOVER_W10,10,60,0.030728761573423302,-0.024000000000000132
2016,MOM1M,HIGH,ACT1_W10,20,0,-0.022339865278562243,0.005304347826087019
2016,MOM1M,HIGH,ACT5_KEEP_TOP50,20,0,0.009147555794666529,0.0879130434782609
2016,MOM1M,HIGH,ACT5_KEEP_TOP70,20,0,-0.02924398065524314,0.040086956521739214
2016,MOM1M,HIGH,ACT5_W10,20,0,-0.007632180831195212,0.009652173913043516
2016,MOM1M,HIGH,RAW_TA_W10,20,0,-0.022470775611345806,-0.007999999999999896
2016,MOM1M,HIGH,TURNOVER_W10,20,0,-0.0032004611738343236,-0.0019999999999998908
2016,MOM1M,HIGH,ACT1_W10,20,30,-0.018095794183594194,0.005304347826087019
2016,MOM1M,HIGH,ACT5_KEEP_TOP50,20,30,0.006453934917405646,0.0879130434782609
2016,MOM1M,HIGH,ACT5_KEEP_TOP70,20,30,-0.02697191488085382,0.040086956521739214
2016,MOM1M,HIGH,ACT5_W10,20,30,-0.00426853777730285,0.009652173913043516
2016,MOM1M,HIGH,RAW_TA_W10,20,30,-0.020868005870866457,-0.007999999999999896
2016,MOM1M,HIGH,TURNOVER_W10,20,30,-0.0029054137388011547,-0.0019999999999998908
2016,MOM1M,HIGH,ACT1_W10,20,60,-0.01418335173806795,0.005304347826087019
2016,MOM1M,HIGH,ACT5_KEEP_TOP50,20,60,0.003978306023387779,0.0879130434782609
2016,MOM1M,HIGH,ACT5_KEEP_TOP70,20,60,-0.02485001224945116,0.040086956521739214
2016,MOM1M,HIGH,ACT5_W10,20,60,-0.0011892497756531561,0.009652173913043516
2016,MOM1M,HIGH,RAW_TA_W10,20,60,-0.01936228098768189,-0.007999999999999896
2016,MOM1M,HIGH,TURNOVER_W10,20,60,-0.0026308662305639663,-0.0019999999999998908
2016,MOM1M,LOW,ACT1_W10,10,0,0.09168891674233026,0.07826086956521738
2016,MOM1M,LOW,ACT5_KEEP_TOP50,10,0,0.03193730676870432,0.14782608695652177
2016,MOM1M,LOW,ACT5_KEEP_TOP70,10,0,0.10847301325493519,0.13913043478260867
2016,MOM1M,LOW,ACT5_W10,10,0,0.08733863484220117,0.07826086956521738
2016,MOM1M,LOW,RAW_TA_W10,10,0,-0.03282024960657126,0.016000000000000014
2016,MOM1M,LOW,TURNOVER_W10,10,0,-0.06488024094658895,-0.01200000000000001
2016,MOM1M,LOW,ACT1_W10,10,30,0.08615965698747863,0.07826086956521738
2016,MOM1M,LOW,ACT5_KEEP_TOP50,10,30,0.02449440441892381,0.14782608695652177
2016,MOM1M,LOW,ACT5_KEEP_TOP70,10,30,0.09755683806534787,0.13913043478260867
2016,MOM1M,LOW,ACT5_W10,10,30,0.08207207354556789,0.07826086956521738
2016,MOM1M,LOW,RAW_TA_W10,10,30,-0.032395169259394896,0.016000000000000014
2016,MOM1M,LOW,TURNOVER_W10,10,30,-0.0608398092846173,-0.01200000000000001
2016,MOM1M,LOW,ACT1_W10,10,60,0.08093568535741291,0.07826086956521738
2016,MOM1M,LOW,ACT5_KEEP_TOP50,10,60,0.01772612838919696,0.14782608695652177
2016,MOM1M,LOW,ACT5_KEEP_TOP70,10,60,0.08745937005149707,0.13913043478260867
2016,MOM1M,LOW,ACT5_W10,10,60,0.07709732682002757,0.07826086956521738
2016,MOM1M,LOW,RAW_TA_W10,10,60,-0.031927697124736976,0.016000000000000014
2016,MOM1M,LOW,TURNOVER_W10,10,60,-0.05703463127817854,-0.01200000000000001
2016,MOM1M,LOW,ACT1_W10,20,0,0.042467786797438345,0.026434782608695695
2016,MOM1M,LOW,ACT5_KEEP_TOP50,20,0,0.12147996164215247,0.13078260869565206
2016,MOM1M,LOW,ACT5_KEEP_TOP70,20,0,0.14971483099229288,0.07643478260869563
2016,MOM1M,LOW,ACT5_W10,20,0,0.01405341036529284,-0.0018260869565218663
2016,MOM1M,LOW,RAW_TA_W10,20,0,-0.028681915682606585,-0.02000000000000013
2016,MOM1M,LOW,TURNOVER_W10,20,0,0.013173194698494761,-0.028000000000000025
2016,MOM1M,LOW,ACT1_W10,20,30,0.04262640394866457,0.026434782608695695
2016,MOM1M,LOW,ACT5_KEEP_TOP50,20,30,0.11087326705967382,0.13078260869565206
2016,MOM1M,LOW,ACT5_KEEP_TOP70,20,30,0.14161523000841802,0.07643478260869563
2016,MOM1M,LOW,ACT5_W10,20,30,0.017279079021072508,-0.0018260869565218663
2016,MOM1M,LOW,RAW_TA_W10,20,30,-0.025987547177559356,-0.02000000000000013
2016,MOM1M,LOW,TURNOVER_W10,20,30,0.014525793108172258,-0.028000000000000025
2016,MOM1M,LOW,ACT1_W10,20,60,0.04267438106312338,0.026434782608695695
2016,MOM1M,LOW,ACT5_KEEP_TOP50,20,60,0.1009901969629432,0.13078260869565206
2016,MOM1M,LOW,ACT5_KEEP_TOP70,20,60,0.13392567640737785,0.07643478260869563
2016,MOM1M,LOW,ACT5_W10,20,60,0.02018345208932093,-0.0018260869565218663
2016,MOM1M,LOW,RAW_TA_W10,20,60,-0.023477039668309718,-0.02000000000000013
2016,MOM1M,LOW,TURNOVER_W10,20,60,0.015727114282924948,-0.028000000000000025
2016,OP12_REV,HIGH,ACT1_W10,10,0,0.03981432033231114,0.10347826086956519
2016,OP12_REV,HIGH,ACT5_KEEP_TOP50,10,0,-0.05788438105422666,0.26000000000000006
2016,OP12_REV,HIGH,ACT5_KEEP_TOP70,10,0,-0.03178044097000465,0.13391304347826088
2016,OP12_REV,HIGH,ACT5_W10,10,0,0.04880491494532735,0.09478260869565219
2016,OP12_REV,HIGH,RAW_TA_W10,10,0,-0.0044241089053684846,0.03999999999999998
2016,OP12_REV,HIGH,TURNOVER_W10,10,0,0.013715861903483617,0.028000000000000025
2016,OP12_REV,HIGH,ACT1_W10,10,30,0.033308329345357324,0.10347826086956519
2016,OP12_REV,HIGH,ACT5_KEEP_TOP50,10,30,-0.07265417228101789,0.26000000000000006
2016,OP12_REV,HIGH,ACT5_KEEP_TOP70,10,30,-0.038111087278826394,0.13391304347826088
2016,OP12_REV,HIGH,ACT5_W10,10,30,0.042604918678174064,0.09478260869565219
2016,OP12_REV,HIGH,RAW_TA_W10,10,30,-0.007623836448058086,0.03999999999999998
2016,OP12_REV,HIGH,TURNOVER_W10,10,30,0.011042238232612522,0.028000000000000025
2016,OP12_REV,HIGH,ACT1_W10,10,60,0.027183763806950312,0.10347826086956519
2016,OP12_REV,HIGH,ACT5_KEEP_TOP50,10,60,-0.08621731947976419,0.26000000000000006
2016,OP12_REV,HIGH,ACT5_KEEP_TOP70,10,60,-0.04397562514665809,0.13391304347826088
2016,OP12_REV,HIGH,ACT5_W10,10,60,0.03675445087885798,0.09478260869565219
2016,OP12_REV,HIGH,RAW_TA_W10,10,60,-0.010610095823640142,0.03999999999999998
2016,OP12_REV,HIGH,TURNOVER_W10,10,60,0.008527024345803325,0.028000000000000025
2016,OP12_REV,HIGH,ACT1_W10,20,0,-0.05908200007853259,0.03504347826086951
2016,OP12_REV,HIGH,ACT5_KEEP_TOP50,20,0,-0.048221627794834854,0.2828695652173913
2016,OP12_REV,HIGH,ACT5_KEEP_TOP70,20,0,-0.07422242194174244,0.1806956521739131
2016,OP12_REV,HIGH,ACT5_W10,20,0,-0.061256377052369526,0.03721739130434781
2016,OP12_REV,HIGH,RAW_TA_W10,20,0,0.030378415617095866,-0.008000000000000063
2016,OP12_REV,HIGH,TURNOVER_W10,20,0,0.012511131629456829,0.009999999999999898
2016,OP12_REV,HIGH,ACT1_W10,20,30,-0.05771378576994213,0.03504347826086951
2016,OP12_REV,HIGH,ACT5_KEEP_TOP50,20,30,-0.0648216169618614,0.2828695652173913
2016,OP12_REV,HIGH,ACT5_KEEP_TOP70,20,30,-0.08259979209926716,0.1806956521739131
2016,OP12_REV,HIGH,ACT5_W10,20,30,-0.059950637248418426,0.03721739130434781
2016,OP12_REV,HIGH,RAW_TA_W10,20,30,0.030240064364585262,-0.008000000000000063
2016,OP12_REV,HIGH,TURNOVER_W10,20,30,0.011361847743135645,0.009999999999999898
2016,OP12_REV,HIGH,ACT1_W10,20,60,-0.05637880100912285,0.03504347826086951
2016,OP12_REV,HIGH,ACT5_KEEP_TOP50,20,60,-0.08021316139930468,0.2828695652173913
2016,OP12_REV,HIGH,ACT5_KEEP_TOP70,20,60,-0.09037813024288588,0.1806956521739131
2016,OP12_REV,HIGH,ACT5_W10,20,60,-0.058672274933697866,0.03721739130434781
2016,OP12_REV,HIGH,RAW_TA_W10,20,60,0.030085583907625058,-0.008000000000000063
2016,OP12_REV,HIGH,TURNOVER_W10,20,60,0.010263979879131746,0.009999999999999898
2016,OP12_REV,LOW,ACT1_W10,10,0,-0.020669089916333983,0.062086956521739234
2016,OP12_REV,LOW,ACT5_KEEP_TOP50,10,0,-0.037811888273807326,0.1925217391304349
2016,OP12_REV,LOW,ACT5_KEEP_TOP70,10,0,0.008370105566846364,0.1403478260869565
2016,OP12_REV,LOW,ACT5_W10,10,0,0.023851799619680092,0.08817391304347832
2016,OP12_REV,LOW,RAW_TA_W10,10,0,-0.10705852927182746,-0.0039999999999998925
2016,OP12_REV,LOW,TURNOVER_W10,10,0,-0.07158850998619681,0.02400000000000002
2016,OP12_REV,LOW,ACT1_W10,10,30,-0.02046549760666827,0.062086956521739234
2016,OP12_REV,LOW,ACT5_KEEP_TOP50,10,30,-0.045227989052691875,0.1925217391304349
2016,OP12_REV,LOW,ACT5_KEEP_TOP70,10,30,0.002130123567523956,0.1403478260869565
2016,OP12_REV,LOW,ACT5_W10,10,30,0.020472322836515233,0.08817391304347832
2016,OP12_REV,LOW,RAW_TA_W10,10,30,-0.10257520627819994,-0.0039999999999998925
2016,OP12_REV,LOW,TURNOVER_W10,10,30,-0.07038111071427111,0.02400000000000002
