sample,factor,direction,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,10,0,0.0742464685338784,0.259749083522811,0.07968732050079119,0.2161756531406337
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,10,0,0.06058073909815764,0.212989142650303,0.07211160132443872,0.13135075041689825
FULL,FOREIGN_FLOW,LOW,ACT5_W10,10,0,0.037873288032377106,0.12767386464347968,0.009035630038632059,0.09360755975541957
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,10,0,0.009574162511601925,0.03206630494151147,0.004489175168357895,-0.0050193050193050315
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,10,0,0.004888184883039104,0.016793003121777728,0.04073946309461807,-0.002702702702702675
FULL,FOREIGN_FLOW,LOW,ACT1_W10,10,30,0.06566868867821096,0.2269946030581219,0.0772562961679053,0.08816008893829907
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,10,30,0.05415277830551268,0.18954405695470916,0.04911762862268154,0.2161756531406337
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,10,30,0.04784527324251364,0.16770765128734472,0.06732888118542402,0.13135075041689825
FULL,FOREIGN_FLOW,LOW,ACT5_W10,10,30,0.029168648579593004,0.10209933542456458,0.00703831782524067,0.09360755975541957
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,10,30,0.009553549766721181,0.03576097224436013,-0.016179976008503516,-0.0050193050193050315
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,10,30,0.004849820525677728,0.021822484942537287,-0.003988322572712977,-0.002702702702702675
FULL,FOREIGN_FLOW,LOW,ACT1_W10,10,60,0.056449571797258624,0.20541312325542532,0.10757835864960219,0.08816008893829907
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,10,60,0.03572114407251137,0.11964262397646018,-0.019607003614730223,0.2161756531406337
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,10,60,0.036074450205313635,0.12273179406984218,0.03688689519112154,0.13135075041689825
FULL,FOREIGN_FLOW,LOW,ACT5_W10,10,60,0.021111046250668508,0.07656900824731104,-0.0203156910761515,0.09360755975541957
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,10,60,0.009519558567627096,0.03957275329659047,-0.034212268841847915,-0.0050193050193050315
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,10,60,0.004806755869977586,0.027016635188360248,-0.024109247847874382,-0.002702702702702675
FULL,FOREIGN_FLOW,LOW,ACT1_W10,20,0,-0.0036656403540469285,-0.017053203189412003,-0.004260209243534985,0.025798116070489596
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,20,0,0.008748144384540746,0.043406899029308055,0.04418222454382159,0.23241290206270748
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,20,0,0.014726391600660804,0.06537456254662388,0.022394307364839827,0.14097321334675417
FULL,FOREIGN_FLOW,LOW,ACT5_W10,20,0,-0.015668945043313176,-0.0617563376457379,-0.02275838688031373,0.02696543124558698
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,20,0,-0.014822883754765481,-0.06219896328560581,0.0017128647258246588,-0.005212355212355246
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,20,0,-0.0008051190327473812,-0.009217473456065273,-0.024512601246128862,-0.002702702702702675
FULL,FOREIGN_FLOW,LOW,ACT1_W10,20,30,-0.005556798396575635,-0.023135069350540993,-0.005379021669466355,0.025798116070489596
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,20,30,-0.009659077967865803,-0.04093545953032782,0.017816924389500666,0.23241290206270748
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,20,30,0.0031329275536411405,0.013489623944675011,0.00431522491165004,0.14097321334675417
FULL,FOREIGN_FLOW,LOW,ACT5_W10,20,30,-0.017215785872558564,-0.07068525530420364,-0.02822642912243012,0.02696543124558698
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,20,30,-0.013901402798962126,-0.05617941705325713,0.002387651505265209,-0.005212355212355246
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,20,30,-0.0005623681416313531,-0.0028281496358724123,-0.023423686805220778,-0.002702702702702675
