sample,signal,top_n,cost_bps,n_periods,annualized_return,annualized_excess,sharpe,excess_sharpe,mdd,avg_turnover
OOS_2023_PLUS,RAW_HIGH,10,30,86,0.1706928294405825,0.02757236102236793,0.5819583136306044,0.23971205704510656,-0.44912555578598445,0.40116279069767435
OOS_2023_PLUS,RAW_HIGH,10,60,86,0.13573547214408088,-0.003176776387811442,0.5086335558671227,0.14521925833282118,-0.45911595723332654,0.40116279069767435
OOS_2023_PLUS,RAW_HIGH,20,0,86,0.17712554197959363,0.02964473627582409,0.6474711068193408,0.23903414947607082,-0.3937892991422808,0.36744186046511634
OOS_2023_PLUS,RAW_HIGH,20,30,86,0.14502777705549663,0.0014404076686009848,0.5653860190218851,0.11726519936465109,-0.3961648087533465,0.36744186046511634
OOS_2023_PLUS,RAW_HIGH,20,60,86,0.1137685402994848,-0.026023694096601546,0.4832594735944962,-0.004559812298929248,-0.39853342906871414,0.36744186046511634
OOS_2023_PLUS,RAW_LOW,10,0,86,-0.0017407875159584085,-0.1475628039770337,0.08335847256147827,-1.031489733150337,-0.27491295065913346,0.37906976744186033
OOS_2023_PLUS,RAW_LOW,10,30,86,-0.029973892541152125,-0.17181914171011547,-0.0698631387884283,-1.2304009212373823,-0.2825006540465196,0.37906976744186033
OOS_2023_PLUS,RAW_LOW,10,60,86,-0.05744250479372526,-0.19541460438642366,-0.22311652409508512,-1.429128783866249,-0.29001660830002896,0.37906976744186033
OOS_2023_PLUS,RAW_LOW,20,0,86,0.03953960474968965,-0.10975752417692364,0.29922251734989747,-0.8536156558108828,-0.22646821928177263,0.3418604651162791
OOS_2023_PLUS,RAW_LOW,20,30,86,0.0130492739609398,-0.1326098402491368,0.16209658604972457,-1.056705799375804,-0.23425567080235865,0.3418604651162791
OOS_2023_PLUS,RAW_LOW,20,60,86,-0.012794018405588803,-0.15489992492552807,0.0247806728373806,-1.2591675306102508,-0.2419725215032763,0.3418604651162791
OOS_2023_PLUS,TURNOVER_HIGH,10,0,86,0.04838633213234611,-0.08244064166180931,0.3084232949307498,-0.17319585399876944,-0.4165530989705958,0.6837209302325582
OOS_2023_PLUS,TURNOVER_HIGH,10,30,86,-0.004665412023958981,-0.12902806857230498,0.1710171198920695,-0.35871139398829516,-0.42361629638020126,0.6837209302325582
OOS_2023_PLUS,TURNOVER_HIGH,10,60,86,-0.05513979418248738,-0.17334435100700007,0.03395147700422194,-0.5436102428544043,-0.4358596733538028,0.6837209302325582
OOS_2023_PLUS,TURNOVER_HIGH,20,0,86,0.17112056111074825,0.025523871805779086,0.6328739694982443,0.22219999748358432,-0.4429075260798222,0.563953488372093
OOS_2023_PLUS,TURNOVER_HIGH,20,30,86,0.12229825801209948,-0.01735398758125639,0.5063322783880987,0.031643511354289035,-0.4479346686083546,0.563953488372093
OOS_2023_PLUS,TURNOVER_HIGH,20,60,86,0.07543016977975614,-0.0585103055071432,0.38001893902195083,-0.15855388342264098,-0.4529255951103366,0.563953488372093
OOS_2023_PLUS,TURNOVER_LOW,10,0,86,0.03743657751960194,-0.11562893957172937,0.29744333981845794,-0.8057191996683554,-0.20138514743934544,0.49302325581395345
OOS_2023_PLUS,TURNOVER_LOW,10,30,86,-0.0004926132064173583,-0.14814749414461226,0.08226085238824711,-1.0738033692992142,-0.21237975251588959,0.49302325581395345
OOS_2023_PLUS,TURNOVER_LOW,10,60,86,-0.03709182963421809,-0.17951917497726866,-0.13324399200363518,-1.3425669672182436,-0.22323924083207836,0.49302325581395345
OOS_2023_PLUS,TURNOVER_LOW,20,0,86,0.11582781645891305,-0.044819345860598436,0.6878512891124569,-0.30351317291985436,-0.17563087272121303,0.4470930232558139
OOS_2023_PLUS,TURNOVER_LOW,20,30,86,0.07888390548584479,-0.07665422736334426,0.5042178175657236,-0.5733026668804786,-0.18457269740373516,0.4470930232558139
OOS_2023_PLUS,TURNOVER_LOW,20,60,86,0.04311384478142366,-0.1074709020522433,0.32022958719415956,-0.842930679018811,-0.19342863412760425,0.4470930232558139
