date,factor,direction,overlay,top_n,cost_bps,net,turnover
2016-01-04,PBR12MF,HIGH,RAW_TA_W10,20,0,0.02948599166033928,1.0
2016-01-04,PBR12MF,HIGH,RAW_TA_W10,20,30,0.02648599166033928,1.0
2016-01-04,PBR12MF,HIGH,RAW_TA_W10,20,60,0.02348599166033928,1.0
2016-01-04,PBR12MF,HIGH,MCAP_W10,10,0,0.009483665154363687,1.0
2016-01-04,PBR12MF,HIGH,MCAP_W10,10,30,0.006483665154363687,1.0
2016-01-04,PBR12MF,HIGH,MCAP_W10,10,60,0.003483665154363687,1.0
2016-01-04,PBR12MF,HIGH,MCAP_W10,20,0,0.012814305420635474,1.0
2016-01-04,PBR12MF,HIGH,MCAP_W10,20,30,0.009814305420635473,1.0
2016-01-04,PBR12MF,HIGH,MCAP_W10,20,60,0.006814305420635474,1.0
2016-01-04,PBR12MF,HIGH,TURNOVER_W10,10,0,0.00860827325205037,1.0
2016-01-04,PBR12MF,HIGH,TURNOVER_W10,10,30,0.00560827325205037,1.0
2016-01-04,PBR12MF,HIGH,TURNOVER_W10,10,60,0.0026082732520503697,1.0
2016-01-04,PBR12MF,HIGH,TURNOVER_W10,20,0,0.02228562137758494,1.0
2016-01-04,PBR12MF,HIGH,TURNOVER_W10,20,30,0.019285621377584942,1.0
2016-01-04,PBR12MF,HIGH,TURNOVER_W10,20,60,0.016285621377584943,1.0
2016-01-04,PBR12MF,HIGH,RESID_TA_W10,10,0,7.595764962222695e-05,1.0
2016-01-04,PBR12MF,HIGH,RESID_TA_W10,10,30,-0.002924042350377773,1.0
2016-01-04,PBR12MF,HIGH,RESID_TA_W10,10,60,-0.005924042350377773,1.0
2016-01-04,PBR12MF,HIGH,RESID_TA_W10,20,0,0.022285621377584948,1.0
2016-01-04,PBR12MF,HIGH,RESID_TA_W10,20,30,0.01928562137758495,1.0
2016-01-04,PBR12MF,HIGH,RESID_TA_W10,20,60,0.01628562137758495,1.0
2016-01-04,PBR12MF,LOW,BASE,10,0,-0.08874378157622351,1.0
2016-01-04,PBR12MF,LOW,BASE,10,30,-0.09174378157622351,1.0
2016-01-04,PBR12MF,LOW,BASE,10,60,-0.09474378157622351,1.0
2016-01-04,PBR12MF,LOW,BASE,20,0,-0.04806922049004022,1.0
2016-01-04,PBR12MF,LOW,BASE,20,30,-0.05106922049004022,1.0
2016-01-04,PBR12MF,LOW,BASE,20,60,-0.05406922049004022,1.0
2016-01-04,PBR12MF,LOW,RAW_TA_W10,10,0,-0.07178645223209645,1.0
2016-01-04,PBR12MF,LOW,RAW_TA_W10,10,30,-0.07478645223209646,1.0
2016-01-04,PBR12MF,LOW,RAW_TA_W10,10,60,-0.07778645223209646,1.0
2016-01-04,PBR12MF,LOW,RAW_TA_W10,20,0,-0.049531057224095516,1.0
2016-01-04,PBR12MF,LOW,RAW_TA_W10,20,30,-0.05253105722409552,1.0
2016-01-04,PBR12MF,LOW,RAW_TA_W10,20,60,-0.055531057224095515,1.0
2016-01-04,PBR12MF,LOW,MCAP_W10,10,0,-0.07437613737918977,1.0
2016-01-04,PBR12MF,LOW,MCAP_W10,10,30,-0.07737613737918977,1.0
2016-01-04,PBR12MF,LOW,MCAP_W10,10,60,-0.08037613737918978,1.0
2016-01-04,PBR12MF,LOW,MCAP_W10,20,0,-0.04555902989195169,1.0
2016-01-04,PBR12MF,LOW,MCAP_W10,20,30,-0.04855902989195169,1.0
2016-01-04,PBR12MF,LOW,MCAP_W10,20,60,-0.051559029891951685,1.0
2016-01-04,PBR12MF,LOW,TURNOVER_W10,10,0,-0.07946424083176933,1.0
2016-01-04,PBR12MF,LOW,TURNOVER_W10,10,30,-0.08246424083176933,1.0
2016-01-04,PBR12MF,LOW,TURNOVER_W10,10,60,-0.08546424083176933,1.0
2016-01-04,PBR12MF,LOW,TURNOVER_W10,20,0,-0.049295878675571614,1.0
2016-01-04,PBR12MF,LOW,TURNOVER_W10,20,30,-0.052295878675571617,1.0
2016-01-04,PBR12MF,LOW,TURNOVER_W10,20,60,-0.05529587867557161,1.0
2016-01-04,PBR12MF,LOW,RESID_TA_W10,10,0,-0.08278454490334419,1.0
2016-01-04,PBR12MF,LOW,RESID_TA_W10,10,30,-0.0857845449033442,1.0
2016-01-04,PBR12MF,LOW,RESID_TA_W10,10,60,-0.0887845449033442,1.0
2016-01-04,PBR12MF,LOW,RESID_TA_W10,20,0,-0.04929587867557162,1.0
2016-01-04,PBR12MF,LOW,RESID_TA_W10,20,30,-0.05229587867557162,1.0
2016-01-04,PBR12MF,LOW,RESID_TA_W10,20,60,-0.05529587867557162,1.0
2016-01-04,PER12MF,HIGH,BASE,10,0,0.017650915169359665,1.0
2016-01-04,PER12MF,HIGH,BASE,10,30,0.014650915169359666,1.0
2016-01-04,PER12MF,HIGH,BASE,10,60,0.011650915169359665,1.0
2016-01-04,PER12MF,HIGH,BASE,20,0,0.059137962502421315,1.0
2016-01-04,PER12MF,HIGH,BASE,20,30,0.05613796250242131,1.0
2016-01-04,PER12MF,HIGH,BASE,20,60,0.05313796250242132,1.0
2016-01-04,PER12MF,HIGH,RAW_TA_W10,10,0,0.024370647766152782,1.0
2016-01-04,PER12MF,HIGH,RAW_TA_W10,10,30,0.021370647766152783,1.0
2016-01-04,PER12MF,HIGH,RAW_TA_W10,10,60,0.018370647766152784,1.0
2016-01-04,PER12MF,HIGH,RAW_TA_W10,20,0,0.046859324662090536,1.0
2016-01-04,PER12MF,HIGH,RAW_TA_W10,20,30,0.04385932466209053,1.0
2016-01-04,PER12MF,HIGH,RAW_TA_W10,20,60,0.04085932466209054,1.0
2016-01-04,PER12MF,HIGH,MCAP_W10,10,0,0.01420115166984039,1.0
2016-01-04,PER12MF,HIGH,MCAP_W10,10,30,0.011201151669840391,1.0
2016-01-04,PER12MF,HIGH,MCAP_W10,10,60,0.00820115166984039,1.0
2016-01-04,PER12MF,HIGH,MCAP_W10,20,0,0.04552241905231341,1.0
2016-01-04,PER12MF,HIGH,MCAP_W10,20,30,0.04252241905231341,1.0
2016-01-04,PER12MF,HIGH,MCAP_W10,20,60,0.039522419052313414,1.0
2016-01-04,PER12MF,HIGH,TURNOVER_W10,10,0,0.07523004606088077,1.0
2016-01-04,PER12MF,HIGH,TURNOVER_W10,10,30,0.07223004606088076,1.0
2016-01-04,PER12MF,HIGH,TURNOVER_W10,10,60,0.06923004606088076,1.0
2016-01-04,PER12MF,HIGH,TURNOVER_W10,20,0,0.06265084937320604,1.0
2016-01-04,PER12MF,HIGH,TURNOVER_W10,20,30,0.05965084937320604,1.0
2016-01-04,PER12MF,HIGH,TURNOVER_W10,20,60,0.056650849373206046,1.0
2016-01-04,PER12MF,HIGH,RESID_TA_W10,10,0,0.07296929031562042,1.0
2016-01-04,PER12MF,HIGH,RESID_TA_W10,10,30,0.06996929031562042,1.0
2016-01-04,PER12MF,HIGH,RESID_TA_W10,10,60,0.06696929031562042,1.0
2016-01-04,PER12MF,HIGH,RESID_TA_W10,20,0,0.05033425100723491,1.0
2016-01-04,PER12MF,HIGH,RESID_TA_W10,20,30,0.04733425100723491,1.0
2016-01-04,PER12MF,HIGH,RESID_TA_W10,20,60,0.04433425100723491,1.0
