sample,factor,direction,overlay,top_n,cost_bps,return,sharpe,mdd,turnover
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,60,0.1154603063060089,0.5267754016056178,-0.38749306535797745,0.47383720930232565
FULL,FOREIGN_FLOW,LOW,BASE,10,0,0.032961761365872366,0.25547986745926876,-0.5729338063870255,0.5285714285714286
OOS_2023_PLUS,FOREIGN_FLOW,LOW,BASE,10,0,0.14787742164703466,0.5702825126832461,-0.4092924156645277,0.563953488372093
FULL,FOREIGN_FLOW,LOW,BASE,10,30,-0.007498060756521596,0.11319324250567693,-0.6093516337514566,0.5285714285714286
OOS_2023_PLUS,FOREIGN_FLOW,LOW,BASE,10,30,0.10018089083788673,0.44493120506308653,-0.41331798233604367,0.563953488372093
FULL,FOREIGN_FLOW,LOW,BASE,10,60,-0.04643740524773543,-0.029247398144070447,-0.6752603045675516,0.5285714285714286
OOS_2023_PLUS,FOREIGN_FLOW,LOW,BASE,10,60,0.054386088894813556,0.3193800772103285,-0.41732346414332855,0.563953488372093
FULL,FOREIGN_FLOW,LOW,BASE,20,0,0.06913619955551087,0.4006330568323796,-0.4977620645842983,0.46505791505791505
OOS_2023_PLUS,FOREIGN_FLOW,LOW,BASE,20,0,0.12552022495208792,0.5606201889872707,-0.3306979171599428,0.4866279069767442
FULL,FOREIGN_FLOW,LOW,BASE,20,30,0.03224623475115296,0.2533243754254235,-0.5267231456973869,0.46505791505791505
OOS_2023_PLUS,FOREIGN_FLOW,LOW,BASE,20,30,0.08503357080891938,0.42915537288096184,-0.3355060826606251,0.4866279069767442
FULL,FOREIGN_FLOW,LOW,BASE,20,60,-0.0034222475285445864,0.10591194779689012,-0.5540513092369734,0.46505791505791505
OOS_2023_PLUS,FOREIGN_FLOW,LOW,BASE,20,60,0.04594506965400824,0.2974416503372695,-0.3424182123496674,0.4866279069767442
FULL,FOREIGN_FLOW,LOW,MCAP_W10,10,0,0.07546021376316947,0.3982957922813169,-0.4854635264750726,0.5200772200772201
OOS_2023_PLUS,FOREIGN_FLOW,LOW,MCAP_W10,10,0,0.17129841277450275,0.6196810985583263,-0.44197418223322915,0.5348837209302326
FULL,FOREIGN_FLOW,LOW,MCAP_W10,10,30,0.03407026824851278,0.2578695757947904,-0.5206240978533918,0.5200772200772201
OOS_2023_PLUS,FOREIGN_FLOW,LOW,MCAP_W10,10,30,0.12513692087053507,0.5052356899013768,-0.44546782865591616,0.5348837209302326
FULL,FOREIGN_FLOW,LOW,MCAP_W10,10,60,-0.005792092138365734,0.11725914960827062,-0.5950076270612674,0.5200772200772201
OOS_2023_PLUS,FOREIGN_FLOW,LOW,MCAP_W10,10,60,0.08072010142922292,0.39059004439121675,-0.44894629309729395,0.5348837209302326
FULL,FOREIGN_FLOW,LOW,MCAP_W10,20,0,0.04914757622536303,0.32004638936929886,-0.49786138611458086,0.4613899613899614
OOS_2023_PLUS,FOREIGN_FLOW,LOW,MCAP_W10,20,0,0.10526973122297045,0.4877806617413482,-0.33447304662282296,0.4726744186046512
FULL,FOREIGN_FLOW,LOW,MCAP_W10,20,30,0.013238001292798618,0.1758370349064721,-0.5255259019537836,0.4613899613899614
OOS_2023_PLUS,FOREIGN_FLOW,LOW,MCAP_W10,20,30,0.06663465785691147,0.36434649864402097,-0.33856658300363485,0.4726744186046512
FULL,FOREIGN_FLOW,LOW,MCAP_W10,20,60,-0.021492095012915602,0.031366808528682504,-0.5682268192356428,0.4613899613899614
OOS_2023_PLUS,FOREIGN_FLOW,LOW,MCAP_W10,20,60,0.029295689947501424,0.24060989834170599,-0.34264164090932947,0.4726744186046512
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,10,0,0.04271906590921426,0.28815910121876087,-0.5663165961695988,0.5243243243243244
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RAW_TA_W10,10,0,0.1030536067581973,0.4449511529087675,-0.4462955279776466,0.5372093023255815
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,10,30,0.0021737363355556205,0.14930802437725016,-0.6236821221813527,0.5243243243243244
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RAW_TA_W10,10,30,0.05925719582344913,0.33337198188956485,-0.4497868355339991,0.5372093023255815
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,10,60,-0.036859880169190395,0.010418896060250198,-0.7080353691171934,0.5243243243243244
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RAW_TA_W10,10,60,0.017128175499033782,0.22165186997428182,-0.4532625248131168,0.5372093023255815
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,20,0,0.0555203530034134,0.3431745834785263,-0.4960491998584733,0.45888030888030884
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RAW_TA_W10,20,0,0.12308361750651375,0.5394403913781398,-0.3503262182909046,0.472093023255814
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,20,30,0.019586380712189655,0.20208915835048982,-0.5243354941921219,0.45888030888030884
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RAW_TA_W10,20,30,0.08389256988434668,0.41810077829531395,-0.35445955348818636,0.472093023255814
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,20,60,-0.015173497996652574,0.060782475587756755,-0.5510695297744796,0.45888030888030884
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RAW_TA_W10,20,60,0.04601422246289255,0.29647399502393756,-0.3585736585844619,0.472093023255814
FULL,FOREIGN_FLOW,LOW,RESID_TA_W10,10,0,0.02343458245416996,0.22451517397136203,-0.56814254173475,0.5231660231660231
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RESID_TA_W10,10,0,0.06715050800177025,0.3530052862029666,-0.41506747734668015,0.5558139534883721
