sample,factor,direction,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,MOM12_1,HIGH,RAW_TA_W10,20,30,-0.009128045790124606,-0.030071504831214457,0.008815787104309192,-0.0015444015444015247
FULL,MOM12_1,HIGH,RESID_TA_W10,20,30,0.0006375672852230174,-0.001083484195662121,-0.011908729610659807,0.005598455598455593
FULL,MOM12_1,HIGH,TURNOVER_W10,20,30,0.003855205048693744,0.009819751818614664,-0.0009430078966667921,0.003281853281853292
FULL,MOM12_1,HIGH,MCAP_W10,20,60,-0.025998094991358744,-0.08662475528309449,-0.022688577811649346,-0.005791505791505808
FULL,MOM12_1,HIGH,RAW_TA_W10,20,60,-0.008890700421705144,-0.02948716963359871,0.008715250903982508,-0.0015444015444015247
FULL,MOM12_1,HIGH,RESID_TA_W10,20,60,0.00016472886120699748,-0.0013853125886106321,-0.01064190166633916,0.005598455598455593
FULL,MOM12_1,HIGH,TURNOVER_W10,20,60,0.0035295769978231917,0.009850427644996274,-0.00036070291978496094,0.003281853281853292
FULL,MOM12_1,LOW,MCAP_W10,10,0,0.014730372309823547,0.04985615931525117,-0.022813730875977156,0.0019305019305018711
FULL,MOM12_1,LOW,RAW_TA_W10,10,0,0.0021194762272847,0.01014535391926008,-0.05856852861085704,0.020463320463320445
FULL,MOM12_1,LOW,RESID_TA_W10,10,0,0.0243539339593124,0.08046473623768466,0.01670549361043161,0.04324324324324319
FULL,MOM12_1,LOW,TURNOVER_W10,10,0,0.02469191186730857,0.08158650445274021,0.01704566498655391,0.04208494208494207
FULL,MOM12_1,LOW,MCAP_W10,10,30,0.014281680091664528,0.05000349258998647,-0.019864603299596273,0.0019305019305018711
FULL,MOM12_1,LOW,RAW_TA_W10,10,30,0.0005060926648869923,0.00670803955669351,-0.05634661960893017,0.020463320463320445
FULL,MOM12_1,LOW,RESID_TA_W10,10,30,0.020546019903132096,0.07000355763428438,0.01036095929082348,0.04324324324324319
FULL,MOM12_1,LOW,TURNOVER_W10,10,30,0.02095161440531823,0.07188355974920445,0.011620066830351217,0.04208494208494207
FULL,MOM12_1,LOW,MCAP_W10,10,60,0.013844521156386791,0.0501581766990314,-0.017205105624713335,0.0019305019305018711
FULL,MOM12_1,LOW,RAW_TA_W10,10,60,-0.0010406258644306554,0.0033525981362764624,-0.054141087262778775,0.020463320463320445
FULL,MOM12_1,LOW,RESID_TA_W10,10,60,0.01689236186063836,0.059597223644546365,0.004881086706556403,0.04324324324324319
FULL,MOM12_1,LOW,TURNOVER_W10,10,60,0.017362095026667745,0.06226222387346783,0.0069060327997038096,0.04208494208494207
FULL,MOM12_1,LOW,MCAP_W10,20,0,-0.006480384368911407,-0.026064338392432718,-0.057772806231352725,0.010617760617760624
FULL,MOM12_1,LOW,RAW_TA_W10,20,0,0.015904736400419672,0.06042676130115296,-0.03261432396760189,0.005598455598455593
FULL,MOM12_1,LOW,RESID_TA_W10,20,0,0.015794168553617594,0.060181960591494665,0.008686541834104333,0.014285714285714318
FULL,MOM12_1,LOW,TURNOVER_W10,20,0,0.029170178844358796,0.10928583121048305,0.01831219920058691,0.015830115830115815
FULL,MOM12_1,LOW,MCAP_W10,20,30,-0.0071648559806889445,-0.029855651273231407,-0.05506999718360994,0.010617760617760624
FULL,MOM12_1,LOW,RAW_TA_W10,20,30,0.015185366502875719,0.05927230781491871,-0.031007888155201835,0.005598455598455593
FULL,MOM12_1,LOW,RESID_TA_W10,20,30,0.014424577396313754,0.05714663066286896,0.006617648530947706,0.014285714285714318
FULL,MOM12_1,LOW,TURNOVER_W10,20,30,0.027433813318431866,0.1060572186921516,0.0156875440802684,0.015830115830115815
FULL,MOM12_1,LOW,MCAP_W10,20,60,-0.007823195649221515,-0.03363023508654458,-0.05247937878663911,0.010617760617760624
FULL,MOM12_1,LOW,RAW_TA_W10,20,60,0.01448592409371452,0.05815133679597712,-0.029475309227980362,0.005598455598455593
FULL,MOM12_1,LOW,RESID_TA_W10,20,60,0.013098447268601876,0.0541286868117836,0.004771735192944604,0.014285714285714318
FULL,MOM12_1,LOW,TURNOVER_W10,20,60,0.02574970091743045,0.10285136374856158,0.013317285710588211,0.015830115830115815
FULL,MOM1M,HIGH,MCAP_W10,10,0,0.051076944226904786,0.16189420154285017,0.11906280171980987,-0.010038610038609952
FULL,MOM1M,HIGH,RAW_TA_W10,10,0,0.03191396523964629,0.09665615638135583,0.008852132895512232,-0.006563706563706528
FULL,MOM1M,HIGH,RESID_TA_W10,10,0,-0.0010421350339109292,-0.0030076303515470526,0.016016233626203746,-0.011583011583011449
FULL,MOM1M,HIGH,TURNOVER_W10,10,0,0.0011840873942818853,0.0035476841503284118,-0.025073419950098708,-0.011583011583011449
FULL,MOM1M,HIGH,MCAP_W10,10,30,0.04945348422661766,0.1621606177377994,0.15737809242879974,-0.010038610038609952
FULL,MOM1M,HIGH,RAW_TA_W10,10,30,0.030960660522802774,0.10287873399760675,0.03565877640228954,-0.006563706563706528
FULL,MOM1M,HIGH,RESID_TA_W10,10,30,-8.97343533874384e-05,0.0004982696506336814,0.053683904582333186,-0.011583011583011449
FULL,MOM1M,HIGH,TURNOVER_W10,10,30,0.002045049915663455,0.009500928642814488,0.028143606021271417,-0.011583011583011449
FULL,MOM1M,HIGH,MCAP_W10,10,60,0.047863051621918284,0.16238473758791291,0.12697317733979208,-0.010038610038609952
FULL,MOM1M,HIGH,RAW_TA_W10,10,60,0.03002204100607231,0.10889733028172197,0.04278696399619886,-0.006563706563706528
FULL,MOM1M,HIGH,RESID_TA_W10,10,60,0.000775033541385084,0.003893030634342272,0.03770958333388319,-0.011583011583011449
FULL,MOM1M,HIGH,TURNOVER_W10,10,60,0.0028217647164782145,0.01528966622622081,0.02086532769774785,-0.011583011583011449
FULL,MOM1M,HIGH,MCAP_W10,20,0,0.009243430793419716,0.03425071674357527,-0.024236807490970236,-0.007528957528957547
FULL,MOM1M,HIGH,RAW_TA_W10,20,0,0.0010696653409785206,0.0004585391237516001,-0.0650021490730488,-0.012934362934363008
FULL,MOM1M,HIGH,RESID_TA_W10,20,0,0.0016339062537678029,0.0038985634047590256,-0.04762333339142266,-0.012934362934363008
FULL,MOM1M,HIGH,TURNOVER_W10,20,0,0.005699214623584359,0.02063158159887929,-0.040811287576905,-0.013513513513513598
FULL,MOM1M,HIGH,MCAP_W10,20,30,0.009440593950617027,0.04181314831232821,0.004994216477888891,-0.007528957528957547
FULL,MOM1M,HIGH,RAW_TA_W10,20,30,0.002027246214039158,0.012702816924920354,0.005660420823607071,-0.012934362934363008
FULL,MOM1M,HIGH,RESID_TA_W10,20,30,0.0025266947690407715,0.014395683807529716,0.03434006323234051,-0.012934362934363008
FULL,MOM1M,HIGH,TURNOVER_W10,20,30,0.006470700529973783,0.03059310983700611,0.04354970017293247,-0.013513513513513598
FULL,MOM1M,HIGH,MCAP_W10,20,60,0.009602806910449457,0.04917009088673106,0.01177626947116639,-0.007528957528957547
FULL,MOM1M,HIGH,RAW_TA_W10,20,60,0.002900202517610806,0.024750799975997675,0.009414562628689227,-0.012934362934363008
FULL,MOM1M,HIGH,RESID_TA_W10,20,60,0.003338995611270823,0.024972981286634874,0.028731179375406368,-0.012934362934363008
FULL,MOM1M,HIGH,TURNOVER_W10,20,60,0.007164406000483514,0.04058445443389589,0.03723325324766391,-0.013513513513513598
FULL,MOM1M,LOW,MCAP_W10,10,0,-0.014042914718646937,-0.04552525614306957,0.0008077168597944162,-0.010424710424710493
FULL,MOM1M,LOW,RAW_TA_W10,10,0,0.007427256469654697,0.020296886028423833,-0.016216944860983795,-0.015057915057915094
FULL,MOM1M,LOW,RESID_TA_W10,10,0,0.046244975481747774,0.13382694503710613,-0.014454716583646166,-0.020077220077220126
FULL,MOM1M,LOW,TURNOVER_W10,10,0,0.04266617930844463,0.12345700040914231,-0.01133136343884611,-0.018918918918918948
FULL,MOM1M,LOW,MCAP_W10,10,30,-0.012504320577339856,-0.042107979883492436,-0.0038525390986380303,-0.010424710424710493
FULL,MOM1M,LOW,RAW_TA_W10,10,30,0.008195275300469262,0.02863828527187176,-0.02460119226925417,-0.015057915057915094
FULL,MOM1M,LOW,RESID_TA_W10,10,30,0.04540987355817894,0.14634042417933257,0.021480723571648985,-0.020077220077220126
FULL,MOM1M,LOW,TURNOVER_W10,10,30,0.04190546862977618,0.13549300888014837,0.02456662639623619,-0.018918918918918948
FULL,MOM1M,LOW,MCAP_W10,10,60,-0.011086907225570708,-0.03869413354160634,-0.06384789866924379,-0.010424710424710493
FULL,MOM1M,LOW,RAW_TA_W10,10,60,0.008861553895333496,0.03701492851692764,-0.027092007140916197,-0.015057915057915094
FULL,MOM1M,LOW,RESID_TA_W10,10,60,0.04453082259158658,0.15889118292575996,0.05210707776480672,-0.020077220077220126
FULL,MOM1M,LOW,TURNOVER_W10,10,60,0.04110300817209622,0.14763752395745972,0.04748164595428306,-0.018918918918918948
