source,destination,period,n,source_coef_discovery,baseline_mse,augmented_mse,incremental_oos_r2
OP12_REV,PER12MF,STRESS_2026,29,-0.032966542635587744,2.2889258431454262,2.27318842268234,0.006875461042224029
OP12_REV,PRIVATE_FLOW,DISC_2016_2019,194,0.002298245063499474,0.37798021739145965,0.37797764958785895,6.7934867554741984e-06
OP12_REV,PRIVATE_FLOW,VAL_2020_2022,149,0.002298245063499474,0.6215881625882391,0.6217088299530993,-0.00019412751420122554
OP12_REV,PRIVATE_FLOW,CONF_2023_2024,97,0.002298245063499474,0.7640311168173771,0.7639161126567919,0.00015052287538264153
OP12_REV,PRIVATE_FLOW,STRESS_2025,49,0.002298245063499474,0.4892224496760967,0.48949456157552645,-0.0005562130266301146
OP12_REV,PRIVATE_FLOW,STRESS_2026,29,0.002298245063499474,1.4253417454208794,1.4244552127668106,0.0006219790144482706
OP12_REV,FOREIGN_FLOW,DISC_2016_2019,194,-0.059090823042764425,0.35736003957318896,0.35588026303251163,0.0041408562144907846
OP12_REV,FOREIGN_FLOW,VAL_2020_2022,149,-0.059090823042764425,0.6696488022358275,0.6862775021358419,-0.024831971392309526
OP12_REV,FOREIGN_FLOW,CONF_2023_2024,97,-0.059090823042764425,0.5269716092993904,0.5342336433900455,-0.013780693233758967
OP12_REV,FOREIGN_FLOW,STRESS_2025,49,-0.059090823042764425,1.0470035969451579,1.0379336990062944,0.008662718987142659
OP12_REV,FOREIGN_FLOW,STRESS_2026,29,-0.059090823042764425,1.0126794770164897,1.0505812165183812,-0.037427182402822945
OPFY1_REV,MOM1M,DISC_2016_2019,194,0.11826038479893472,0.6346826370798231,0.6290258550690023,0.008912772589538043
OPFY1_REV,MOM1M,VAL_2020_2022,149,0.11826038479893472,1.2529071959306843,1.2773598459042197,-0.019516728815154982
OPFY1_REV,MOM1M,CONF_2023_2024,97,0.11826038479893472,1.1500080912472355,1.133710656408942,0.014171582758707446
OPFY1_REV,MOM1M,STRESS_2025,49,0.11826038479893472,0.9395928310982586,0.9283108274588454,0.012007332608344856
OPFY1_REV,MOM1M,STRESS_2026,29,0.11826038479893472,2.3097325143798573,2.258561597041785,0.022154477637342795
OPFY1_REV,MOM12_1,DISC_2016_2019,194,0.013895002176024908,0.6336047420347043,0.6335278183017988,0.00012140649809289084
OPFY1_REV,MOM12_1,VAL_2020_2022,149,0.013895002176024908,1.0206922752801748,1.0214199294627928,-0.0007129026056538201
OPFY1_REV,MOM12_1,CONF_2023_2024,97,0.013895002176024908,0.8728576443674089,0.8786117656420377,-0.006592279178352145
OPFY1_REV,MOM12_1,STRESS_2025,49,0.013895002176024908,1.651587753391029,1.6507915657399972,0.0004820740825893788
OPFY1_REV,MOM12_1,STRESS_2026,29,0.013895002176024908,4.158817854049353,4.147424089659805,0.0027396642001173976
OPFY1_REV,OP12_REV,DISC_2016_2019,194,0.13857001283080037,0.4579219039364728,0.4534930415897737,0.009671654290015153
OPFY1_REV,OP12_REV,VAL_2020_2022,149,0.13857001283080037,0.6870936591299827,0.6817089473830882,0.007836939950388588
OPFY1_REV,OP12_REV,CONF_2023_2024,97,0.13857001283080037,0.6972431817853288,0.7177292752412624,-0.02938156154281457
OPFY1_REV,OP12_REV,STRESS_2025,49,0.13857001283080037,0.5723921346592167,0.5537690832884542,0.03253547741680629
OPFY1_REV,OP12_REV,STRESS_2026,29,0.13857001283080037,1.5895147391934494,1.7007463682282158,-0.0699783564707348
OPFY1_REV,PBR12MF,DISC_2016_2019,194,-0.12632800373401232,0.6896198122387451,0.6824144366163764,0.010448330361881086
OPFY1_REV,PBR12MF,VAL_2020_2022,149,-0.12632800373401232,0.96343124195579,0.9669423695516621,-0.003644398731293519
OPFY1_REV,PBR12MF,CONF_2023_2024,97,-0.12632800373401232,1.1914834089963655,1.2280608872261145,-0.03069910831621203
OPFY1_REV,PBR12MF,STRESS_2025,49,-0.12632800373401232,1.1439415535144748,1.134580795629402,0.00818289872967215
OPFY1_REV,PBR12MF,STRESS_2026,29,-0.12632800373401232,2.2231315282547497,2.2245596264724887,-0.0006423813434286441
OPFY1_REV,PER12MF,DISC_2016_2019,194,-0.07063666062667989,0.6300668686566641,0.6278119071187157,0.003578924158884944
OPFY1_REV,PER12MF,VAL_2020_2022,149,-0.07063666062667989,1.0133098189299463,1.0149319437473014,-0.0016008182167503993
OPFY1_REV,PER12MF,CONF_2023_2024,97,-0.07063666062667989,1.07030291869224,1.0854954135496517,-0.014194574818103822
OPFY1_REV,PER12MF,STRESS_2025,49,-0.07063666062667989,0.7910968429491804,0.7665027019263959,0.031088660310030325
OPFY1_REV,PER12MF,STRESS_2026,29,-0.07063666062667989,2.2889258431454262,2.2889627853046437,-1.6139517725388686e-05
OPFY1_REV,PRIVATE_FLOW,DISC_2016_2019,194,0.005260301428123351,0.37798021739145965,0.37796769836207156,3.3120858743629356e-05
OPFY1_REV,PRIVATE_FLOW,VAL_2020_2022,149,0.005260301428123351,0.6215881625882391,0.622239345473585,-0.0010476114645336931
OPFY1_REV,PRIVATE_FLOW,CONF_2023_2024,97,0.005260301428123351,0.7640311168173771,0.7628280060023185,0.0015746882405395235
OPFY1_REV,PRIVATE_FLOW,STRESS_2025,49,0.005260301428123351,0.4892224496760967,0.48953660112625347,-0.0006421443872102195
OPFY1_REV,PRIVATE_FLOW,STRESS_2026,29,0.005260301428123351,1.4253417454208794,1.4231977616506872,0.0015041892774698695
OPFY1_REV,FOREIGN_FLOW,DISC_2016_2019,194,-0.10611354079711308,0.35736003957318896,0.3526249217740122,0.013250272203999325
OPFY1_REV,FOREIGN_FLOW,VAL_2020_2022,149,-0.10611354079711308,0.6696488022358275,0.690332039428608,-0.030886693328985526
OPFY1_REV,FOREIGN_FLOW,CONF_2023_2024,97,-0.10611354079711308,0.5269716092993904,0.5628310578315555,-0.0680481602791474
OPFY1_REV,FOREIGN_FLOW,STRESS_2025,49,-0.10611354079711308,1.0470035969451579,1.0495922726022278,-0.002472461092419165
OPFY1_REV,FOREIGN_FLOW,STRESS_2026,29,-0.10611354079711308,1.0126794770164897,1.035843253141367,-0.022873748950775097
PBR12MF,MOM1M,DISC_2016_2019,194,-0.08027229149505448,0.6346826370798231,0.6301194240570339,0.007189755566316625
PBR12MF,MOM1M,VAL_2020_2022,149,-0.08027229149505448,1.2529071959306843,1.2415077178916116,0.00909842171558839
PBR12MF,MOM1M,CONF_2023_2024,97,-0.08027229149505448,1.1500080912472355,1.127668574998683,0.0194255296276431
PBR12MF,MOM1M,STRESS_2025,49,-0.08027229149505448,0.9395928310982586,0.9677591535701088,-0.029977157700242785
PBR12MF,MOM1M,STRESS_2026,29,-0.08027229149505448,2.3097325143798573,2.2183325017752664,0.039571687212937245
PBR12MF,MOM12_1,DISC_2016_2019,194,-0.027035544503688204,0.6336047420347043,0.6331732440009078,0.0006810208402336926
PBR12MF,MOM12_1,VAL_2020_2022,149,-0.027035544503688204,1.0206922752801748,1.0267483626891722,-0.005933313649635563
PBR12MF,MOM12_1,CONF_2023_2024,97,-0.027035544503688204,0.8728576443674089,0.8680951083514454,0.005456257439797052
PBR12MF,MOM12_1,STRESS_2025,49,-0.027035544503688204,1.651587753391029,1.673074255208072,-0.013009603499981814
PBR12MF,MOM12_1,STRESS_2026,29,-0.027035544503688204,4.158817854049353,4.159742910448483,-0.00022243253530085383
PBR12MF,OP12_REV,DISC_2016_2019,194,-0.07629628719357323,0.4579219039364728,0.4539534936531976,0.008666128982171895
PBR12MF,OP12_REV,VAL_2020_2022,149,-0.07629628719357323,0.6870936591299827,0.6857157019244047,0.0020054867153377343
PBR12MF,OP12_REV,CONF_2023_2024,97,-0.07629628719357323,0.6972431817853288,0.71088863156163,-0.019570574704454113
PBR12MF,OP12_REV,STRESS_2025,49,-0.07629628719357323,0.5723921346592167,0.5516499865210658,0.03623765401755574
PBR12MF,OP12_REV,STRESS_2026,29,-0.07629628719357323,1.5895147391934494,1.5619972330335634,0.017311891158586556
PBR12MF,OPFY1_REV,DISC_2016_2019,194,0.008602458026395643,0.442826437608445,0.44277421520124977,0.0001179297412260416
PBR12MF,OPFY1_REV,VAL_2020_2022,149,0.008602458026395643,0.7945692050443424,0.7942400824050972,0.0004142151963046903
PBR12MF,OPFY1_REV,CONF_2023_2024,97,0.008602458026395643,0.9437913771557375,0.9454188881581767,-0.001724439364284125
PBR12MF,OPFY1_REV,STRESS_2025,49,0.008602458026395643,0.8434291915231442,0.8443557907141668,-0.0010986093442524325
PBR12MF,OPFY1_REV,STRESS_2026,29,0.008602458026395643,0.6890438172974821,0.6904489268016812,-0.0020392164749554187
PBR12MF,PER12MF,DISC_2016_2019,194,0.1491919281613067,0.6300668686566641,0.6248703705083203,0.008247534360000475
PBR12MF,PER12MF,VAL_2020_2022,149,0.1491919281613067,1.0133098189299463,1.0171005819320929,-0.003740971350844724
PBR12MF,PER12MF,CONF_2023_2024,97,0.1491919281613067,1.07030291869224,1.0635198756811253,0.006337498377938289
PBR12MF,PER12MF,STRESS_2025,49,0.1491919281613067,0.7910968429491804,0.7838914914048773,0.009108052457195703
PBR12MF,PER12MF,STRESS_2026,29,0.1491919281613067,2.2889258431454262,2.3162519204182064,-0.011938384703293226
PBR12MF,PRIVATE_FLOW,DISC_2016_2019,194,-0.0303890003588057,0.37798021739145965,0.37733058846176276,0.0017186849993899855
PBR12MF,PRIVATE_FLOW,VAL_2020_2022,149,-0.0303890003588057,0.6215881625882391,0.6193123740307277,0.0036612482258916446
PBR12MF,PRIVATE_FLOW,CONF_2023_2024,97,-0.0303890003588057,0.7640311168173771,0.7707104115825218,-0.008742176356596243
PBR12MF,PRIVATE_FLOW,STRESS_2025,49,-0.0303890003588057,0.4892224496760967,0.4934738862047398,-0.008690190998916547
PBR12MF,PRIVATE_FLOW,STRESS_2026,29,-0.0303890003588057,1.4253417454208794,1.4030313019130631,0.01565269773336242
PBR12MF,FOREIGN_FLOW,DISC_2016_2019,194,-0.03405312462402377,0.35736003957318896,0.35656061815401946,0.0022370196178741475
PBR12MF,FOREIGN_FLOW,VAL_2020_2022,149,-0.03405312462402377,0.6696488022358275,0.6616502068463634,0.011944463071924094
PBR12MF,FOREIGN_FLOW,CONF_2023_2024,97,-0.03405312462402377,0.5269716092993904,0.5203999359186283,0.012470640286483481
