universe,strategy,period,cost_bp,n_phases,median_cagr,median_mdd,median_sharpe,median_benchmark_cagr,median_excess_cagr,median_information_ratio,median_relative_mdd,median_turnover,positive_cagr_phases,positive_excess_phases
K200,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,0,10,-0.05595691828970334,-0.5373858143720471,-0.13227738763822547,0.020023146913723422,-0.07458804618610482,-0.3764599626578444,-0.5230777784397305,12.718855517179867,0,0
K200,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,30,10,-0.09112382241925449,-0.597929707076448,-0.2959759951511016,0.020023146913723422,-0.10906092756236369,-0.5891544370907389,-0.6206262351039493,12.718855517179867,0,0
K200,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,60,10,-0.12503500863261752,-0.6747179395569423,-0.4591708173274701,0.020023146913723422,-0.1423028723043966,-0.8001052225393572,-0.7068935391898385,12.718855517179867,0,0
K200,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,0,10,1.2836520907603555,-0.328007472423323,1.7255131823178242,1.0477770274712994,0.11518591141747625,0.10887198700689213,-0.22453662209203384,11.944120499699572,10,9
K200,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,30,10,1.204687097518078,-0.332235953121131,1.6630494736669146,1.0477770274712994,0.07662458751211765,0.02050919364287459,-0.22825920550457374,11.944120499699572,10,9
K200,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,60,10,1.1283477682864582,-0.3364442231741955,1.6004549378064437,1.0477770274712994,0.03934546570953967,-0.06757615317390993,-0.23196731112790386,11.944120499699572,10,7
KOSDAQ,WEIGHTED_MOM,BULL_2025,0,10,0.6713947598342077,-0.21992158400489287,1.6458367682153252,0.4002075396664764,0.1936764461590641,0.8151562114763626,-0.2152428183560347,12.358116191987673,10,10
KOSDAQ,WEIGHTED_MOM,BULL_2025,30,10,0.6091929057363874,-0.22429114134225148,1.5390651318415858,0.4002075396664764,0.14925313580277155,0.6722163496754905,-0.2216572598444953,12.358116191987673,10,9
KOSDAQ,WEIGHTED_MOM,BULL_2025,60,10,0.5492008331434465,-0.22864273980761463,1.4314841261203015,0.4002075396664764,0.10640800685336738,0.5290030182539138,-0.23196486634423025,12.358116191987673,10,7
KOSDAQ,WEIGHTED_MOM,EARLY_2017_2019,0,10,0.09189717194412317,-0.49295173155605554,0.4330645878424946,0.02669404119639318,0.06585818174388236,0.43253916361514577,-0.3765121025072957,11.396855369553142,10,10
KOSDAQ,WEIGHTED_MOM,EARLY_2017_2019,30,10,0.05510858913632277,-0.508813380721288,0.32713428029432057,0.02669404119639318,0.030219293783899537,0.2765315249250469,-0.3964502004152788,11.396855369553142,9,9
KOSDAQ,WEIGHTED_MOM,EARLY_2017_2019,60,10,0.019702109994702344,-0.524889833846107,0.22216211085269316,0.02669404119639318,-0.004277225830845943,0.1202147609544612,-0.41577951537486824,11.396855369553142,9,4
KOSDAQ,WEIGHTED_MOM,LATE_2020_2022,0,10,-0.10109241740331276,-0.6100115801269914,-0.08951527190867761,0.010954874215636456,-0.11083312863581868,-0.28912468539645053,-0.4848875540093452,12.06546572215106,0,0
KOSDAQ,WEIGHTED_MOM,LATE_2020_2022,30,10,-0.13307687719257344,-0.6256374847753599,-0.18424193284031642,0.010954874215636456,-0.14247099952899384,-0.4137517250049011,-0.5290954271653778,12.06546572215106,0,0
KOSDAQ,WEIGHTED_MOM,LATE_2020_2022,60,10,-0.16396865364878022,-0.6406038576671831,-0.27875019450671945,0.010954874215636456,-0.1730280275864282,-0.5377983564259082,-0.5673594790718502,12.06546572215106,0,0
KOSDAQ,WEIGHTED_MOM,NORMAL_2023_2024,0,10,-0.07273389004464187,-0.5258037290108692,0.012194032919808681,0.0014985933119997519,-0.0741214055140616,-0.09589943437538026,-0.3453185328029363,11.860696824414456,1,1
KOSDAQ,WEIGHTED_MOM,NORMAL_2023_2024,30,10,-0.10521984776147814,-0.5441509290782248,-0.07647726915260135,0.0014985933119997519,-0.10655875283913807,-0.22316181280884334,-0.3623690463706373,11.860696824414456,0,0
KOSDAQ,WEIGHTED_MOM,NORMAL_2023_2024,60,10,-0.13661274796425943,-0.5636058351477407,-0.16501426365358707,0.0014985933119997519,-0.13790467824774294,-0.3499357624127452,-0.3858481050667153,11.860696824414456,0,0
KOSDAQ,WEIGHTED_MOM,PRE_STRESS_2017_2024,0,10,-0.01318479584096216,-0.6988482880297617,0.1485757889382721,0.014393132603617964,-0.026920797639609195,0.039592295983326385,-0.5421963096763553,11.772164159686932,1,0
KOSDAQ,WEIGHTED_MOM,PRE_STRESS_2017_2024,30,10,-0.047413902448447454,-0.7304906641795874,0.05263401653902407,0.014393132603617964,-0.060698932953907714,-0.09594196509914765,-0.5891682406089541,11.772164159686932,0,0
KOSDAQ,WEIGHTED_MOM,PRE_STRESS_2017_2024,60,10,-0.08050360917793214,-0.7588498652216826,-0.043714654458711685,0.014393132603617964,-0.09335169655202064,-0.23144952372476907,-0.6517426355065717,11.772164159686932,0,0
KOSDAQ,WEIGHTED_MOM,YTD_2026,0,10,-0.12808449229088736,-0.613120309281085,0.254226158885676,-0.2345756976108171,0.13912702404082233,0.6381935574101913,-0.2817031634585498,10.91530193257051,1,7
KOSDAQ,WEIGHTED_MOM,YTD_2026,30,10,-0.15498369617729274,-0.6155777403375299,0.21673617849063231,-0.2345756976108171,0.10398415778684733,0.5732522811445213,-0.2858817532433337,10.91530193257051,1,7
KOSDAQ,WEIGHTED_MOM,YTD_2026,60,10,-0.1835894868289651,-0.618022948664735,0.17920741419980823,-0.2345756976108171,0.06661169579108639,0.5033144566298652,-0.29004100482390044,10.91530193257051,1,6
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,0,10,0.6754949869514458,-0.21135993615337972,1.6851507311694895,0.4002075396664764,0.19660474571543696,0.8220363401513059,-0.19995138687841635,13.289580144389697,10,10
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,30,10,0.6106746647742693,-0.2162137702306418,1.5686594709117188,0.4002075396664764,0.15031137823891727,0.6702184113082178,-0.20451351848354377,13.289580144389697,10,10
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,60,10,0.5482632627207636,-0.2219945755770661,1.4515337021303492,0.4002075396664764,0.10573841295666142,0.5181799504250773,-0.20905669482077022,13.289580144389697,10,9
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,0,10,0.1495988083160673,-0.49275253384867623,0.5925948781803857,0.02669404119639318,0.12230595562820568,0.6599022657824221,-0.371408108936317,12.77046012511822,10,10
