universe,strategy,period,cost_bp,n_phases,median_delta_cagr,median_delta_excess_cagr,median_delta_sharpe,median_delta_mdd,cagr_better_phases,excess_better_phases,sharpe_better_phases,mdd_better_phases
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,60,10,0.01264018035283404,0.011838771207506593,0.031151367582198844,0.013722033520888743,7,7,6,8
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,0,10,0.015787401551350444,0.01541978469533134,0.05531263225003867,-0.011185511944260373,9,9,8,1
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,30,10,0.011989576457143936,0.011710481848102139,0.04105972636525951,-0.0016336296783522886,8,8,7,4
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,60,10,0.00838083706801751,0.00818186960438616,0.026826991661196925,0.008570273711586918,7,7,7,7
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,0,10,0.06389021301142728,0.06174726574245232,0.07383228096429077,0.035948259123278814,10,10,7,10
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,30,10,0.05662595485818456,0.05472665871254784,0.05683368142437707,0.0348003660524876,10,10,7,10
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,60,10,0.049786456956363245,0.048116565013014645,0.03978011932432098,0.033662394332518775,10,10,6,10
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,0,10,0.036554434062874175,0.021010560028362157,0.0707038284068181,-0.002445574901289438,8,8,9,4
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,30,10,0.03241087769488826,0.018628949095725877,0.06499709879419102,-0.0023962178865606365,7,7,7,3
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,60,10,0.028524620331083828,0.016395227093975118,0.05920376177262854,-0.003536943623023092,7,7,7,3
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,0,10,0.0345007559502124,0.033681534372597244,0.09749553563357174,0.010761374042301097,9,9,9,7
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,30,10,0.029437781403436614,0.028739127097801798,0.08415793515132461,0.010905093737429705,8,8,8,7
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,60,10,0.024699416820029685,0.024113596079709088,0.0710636362473803,0.007203527807835286,8,8,8,7
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,0,10,0.03284583891503401,0.03266599608485232,0.08115173995870165,0.0271150331639351,9,9,9,6
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,30,10,0.02768307780090007,0.027531502952324927,0.06769594278310642,0.02779535547546913,9,9,9,6
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,60,10,0.022858715865530677,0.022733556140848044,0.05422933054652175,0.021165224179867936,9,9,8,8
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,0,10,0.005560403061711405,0.0053852357186295885,0.01292087001071701,0.007982699132980609,6,6,6,6
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,30,10,0.0013557529983965755,0.0013130432077629872,0.0013387769227156815,0.005903017944777822,6,6,5,6
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,60,10,-0.002543015132839166,-0.0024629034576077458,-0.010217443056318123,0.002901120637684329,4,4,4,6
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,0,10,0.028574240308570975,0.02804095710154808,0.0735701423923904,0.032099631893474145,9,9,9,9
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,30,10,0.02363165105638726,0.023190596517428885,0.06133232062817021,0.041174846195212444,9,9,8,9
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,60,10,0.019015070149251856,0.018660160993897557,0.049061742500065016,0.025848591726075676,8,8,8,9
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,0,10,0.21877673671215608,0.12228990438176374,0.2974269877950887,0.0684230803613865,10,10,10,10
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,30,10,0.20748481439210714,0.11597804453068045,0.28968737923577875,0.0674525200590737,10,10,10,10
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,60,10,0.19672025401486148,0.10996096484008511,0.2819049317621576,0.06649063226966206,10,10,10,10
