universe,horizon,topn,sample,family,n_dates,gross_delta,positive_date_rate
KOSDAQ,10,10,LATE_2020_2022,MOMENTUM,75,0.0013493702840322946,0.48
KOSDAQ,10,10,LATE_2020_2022,REVISION,75,0.0006112500872887286,0.56
KOSDAQ,10,10,LATE_2020_2022,VALUE,75,-0.0002509571003456887,0.52
KOSDAQ,10,10,NORMAL_2023_2024,FLOW,48,-0.003784956817992515,0.4166666666666667
KOSDAQ,10,10,NORMAL_2023_2024,MOMENTUM,48,-0.0012933872819966595,0.5
KOSDAQ,10,10,NORMAL_2023_2024,REVISION,48,-0.000725757665463338,0.4791666666666667
KOSDAQ,10,10,NORMAL_2023_2024,VALUE,48,-0.0008674614534093466,0.4583333333333333
KOSDAQ,10,10,YTD_2026,FLOW,13,0.023325419135550807,0.7692307692307693
KOSDAQ,10,10,YTD_2026,MOMENTUM,13,0.01846135800129582,0.7692307692307693
KOSDAQ,10,10,YTD_2026,REVISION,13,0.01263090324628996,0.7692307692307693
KOSDAQ,10,10,YTD_2026,VALUE,13,-0.0023866672172387325,0.5384615384615384
KOSDAQ,10,20,BULL_2025,FLOW,25,-0.0017658815250466413,0.48
KOSDAQ,10,20,BULL_2025,MOMENTUM,25,0.0021687112876285462,0.52
KOSDAQ,10,20,BULL_2025,REVISION,25,0.001965004890049723,0.56
KOSDAQ,10,20,BULL_2025,VALUE,25,-0.0006645079350496664,0.4
KOSDAQ,10,20,EARLY_2016_2019,FLOW,98,0.0010940535272014151,0.5102040816326531
KOSDAQ,10,20,EARLY_2016_2019,MOMENTUM,98,0.000695961655897143,0.5408163265306123
KOSDAQ,10,20,EARLY_2016_2019,REVISION,98,-0.000513139823323318,0.5
KOSDAQ,10,20,EARLY_2016_2019,VALUE,98,0.00042356828668782033,0.5612244897959183
KOSDAQ,10,20,LATE_2020_2022,FLOW,75,0.0004946939147822639,0.5333333333333333
KOSDAQ,10,20,LATE_2020_2022,MOMENTUM,75,-1.4051691370708616e-05,0.52
KOSDAQ,10,20,LATE_2020_2022,REVISION,75,0.0008808775203351908,0.5333333333333333
KOSDAQ,10,20,LATE_2020_2022,VALUE,75,0.001285272303073519,0.5733333333333334
KOSDAQ,10,20,NORMAL_2023_2024,FLOW,48,-0.0025111346159836646,0.4375
KOSDAQ,10,20,NORMAL_2023_2024,MOMENTUM,48,0.004882255557190719,0.6458333333333334
KOSDAQ,10,20,NORMAL_2023_2024,REVISION,48,0.0005097821939225672,0.5
KOSDAQ,10,20,NORMAL_2023_2024,VALUE,48,-0.0009441005803295105,0.4583333333333333
KOSDAQ,10,20,YTD_2026,FLOW,13,0.002751890772377581,0.6153846153846154
KOSDAQ,10,20,YTD_2026,MOMENTUM,13,0.00825626286864517,0.6923076923076923
KOSDAQ,10,20,YTD_2026,REVISION,13,0.009907310250235637,0.6923076923076923
KOSDAQ,10,20,YTD_2026,VALUE,13,0.0007356794655415493,0.6153846153846154
KOSDAQ,20,10,BULL_2025,FLOW,12,0.01646119443112003,0.6666666666666666
KOSDAQ,20,10,BULL_2025,MOMENTUM,12,0.03959422370230229,0.5
KOSDAQ,20,10,BULL_2025,REVISION,12,0.0019336231745057102,0.5
KOSDAQ,20,10,BULL_2025,VALUE,12,0.0036745549551286936,0.5833333333333334
KOSDAQ,20,10,EARLY_2016_2019,FLOW,49,0.00037465512750850755,0.5510204081632653
KOSDAQ,20,10,EARLY_2016_2019,MOMENTUM,49,-0.0007315624086519397,0.6326530612244898
KOSDAQ,20,10,EARLY_2016_2019,REVISION,49,-0.00046069795516831704,0.5510204081632653
KOSDAQ,20,10,EARLY_2016_2019,VALUE,49,-0.000550971437634354,0.4897959183673469
KOSDAQ,20,10,LATE_2020_2022,FLOW,38,0.004279931740777404,0.5263157894736842
KOSDAQ,20,10,LATE_2020_2022,MOMENTUM,38,-0.0034940020283141366,0.5789473684210527
KOSDAQ,20,10,LATE_2020_2022,REVISION,38,0.0031219474816554104,0.5
KOSDAQ,20,10,LATE_2020_2022,VALUE,38,0.003520098916767683,0.6052631578947368
KOSDAQ,20,10,NORMAL_2023_2024,FLOW,24,0.0011726658753932518,0.4166666666666667
KOSDAQ,20,10,NORMAL_2023_2024,MOMENTUM,24,0.009918328835879701,0.4583333333333333
KOSDAQ,20,10,NORMAL_2023_2024,REVISION,24,-0.004908215851741164,0.5
KOSDAQ,20,10,NORMAL_2023_2024,VALUE,24,0.0007880020515353414,0.5833333333333334
KOSDAQ,20,10,YTD_2026,FLOW,6,0.02839015455840876,0.5
KOSDAQ,20,10,YTD_2026,MOMENTUM,6,0.013222815377922354,0.6666666666666666
KOSDAQ,20,10,YTD_2026,REVISION,6,0.05334186499251562,0.8333333333333334
KOSDAQ,20,10,YTD_2026,VALUE,6,-0.013730594632315194,0.16666666666666666
KOSDAQ,20,20,BULL_2025,FLOW,12,-0.0012692884870539288,0.5
KOSDAQ,20,20,BULL_2025,MOMENTUM,12,0.007735644559123925,0.5
KOSDAQ,20,20,BULL_2025,REVISION,12,0.0036056406459449245,0.5
KOSDAQ,20,20,BULL_2025,VALUE,12,0.00024546106256836904,0.4166666666666667
KOSDAQ,20,20,EARLY_2016_2019,FLOW,49,0.001057816096971922,0.5102040816326531
KOSDAQ,20,20,EARLY_2016_2019,MOMENTUM,49,0.0009625857369880598,0.5102040816326531
KOSDAQ,20,20,EARLY_2016_2019,REVISION,49,-0.001361465493059046,0.40816326530612246
KOSDAQ,20,20,EARLY_2016_2019,VALUE,49,0.0002635666089996166,0.5510204081632653
KOSDAQ,20,20,LATE_2020_2022,FLOW,38,-0.001295341196967509,0.5526315789473685
KOSDAQ,20,20,LATE_2020_2022,MOMENTUM,38,-0.004048006714906616,0.6052631578947368
KOSDAQ,20,20,LATE_2020_2022,REVISION,38,0.004383970338010851,0.5526315789473685
KOSDAQ,20,20,LATE_2020_2022,VALUE,38,0.0006312339547767102,0.5
KOSDAQ,20,20,NORMAL_2023_2024,FLOW,24,0.006340256490420062,0.6666666666666666
KOSDAQ,20,20,NORMAL_2023_2024,MOMENTUM,24,0.007839672133774523,0.625
KOSDAQ,20,20,NORMAL_2023_2024,REVISION,24,-0.001771887889532391,0.4166666666666667
KOSDAQ,20,20,NORMAL_2023_2024,VALUE,24,-0.0027378969881738766,0.375
KOSDAQ,20,20,YTD_2026,FLOW,6,-0.0032745681438073986,0.6666666666666666
KOSDAQ,20,20,YTD_2026,MOMENTUM,6,0.0183139264818276,0.6666666666666666
