date,universe,factor,family,horizon,topn,strategy,gross,turnover,sample
2016-01-04,KOSPI_ALL,MOM12_1,MOMENTUM,5,20,CROSS_FAMILY_W20,0.04221625009664976,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,PRIVATE_FLOW,FLOW,5,10,BASE,-0.01153142625355311,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,PRIVATE_FLOW,FLOW,5,10,CROSS_FAMILY_W20,-0.0045692279615722154,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,PRIVATE_FLOW,FLOW,5,20,BASE,-0.004031739980971357,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,PRIVATE_FLOW,FLOW,5,20,CROSS_FAMILY_W20,0.0011313292320744616,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,FOREIGN_FLOW,FLOW,5,10,BASE,-0.006770056810895299,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,FOREIGN_FLOW,FLOW,5,10,CROSS_FAMILY_W20,-0.029240760181901648,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,FOREIGN_FLOW,FLOW,5,20,BASE,0.025775600794597626,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,FOREIGN_FLOW,FLOW,5,20,CROSS_FAMILY_W20,0.005596628572073837,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,OP12_REV,REVISION,5,10,BASE,-0.007680972333509467,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,OP12_REV,REVISION,5,10,CROSS_FAMILY_W20,-0.004995862301087807,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,OP12_REV,REVISION,5,20,BASE,-0.0011566439268117623,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,OP12_REV,REVISION,5,20,CROSS_FAMILY_W20,-0.0035473230951842323,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,OPFY1_REV,REVISION,5,10,BASE,-0.02777821479984265,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,OPFY1_REV,REVISION,5,10,CROSS_FAMILY_W20,-0.032831446820215104,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,OPFY1_REV,REVISION,5,20,BASE,-0.012203227357876732,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,OPFY1_REV,REVISION,5,20,CROSS_FAMILY_W20,-0.014372050705148237,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,PBR12MF,VALUE,5,10,BASE,-0.049211830962201226,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,PBR12MF,VALUE,5,10,CROSS_FAMILY_W20,-0.04921183096220122,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,PBR12MF,VALUE,5,20,BASE,-0.03795907263370199,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,PBR12MF,VALUE,5,20,CROSS_FAMILY_W20,-0.041197396672902876,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,PER12MF,VALUE,5,10,BASE,-0.03404585625683861,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,PER12MF,VALUE,5,10,CROSS_FAMILY_W20,-0.034045856256838605,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,PER12MF,VALUE,5,20,BASE,-0.013581866412101642,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,PER12MF,VALUE,5,20,CROSS_FAMILY_W20,-0.010198263441943346,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,MOM1M,MOMENTUM,5,10,BASE,-0.02808591292166081,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,MOM1M,MOMENTUM,5,10,CROSS_FAMILY_W20,-0.022291393507346012,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,MOM1M,MOMENTUM,5,20,BASE,-0.028335567864155954,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,MOM1M,MOMENTUM,5,20,CROSS_FAMILY_W20,-0.028335567864155954,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,MOM12_1,MOMENTUM,5,10,BASE,-0.019641034286089088,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,MOM12_1,MOMENTUM,5,10,CROSS_FAMILY_W20,0.0017006023377109636,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,MOM12_1,MOMENTUM,5,20,BASE,-0.013366427228392009,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,MOM12_1,MOMENTUM,5,20,CROSS_FAMILY_W20,-0.012472432962447898,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,PRIVATE_FLOW,FLOW,5,10,BASE,-0.009634641977492468,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,PRIVATE_FLOW,FLOW,5,10,CROSS_FAMILY_W20,-0.025616595966702554,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,PRIVATE_FLOW,FLOW,5,20,BASE,-0.016477904163974502,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,PRIVATE_FLOW,FLOW,5,20,CROSS_FAMILY_W20,-0.02076150515878903,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,FOREIGN_FLOW,FLOW,5,10,BASE,-0.008744579110742442,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,FOREIGN_FLOW,FLOW,5,10,CROSS_FAMILY_W20,0.0010044116377450666,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,FOREIGN_FLOW,FLOW,5,20,BASE,-0.01710249788522757,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ,FOREIGN_FLOW,FLOW,5,20,CROSS_FAMILY_W20,-0.015152346341263908,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,5,10,BASE,-0.010262142015883257,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,5,10,CROSS_FAMILY_W20,0.008656973532340536,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,5,20,BASE,0.007262528043205188,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,5,20,CROSS_FAMILY_W20,0.00590861292937744,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,5,10,BASE,-0.031348836573047364,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,5,10,CROSS_FAMILY_W20,-0.012586638882412723,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,5,20,BASE,-0.02120124320351143,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,5,20,CROSS_FAMILY_W20,-0.005654824192847784,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,5,10,BASE,-0.05520636367118696,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,5,10,CROSS_FAMILY_W20,-0.04295721695555822,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,5,20,BASE,-0.026210858055065112,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,5,20,CROSS_FAMILY_W20,-0.031541034730154474,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,5,10,BASE,-0.03215965387661381,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,5,10,CROSS_FAMILY_W20,-0.026971628357132876,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,5,20,BASE,-0.0239099371685064,1.0,EARLY_2016_2019
