universe,horizon,topn,sample,metric,mean,ci025,ci975,p_gt0,n_dates
K200,20,20,NORMAL_2023_2024,net_30,-0.0007252459150187077,-0.0025003166774896176,0.0008052079933929385,0.199,24
K200,20,20,NORMAL_2023_2024,net_60,-0.0007830584150187078,-0.002467604125709947,0.0008126711508194271,0.18,24
KOSDAQ,5,10,BULL_2025,gross_delta,0.0018204987475705654,-0.0014107101707776367,0.005287133468394822,0.852,49
KOSDAQ,5,10,BULL_2025,net_0,0.0018204987475705654,-0.0014118347430661594,0.00531030893576948,0.8535,49
KOSDAQ,5,10,BULL_2025,net_30,0.0016506007883868915,-0.0015563062044718489,0.005227310083911911,0.832,49
KOSDAQ,5,10,BULL_2025,net_60,0.0014807028292032182,-0.0016773047159964645,0.005130979470940802,0.79375,49
KOSDAQ,5,10,EARLY_2016_2019,gross_delta,0.0006207383186180558,-0.00015738275757573402,0.0014155676912881046,0.94525,196
KOSDAQ,5,10,EARLY_2016_2019,net_0,0.0006207383186180558,-0.00016955100121030265,0.001410264478584716,0.9375,196
KOSDAQ,5,10,EARLY_2016_2019,net_30,0.0005231617880058108,-0.0002711517771157022,0.0012832500985346437,0.90075,196
KOSDAQ,5,10,EARLY_2016_2019,net_60,0.00042558525739356607,-0.00037405937429349875,0.0012157090667747191,0.8595,196
KOSDAQ,5,10,LATE_2020_2022,gross_delta,2.2905863590911667e-05,-0.0014183828409533303,0.0014589113726079528,0.50575,149
KOSDAQ,5,10,LATE_2020_2022,net_0,2.2905863590911667e-05,-0.0013905210486753856,0.0014936210900679543,0.50125,149
KOSDAQ,5,10,LATE_2020_2022,net_30,-0.00015050017667754442,-0.0015156088947554116,0.0012838397424264373,0.41075,149
KOSDAQ,5,10,LATE_2020_2022,net_60,-0.0003239062169460009,-0.0016983276438485937,0.001081598464008843,0.3135,149
KOSDAQ,5,10,NORMAL_2023_2024,gross_delta,0.00029015755198016696,-0.0016906345894695195,0.002181933101128655,0.62225,97
KOSDAQ,5,10,NORMAL_2023_2024,net_0,0.00029015755198016696,-0.0016463617276098943,0.002185051312880637,0.61,97
KOSDAQ,5,10,NORMAL_2023_2024,net_30,0.00010111116022758961,-0.0018167235738756875,0.0020454835558562155,0.5485,97
KOSDAQ,5,10,NORMAL_2023_2024,net_60,-8.793523152498753e-05,-0.0020657010090726355,0.0017712607944564609,0.4625,97
KOSDAQ,5,10,YTD_2026,gross_delta,0.004032532598989043,-0.002006259386334464,0.009634188325513476,0.9085,28
KOSDAQ,5,10,YTD_2026,net_0,0.004032532598989043,-0.0023715732826898733,0.009690330906941956,0.90225,28
KOSDAQ,5,10,YTD_2026,net_30,0.0038169075989890437,-0.002438837227812819,0.009433554125358951,0.8945,28
KOSDAQ,5,10,YTD_2026,net_60,0.0036012825989890436,-0.0027552677870939816,0.009348262778389994,0.8805,28
KOSDAQ,5,20,BULL_2025,gross_delta,-0.00010252449372641467,-0.001991282098030522,0.001623872694441545,0.44,49
KOSDAQ,5,20,BULL_2025,net_0,-0.00010252449372641467,-0.0019820073797537315,0.0016434786783443042,0.4565,49
KOSDAQ,5,20,BULL_2025,net_30,-0.0001932132692366186,-0.0019512784006232755,0.0015886887444679257,0.4195,49
KOSDAQ,5,20,BULL_2025,net_60,-0.0002839020447468227,-0.0021166041258272234,0.0014405828374082065,0.391,49
KOSDAQ,5,20,EARLY_2016_2019,gross_delta,0.0006178464544308569,0.00024116222319158558,0.0010088504234268892,0.9995,196
KOSDAQ,5,20,EARLY_2016_2019,net_0,0.0006178464544308569,0.0002311058171883839,0.0010094720560318423,0.9995,196
KOSDAQ,5,20,EARLY_2016_2019,net_30,0.000584268648308408,0.00019298177272534338,0.0009728137585080463,0.99875,196
KOSDAQ,5,20,EARLY_2016_2019,net_60,0.0005506908421859589,0.00017627367305529388,0.0009389995394954858,0.9985,196
KOSDAQ,5,20,LATE_2020_2022,gross_delta,0.0007317299342450804,-0.00023704586758747332,0.0017655337446822307,0.93325,149
KOSDAQ,5,20,LATE_2020_2022,net_0,0.0007317299342450804,-0.00023536298649015644,0.0017286814983452266,0.92675,149
KOSDAQ,5,20,LATE_2020_2022,net_30,0.0006524514107551474,-0.00030078002930924893,0.0016305280906841193,0.9085,149
KOSDAQ,5,20,LATE_2020_2022,net_60,0.0005731728872652146,-0.0004016318673419749,0.001538238702987438,0.879,149
