feature,target,n_universe_years,DEV_2020_2022_median_dic,DEV_2020_2022_positive_dic_share,DEV_2020_2022_median_dhl,CONFIRM_2023_2024_median_dic,CONFIRM_2023_2024_positive_dic_share,CONFIRM_2023_2024_median_dhl,BULL_2025_median_dic,BULL_2025_positive_dic_share,BULL_2025_median_dhl,YTD_2026_median_dic,YTD_2026_positive_dic_share,YTD_2026_median_dhl,CONFIRM_positive_universes,CONFIRM_universe_count,PASS
SIGN_ALIGNMENT_20_60,TARGET_FWD_ABS_OPPORTUNITY_20,42,-0.0331428039576446,0.4444444444444444,-0.0010107686268972169,-0.07062449800395414,0.25,-0.001352136576375968,0.0198476707407856,0.5,-0.00213049510127181,0.08076410272217986,0.6666666666666666,0.0022859869761363595,0,6,False
PC1_SHARE_60,TARGET_FWD_RANGE_20,42,0.005972388955582233,0.5,0.006041177131540301,-0.075825010855406,0.3333333333333333,-0.01291932875476988,-0.24576530612244896,0.3333333333333333,0.0176600500282044,-0.16053921568627452,0.3333333333333333,-0.08620127610653396,2,6,False
SIGN_ALIGNMENT_20_60,TARGET_FWD_DISPERSION_20,42,-0.0016261927565683109,0.5,-0.0004629323578815691,-0.07739464866384246,0.25,-0.0019128973815604536,0.08726665656356265,0.6666666666666666,0.0019289838472337506,0.026278373956301972,0.6666666666666666,0.007153972202846439,1,6,False
PC1_SHARE_60,TARGET_FWD_DISPERSION_20,42,0.01835534213685474,0.5555555555555556,0.0005141330727882962,-0.08163265306122448,0.25,-0.006665453342139478,-0.2539795918367347,0.3333333333333333,0.005029452795707809,-0.16911764705882354,0.3333333333333333,-0.028769807637441976,2,6,False
AVG_PAIR_CORR_60,TARGET_FWD_ABS_OPPORTUNITY_20,42,0.15846338535414167,0.7777777777777778,0.012491663444509589,-0.09715588363004776,0.4166666666666667,-0.00470647722145702,-0.11994897959183672,0.3333333333333333,-0.004091195922925974,-0.052696078431372556,0.5,,2,6,False
DISPERSION_60,TARGET_FWD_DISPERSION_20,42,-0.008547418967587034,0.5,0.0037485475862230767,-0.1128419452887538,0.08333333333333333,-0.009560930564057615,-0.15147959183673468,0.3333333333333333,-0.002554756363072737,-0.28308823529411764,0.16666666666666666,,1,6,False
DISPERSION_60,TARGET_FWD_RANGE_20,42,-0.001728691476590636,0.5,0.016252655470426314,-0.14772145028224054,0.08333333333333333,-0.026372490813349865,-0.13918367346938773,0.3333333333333333,-0.001986112526547977,-0.32720588235294124,0.16666666666666666,,1,6,False
FACTOR_VOL_MEDIAN_60,TARGET_FWD_RANGE_20,42,0.052244897959183675,0.6111111111111112,0.043427876563192816,-0.14789947894051236,0.25,-0.009910539039039573,-0.08239795918367346,0.3333333333333333,-0.032968532982744866,0.2144607843137255,0.6666666666666666,0.0947561793662951,1,6,False
AVG_PAIR_CORR_60,TARGET_FWD_DISPERSION_20,42,0.2068667466986795,0.7222222222222222,0.01475901781103275,-0.18607034303082934,0.16666666666666666,-0.014201571237509938,0.15433673469387754,0.6666666666666666,0.0003796747899851398,-0.06985294117647059,0.5,,0,6,False
FACTOR_VOL_MEDIAN_60,TARGET_FWD_DISPERSION_20,42,0.08825930372148859,0.7222222222222222,0.014764194321622813,-0.18686278766825876,0.16666666666666666,-0.005712270730454425,-0.06709183673469388,0.3333333333333333,-0.007350890937779707,0.1985294117647059,1.0,0.030570662811574743,1,6,False
AVG_PAIR_CORR_60,TARGET_FWD_RANGE_20,42,0.23220288115246096,0.7222222222222222,0.04586446666269181,-0.18821428571428572,0.25,-0.036050170111948276,0.14392857142857143,0.6666666666666666,0.00333676964745816,-0.06127450980392158,0.5,,1,6,False
DISPERSION_60,TARGET_FWD_ABS_OPPORTUNITY_20,42,0.05551020408163265,0.6111111111111112,0.0014115492560210618,-0.1982023447676943,0.16666666666666666,-0.00932720455280446,-0.1466836734693877,0.16666666666666666,-0.0032414394937497343,-0.21813725490196081,0.3333333333333333,,0,6,False
FACTOR_VOL_MEDIAN_60,TARGET_FWD_ABS_OPPORTUNITY_20,42,0.06756302521008403,0.6111111111111112,0.008342781606734462,-0.22522687798523666,0.16666666666666666,-0.0023275783224367616,-0.18540816326530613,0.16666666666666666,-0.006626027038238266,0.26348039215686275,1.0,0.027318667066060696,1,6,False
