universe,strategy,period,cost_bp,n_phases,median_cagr,mean_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_turnover,median_n_names,median_top_weight,median_missing_return_weight
KOSDAQ,ACT5_LOW30,PRE_STRESS_2016_2024,0,10,0.059049063390810064,0.05955116701454157,0.04188009013540284,-0.4688556167135885,-0.4945320369582782,0.35479899895832734,0.28975295096687104,11.449480220983826,84.67882938978829,0.03554509132420091,0.0
KOSDAQ,ACT5_LOW30,PRE_STRESS_2016_2024,30,10,0.023207144059746,0.023783720966411726,0.006675672513469788,-0.49922362925982194,-0.5221827644510864,0.21757232434038704,0.15297388056553807,11.449480220983826,84.67882938978829,0.03554509132420091,0.0
KOSDAQ,ACT5_LOW30,PRE_STRESS_2016_2024,60,10,-0.01146932833252029,-0.010823655930211906,-0.027385948147445882,-0.5296149447210498,-0.5534565158127767,0.0801999228766095,0.016406849200639832,11.449480220983826,84.67882938978829,0.03554509132420091,0.0
KOSDAQ,ACT5_LOW30,YTD_2026,0,10,0.08363321941657342,0.0790611833308186,-0.08088989284542514,-0.4306365095303536,-0.45311217139736026,0.4335614675664921,0.16465233003709537,12.832285743266908,95.13333333333334,0.029791666666666668,0.0
KOSDAQ,ACT5_LOW30,YTD_2026,30,10,0.04514279051403658,0.03902150735038756,-0.11630788607902631,-0.43489879686200106,-0.4568052163596632,0.37368007335953163,0.1009124727826419,12.832285743266908,95.13333333333334,0.029791666666666668,0.0
KOSDAQ,ACT5_LOW30,YTD_2026,60,10,0.007323769551398351,0.0004120866602527418,-0.15041284163813085,-0.4391346772871972,-0.46047834526782105,0.3117388326241367,0.03731509961612496,12.832285743266908,95.13333333333334,0.029791666666666668,0.0
KOSDAQ,AMIHUD20_TOP05,BULL_2025,0,10,0.7340702499204408,0.7754002306126686,0.6728409407526612,-0.1546507585853727,-0.1663476443247348,2.508743987742098,2.3920103085888544,10.169171762786572,95.8125,0.03252604166666667,0.0
KOSDAQ,AMIHUD20_TOP05,BULL_2025,30,10,0.6806837984105384,0.7216249729320342,0.6225332390948508,-0.1577359228018147,-0.16946425601296422,2.372994085991497,2.2547054586866606,10.169171762786572,95.8125,0.03252604166666667,0.0
KOSDAQ,AMIHUD20_TOP05,BULL_2025,60,10,0.6288790025677622,0.6694157571847633,0.5736791365532095,-0.1610395564761301,-0.1725731147346884,2.239987012038233,2.1164000242166425,10.169171762786572,95.8125,0.03252604166666667,0.0
KOSDAQ,AMIHUD20_TOP05,EARLY_2016_2019,0,10,0.0386557776436085,0.042690908416741925,0.017311378894230067,-0.31852263019747623,-0.33072195768624335,0.2859666845369463,0.18732394519215562,8.836024163931473,81.75,0.03694661458333333,0.0
KOSDAQ,AMIHUD20_TOP05,EARLY_2016_2019,30,10,0.011475238385673103,0.01538894030666188,-0.009288019103778966,-0.32996603797358903,-0.3533921429536716,0.15971550750992408,0.06232884091471971,8.836024163931473,81.75,0.03694661458333333,0.0
KOSDAQ,AMIHUD20_TOP05,EARLY_2016_2019,60,10,-0.015022847608359313,-0.011227048517181083,-0.03522018216711731,-0.34965062156936777,-0.3753178784548692,0.03359135364387949,-0.06263380622856271,8.836024163931473,81.75,0.03694661458333333,0.0
KOSDAQ,AMIHUD20_TOP05,FULL_2016_2026,0,10,0.10523892456231021,0.10696984431353707,0.08716727657309065,-0.4618252990333909,-0.48780719045462473,0.49665697335366876,0.4376653373229184,9.745325408267494,90.75968992248062,0.03373304263565892,0.0
KOSDAQ,AMIHUD20_TOP05,FULL_2016_2026,30,10,0.07337728966994772,0.07505443824681039,0.05574814301783659,-0.4835347154560446,-0.5130105820994205,0.3927723723868732,0.33375410363933045,9.745325408267494,90.75968992248062,0.03373304263565892,0.0
