universe,cost_bps,period,n_rebalances,crash_cap_cagr,crash_cap_sharpe,crash_cap_mdd,persist_only_cagr,persist_only_sharpe,persist_only_mdd,ew8_cagr,ew8_sharpe,ew8_mdd,top2_cagr,top2_sharpe,top2_mdd,delta_sharpe_vs_persist,delta_cagr_vs_persist,delta_mdd_vs_persist,delta_sharpe_vs_ew8,delta_cagr_vs_ew8,delta_mdd_vs_ew8,cap_trigger_share,persist_top2_share,annual_cap_turnover
KOSPI_KOSDAQ_ALL,10,BULL_2025,12,0.12150434046302161,1.1681812181980986,-0.05294983567867606,0.12150434046302161,1.1681812181980986,-0.05294983567867606,0.1745871114015647,2.0228076610380294,-0.03545141869612045,0.08601712706377662,0.5901966544592708,-0.11551885240464732,0.0,0.0,0.0,-0.8546264428399308,-0.05308277093854308,-0.01749841698255561,0.0,0.08333333333333333,9.1875
K200,10,YTD_2026,4,0.6015225986614341,2.108472885880124,-0.033540880876144596,0.6015225986614341,2.108472885880124,-0.033540880876144596,0.44758800968263035,3.218589932676514,0.0,0.0438523780383111,0.2684320976377601,-0.04611875425348233,0.0,0.0,0.0,-1.1101170467963901,0.15393458897880374,-0.033540880876144596,0.0,0.25,11.8125
KOSDAQ,10,YTD_2026,4,0.4203190836142192,2.0079739550358955,-0.0072029446928632,0.4203190836142192,2.0079739550358955,-0.0072029446928632,0.35271358515920936,2.8047603829741363,-0.01114308345845183,0.7491292455441254,2.624401129219566,-0.020182554883436454,0.0,0.0,0.0,-0.7967864279382408,0.06760549845500985,0.00394013876558863,0.0,0.25,10.237499999999999
KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,4,0.3261665248669403,4.119868586616914,0.0,0.3261665248669403,4.119868586616914,0.0,0.2828730582623422,2.96081382296115,-0.008290406828556196,0.6680134638598176,3.0245204737189693,-0.008778020805803366,0.0,0.0,0.0,1.1590547636557638,0.043293466604598096,0.008290406828556196,0.0,0.0,7.0874999999999995
KOSPI_ALL,10,YTD_2026,4,0.7075009006391944,2.2908846330390773,-0.03292549399772493,0.7075009006391944,2.2908846330390773,-0.03292549399772493,0.3373222096968975,2.5834806921651743,-0.0010997618702287548,0.34700379099468237,1.4628975049749167,-0.04003281763822175,0.0,0.0,0.0,-0.292596059126097,0.37017869094229683,-0.031825732127496176,0.0,0.25,11.025
KOSPI_EX_K200,10,YTD_2026,4,0.40121400044323896,2.0268231924658173,-0.024402443015319464,0.40604497113053495,2.07356338064404,-0.0226378972567437,0.09628607605010986,0.8131294328196278,-0.03853855760883207,0.3402963629475211,1.3928405913826902,-0.0517033849306453,-0.046740188178222564,-0.004830970687295988,-0.001764545758575764,1.2136937596461896,0.3049279243931291,0.014136114593512605,0.25,0.25,7.875
KOSPI_KOSDAQ_ALL,10,YTD_2026,4,0.14958046845837836,1.3058476856870314,-0.02674119381565465,0.14958046845837836,1.3058476856870314,-0.02674119381565465,0.3575104971599006,3.6521409812900503,-0.0002378172667306666,-0.0891806002366784,-1.911331306591561,-0.027241193815654707,0.0,0.0,0.0,-2.3462932956030187,-0.20793002870152222,-0.026503376548923985,0.0,0.5,7.0874999999999995
K200,30,DEV_2020_2022,38,0.016579338922322107,0.19359727390123244,-0.20617060016814603,0.025402390585092194,0.26109020636524566,-0.20617060016814615,0.06827132347523568,0.9215249775433709,-0.06132276546491944,0.0048417340188671165,0.10588719962320403,-0.14160561064803034,-0.06749293246401322,-0.008823051662770087,1.1102230246251565e-16,-0.7279277036421385,-0.05169198455291357,-0.1448478347032266,0.02631578947368421,0.39473684210526316,9.035526315789474
KOSDAQ,30,DEV_2020_2022,38,0.04346273880160245,0.40242816575792223,-0.11559458786152976,0.04346273880160245,0.40242816575792223,-0.11559458786152976,0.041450262265989135,0.6867871598105947,-0.10032032873074759,0.05538682304663811,0.4366446926162872,-0.17844771537798654,0.0,0.0,0.0,-0.28435899405267245,0.0020124765356133167,-0.015274259130782175,0.0,0.42105263157894735,8.952631578947368
KOSDAQ_PLUS_KOSPI_EX_K200,30,DEV_2020_2022,38,0.0842907686558314,0.7391583749759177,-0.08240728005055253,0.0842907686558314,0.7391583749759177,-0.08240728005055253,0.05981285107347367,0.905060457419607,-0.08721308188926813,0.06418430391562713,0.527831538433129,-0.13970052109081565,0.0,0.0,0.0,-0.1659020824436892,0.024477917582357733,0.004805801838715595,0.0,0.2894736842105263,9.118421052631579
KOSPI_ALL,30,DEV_2020_2022,38,0.054335372106674384,0.6790942008859034,-0.08567541134277079,0.04584641113570509,0.5592338467250699,-0.09370346124486051,0.0673225288250745,1.0918942969137404,-0.04072532130981732,0.016065493153516464,0.1831180873891387,-0.16450986057543715,0.11986035416083352,0.008488960970969295,0.008028049902089718,-0.41280009602783696,-0.012987156718400117,-0.04495009003295347,0.07894736842105263,0.2631578947368421,6.880263157894737
KOSPI_EX_K200,30,DEV_2020_2022,31,0.015199822841155175,0.1740102247117447,-0.1324569578937128,0.028895580923880226,0.2545604740732039,-0.1324569578937128,0.08352209351311046,0.9812761219459062,-0.06475484058299597,0.13054641090613894,0.8185934408577784,-0.16814657336216587,-0.08055024936145921,-0.013695758082725051,0.0,-0.8072658972341615,-0.06832227067195529,-0.06770211731071685,0.16129032258064516,0.2903225806451613,7.112903225806452
KOSPI_KOSDAQ_ALL,30,DEV_2020_2022,38,0.007660423209736589,0.12302102571432647,-0.12721866885235722,-0.00041373009568579366,0.049335183667677814,-0.12721866885235766,0.07486327521835778,1.224115206930817,-0.03081420934002399,-0.0046785605905249605,0.04929064138887898,-0.22016544697137075,0.07368584204664866,0.008074153305422382,4.440892098500626e-16,-1.1010941812164905,-0.0672028520086212,-0.09640445951233323,0.02631578947368421,0.21052631578947367,8.289473684210527
K200,30,CONFIRM_2023_2024,24,0.17808271399136166,1.1511983913075068,-0.04897630127509567,0.19673742533723027,1.2501451030415303,-0.049690544644882206,0.10812552676521658,1.4845132388569693,-0.03179925204880618,0.06562635864929134,0.4965512755988041,-0.11667187762722042,-0.09894671173402347,-0.018654711345868602,0.000714243369786538,-0.3333148475494625,0.06995718722614508,-0.017177049226289487,0.08333333333333333,0.2916666666666667,8.00625
KOSDAQ,30,CONFIRM_2023_2024,24,0.11975301177411812,1.0789527086974593,-0.05855326383144621,0.21370503899065407,1.2670194739562346,-0.05855326383144632,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.013064971151124816,0.15558577572588042,-0.18587003128117197,-0.1880667652587753,-0.09395202721653595,1.1102230246251565e-16,0.5381518038406126,0.0814564142421943,0.008015654950379814,0.125,0.4583333333333333,8.6625
KOSDAQ_PLUS_KOSPI_EX_K200,30,CONFIRM_2023_2024,24,0.11797422180703188,0.9680074433038001,-0.07295301257926545,0.11942317814683401,0.9753081316465136,-0.07295301257926545,0.047218133811595786,0.751958283399789,-0.07377209570159937,0.024879654295474785,0.21138827477205388,-0.24196096663774858,-0.007300688342713579,-0.0014489563398021321,0.0,0.21604915990401108,0.07075608799543609,0.000819083122333919,0.08333333333333333,0.375,9.31875
KOSPI_ALL,30,CONFIRM_2023_2024,24,0.08080060586047022,0.8508796023685946,-0.06384000406256485,0.10904888380814515,1.0574202262320824,-0.061237414076365626,0.08517826364566328,1.2527517412988858,-0.04634863422223201,0.1446302780210993,0.8747125448453841,-0.10081852901880761,-0.20654062386348782,-0.028248277947674927,-0.002602589986199222,-0.40187213893029117,-0.0043776577851930565,-0.017491369840332838,0.08333333333333333,0.375,7.3500000000000005
KOSPI_EX_K200,30,CONFIRM_2023_2024,25,0.012147381790126532,0.15808401522480256,-0.08542185661452462,0.0013781533336603147,0.06899902292010827,-0.11411761733968961,0.04150157101952545,0.49129305351427915,-0.07632756727463941,0.04998777503142571,0.39696513996814076,-0.10364068124988213,0.08908499230469429,0.010769228456466218,0.028695760725164998,-0.33320903828947657,-0.02935418922939892,-0.009094289339885209,0.08,0.4,6.930000000000001
KOSPI_KOSDAQ_ALL,30,CONFIRM_2023_2024,24,0.04221183709943066,0.5019197418750732,-0.05359685757203647,0.04560634637037819,0.5317326576561653,-0.05359685757203647,0.08586290337055691,1.3362574655534307,-0.05492402082378045,0.07262266052117838,0.4476068240086872,-0.16909941636776693,-0.02981291578109213,-0.003394509270947532,0.0,-0.8343377236783576,-0.04365106627112625,0.001327163251743979,0.041666666666666664,0.3333333333333333,8.399999999999999
K200,30,BULL_2025,12,0.2747779895478424,1.6354066961045488,-0.06423041966511112,0.239404346911134,1.4366924964108472,-0.06423041966511112,0.24428861752413122,1.99165182428855,-0.06198041966511103,-0.03496893342759533,-0.028507046461737937,-0.19710366989074812,0.19871419969370163,0.03537364263670839,0.0,-0.3562451281840011,0.03048937202371116,-0.0022500000000000853,0.08333333333333333,0.25,7.3500000000000005
KOSDAQ,30,BULL_2025,12,-0.01753411323027354,-0.12506734878350978,-0.06485759656202728,-0.021224439353355495,-0.16051787575834067,-0.06485759656202728,0.11958291186537218,1.2571306378429388,-0.04204034533001999,0.004190915308805554,0.09526770505669177,-0.09200003500299081,0.03545052697483089,0.003690326123081955,0.0,-1.3821979866264487,-0.13711702509564572,-0.022817251232007285,0.08333333333333333,0.25,8.137500000000001
KOSDAQ_PLUS_KOSPI_EX_K200,30,BULL_2025,12,-0.007417288566230806,-0.005783428747603838,-0.09901612465255194,-0.007417288566230806,-0.005783428747603838,-0.09901612465255194,0.12347214370878823,1.476147799073752,-0.024328852993387606,0.1647832232248556,1.5209724240243077,-0.022868652811613988,0.0,0.0,0.0,-1.4819312278213557,-0.13088943227501904,-0.07468727165916433,0.0,0.4166666666666667,7.875
