universe,sample,zone,n_dates,fwd10
KOSPI_KOSDAQ_ALL,BULL_2025,P50_70,25,0.024687756576829766
KOSPI_KOSDAQ_ALL,BULL_2025,P70_90,25,0.024291723773389232
KOSPI_KOSDAQ_ALL,BULL_2025,P90_95,25,0.028024200139887753
KOSPI_KOSDAQ_ALL,BULL_2025,P95_99,25,0.014686419679536558
KOSPI_KOSDAQ_ALL,BULL_2025,P99_100,19,-0.0232013995667168
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,P00_20,96,-0.002344557708469216
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,P20_50,96,0.00029857966250776473
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,P50_70,96,-0.0004144628992058527
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,P70_90,96,-9.100876559638468e-05
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,P90_95,96,0.0027766835231879325
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,P95_99,95,0.005701572016932919
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,P99_100,54,-0.001342029249760698
KOSPI_KOSDAQ_ALL,LATE_2020_2022,P00_20,75,0.003627900926603499
KOSPI_KOSDAQ_ALL,LATE_2020_2022,P20_50,75,0.003938995177140537
KOSPI_KOSDAQ_ALL,LATE_2020_2022,P50_70,75,0.006494540416620528
KOSPI_KOSDAQ_ALL,LATE_2020_2022,P70_90,75,0.002371265782748649
KOSPI_KOSDAQ_ALL,LATE_2020_2022,P90_95,75,0.010229268390294215
KOSPI_KOSDAQ_ALL,LATE_2020_2022,P95_99,75,0.006958904289621271
KOSPI_KOSDAQ_ALL,LATE_2020_2022,P99_100,59,-0.0001390449566151477
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,P00_20,48,-0.0016893372946897457
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,P20_50,48,0.00241657914264866
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,P50_70,48,0.004079358948388959
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,P70_90,48,0.00514963739438333
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,P90_95,48,-0.000642731006557126
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,P95_99,48,-0.0032365740218721004
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,P99_100,38,-0.006546986046735195
KOSPI_KOSDAQ_ALL,YTD_2026,P00_20,13,-0.025039280193983517
KOSPI_KOSDAQ_ALL,YTD_2026,P20_50,13,0.00011999400776235633
KOSPI_KOSDAQ_ALL,YTD_2026,P50_70,13,0.013211863928574917
KOSPI_KOSDAQ_ALL,YTD_2026,P70_90,13,0.004306786375006941
KOSPI_KOSDAQ_ALL,YTD_2026,P90_95,13,-0.02498493541875744
KOSPI_KOSDAQ_ALL,YTD_2026,P95_99,13,-0.007598955346446779
KOSPI_KOSDAQ_ALL,YTD_2026,P99_100,9,-0.10624815335006844
