era,universe,feature,n_dates,mean_primary_partial_ic,median_primary_partial_ic,mean_continuation_partial_ic,mean_top4_quality_spread_raw5,mean_top4_quality_spread_cont5
2023-24,KOSPI_EX_K200,WITHIN_ALIGNMENT,97,-0.026512711357425563,0.0005842413332509193,0.01851319004920225,0.002856450257230638,0.0028515689184969648
2023-24,KOSPI_KOSDAQ_ALL,BREADTH_ALIGNMENT,97,0.09607570532763239,0.21671146679913078,0.04337615621249884,0.0016476632549515338,0.0003669316067204501
2023-24,KOSPI_KOSDAQ_ALL,BROAD_CONTRIBUTION,97,-0.048050483893752584,-0.06415382588412565,0.007887096402786503,0.00044926369844166874,0.00021954705733726772
2023-24,KOSPI_KOSDAQ_ALL,LIQUIDITY_SUPPORT20,97,-0.006545872869072563,-0.05025900879088655,-0.004294383094054276,-0.0025564448936234046,-0.002563369611012789
2023-24,KOSPI_KOSDAQ_ALL,WITHIN_ALIGNMENT,97,-0.026938973784235664,-0.060500143996687746,-0.005656431699670523,0.0015881247357526797,0.0007530901520916312
2025,K200,BREADTH_ALIGNMENT,49,0.013527398936898378,0.04862829662221723,0.04582993293690833,-0.003271046006971196,-0.0015301958058364
2025,K200,BROAD_CONTRIBUTION,49,-0.01800000779949015,0.029273365971316224,-0.0396304234295582,-0.0012739563515299858,0.0016831018716292306
2025,K200,LIQUIDITY_SUPPORT20,49,-0.01786973196758218,-0.01389466948583755,-0.015789290842396303,0.002960438190993118,0.003939852619585441
2025,K200,WITHIN_ALIGNMENT,49,-0.04646203867630485,-0.14965370349748117,-0.029950986704966896,-0.0007244170658007281,-0.0018115046169902263
2025,KOSDAQ,BREADTH_ALIGNMENT,49,0.03464717406121626,0.037699024545167076,-0.07544262630906752,-0.0023637797926861063,-0.0018281493779380902
2025,KOSDAQ,BROAD_CONTRIBUTION,49,-0.02245185997423659,-0.1187153877511079,-0.04497025996023244,0.0022494061956629587,0.00036122073354054557
2025,KOSDAQ,LIQUIDITY_SUPPORT20,49,0.04209874427366803,0.05896678459388384,0.017612051666606284,-0.0016973150816122014,-0.0009281157156126948
2025,KOSDAQ,WITHIN_ALIGNMENT,49,0.16871148172714323,0.21825931677017013,0.08607695819079425,0.0008040404165161151,0.0033631436339203397
2025,KOSDAQ_PLUS_KOSPI_EX_K200,BREADTH_ALIGNMENT,49,-0.1271732537349736,-0.14142135623730945,-0.1791557589262466,-0.0012753377394730111,-4.544565675082808e-05
2025,KOSDAQ_PLUS_KOSPI_EX_K200,BROAD_CONTRIBUTION,49,-0.1277961218521462,-0.1255720866663565,-0.12919645095672544,-0.0005411514971269013,-0.000396362571866211
2025,KOSDAQ_PLUS_KOSPI_EX_K200,LIQUIDITY_SUPPORT20,49,0.10707863166592842,0.1445378971194189,0.00788376935268989,-0.0002726032298056764,0.0009420346617263028
2025,KOSDAQ_PLUS_KOSPI_EX_K200,WITHIN_ALIGNMENT,49,0.04232160744084412,0.029644990733674843,0.042399112341907345,0.001855710428607542,0.001633155300649889
2025,KOSPI_ALL,BREADTH_ALIGNMENT,49,-0.06566647702101706,-0.025407725877826127,0.017879270539158994,-0.005010016523450769,-0.003137632628376486
2025,KOSPI_ALL,BROAD_CONTRIBUTION,49,-0.02248583750370926,-0.055231074543576286,-0.09283509492859643,-0.0018999879206709751,-0.0005324886789397653
