universe,strategy,phase,period,cost_bp,n_days,cagr,mdd,sharpe,calmar,benchmark_cagr,benchmark_mdd,benchmark_sharpe,geometric_excess_cagr,tracking_error,information_ratio,relative_mdd,beta,jensen_alpha_annual,corr,annual_turnover,avg_missing_weight
KOSDAQ,WEIGHTED_MOM,7,NORMAL_2023_2024,30,489,-0.163994319159125,-0.5632991038971771,-0.24552666905533382,-0.29113186586758716,0.0014985933119997519,-0.3391604148985127,0.12927104492411715,-0.16524527700416536,0.2892983006586142,-0.44975392174729867,-0.4296240679113976,1.141702252470498,-0.13460136610702525,0.6977363953394612,11.85731786796444,0.0
KOSDAQ,WEIGHTED_MOM,7,NORMAL_2023_2024,60,489,-0.1932730878767034,-0.5874225112021423,-0.33407440704376523,-0.329018864941311,0.0014985933119997519,-0.3391604148985127,0.12927104492411715,-0.19448023441009998,0.2896807306426122,-0.5718930810347828,-0.4562483590746673,1.1408981464958985,-0.17012925689405278,0.6969743190132026,11.85731786796444,0.0
KOSDAQ,WEIGHTED_MOM,7,BULL_2025,0,242,0.5044045804172481,-0.2547552740032609,1.3762523270636402,1.9799573625737446,0.4002075396664764,-0.17176356755883782,1.6857199222865693,0.07441542614146268,0.2555023121849474,0.4160769136871031,-0.24909619710799302,1.0417911365210581,0.09128331550114249,0.6564381566842935,12.55957179700889,0.0
KOSDAQ,WEIGHTED_MOM,7,BULL_2025,30,242,0.44873264860279294,-0.2608988243388116,1.2629691895127568,1.7199489102337013,0.4002075396664764,-0.17176356755883782,1.6857199222865693,0.0346556546523622,0.25606522887661143,0.26851219472796406,-0.26748383293160105,1.0433008223257636,0.053188556548393204,0.6561726182974199,12.55957179700889,0.0
KOSDAQ,WEIGHTED_MOM,7,BULL_2025,60,242,0.39503887719126274,-0.26700191828609443,1.149582688102608,1.479535726660869,0.4002075396664764,-0.17176356755883782,1.6857199222865693,-0.0036913545519460245,0.2568326239574555,0.12149803721855745,-0.28544965589034443,1.0448105081304682,0.01509379759564383,0.6556103894916552,12.55957179700889,0.0
KOSDAQ,WEIGHTED_MOM,7,YTD_2026,0,147,-0.12065495697895845,-0.6038078480957424,0.26526776241751276,-0.19982343283459092,-0.2345756976108171,-0.47849657792313605,-0.16619557911791782,0.14883345129788506,0.49378132283315235,0.6500877635466605,-0.2727748559973838,1.1845149531297523,0.33893253710678006,0.8208946487102825,11.853167119372184,0.0
KOSDAQ,WEIGHTED_MOM,7,YTD_2026,30,147,-0.15139654709377348,-0.6057159695974149,0.22250704624592244,-0.24994643478592482,-0.2345756976108171,-0.47849657792313605,-0.16619557911791782,0.10867064222733447,0.49299468146126496,0.5774492488498612,-0.27627728260315787,1.1829641197561636,0.30246003827752005,0.8208795121356123,11.853167119372184,0.0
KOSDAQ,WEIGHTED_MOM,7,YTD_2026,60,147,-0.18110585997248674,-0.6076172909364987,0.1796233629431481,-0.2980590952132958,-0.2345756976108171,-0.47849657792313605,-0.16619557911791782,0.06985646715348803,0.49230761298063536,0.5044764992525554,-0.27980185531660273,1.1814132863825753,0.26598753944825987,0.8208081903453736,11.853167119372184,0.0
KOSDAQ,WEIGHTED_MOM,8,FULL_2017_2026,0,2345,0.011350646852944068,-0.710492694064764,0.23308237314042476,0.015975740423179376,0.03029868031202998,-0.537920203189262,0.24673980897333964,-0.018390816004294264,0.28051272354327883,0.09923287060389831,-0.6100816386355821,1.0942610250003952,0.021437270555513595,0.7330868587688194,11.989832053356198,0.0
KOSDAQ,WEIGHTED_MOM,8,FULL_2017_2026,30,2345,-0.024406825301293456,-0.744779001583911,0.145550733260249,-0.03277056046073776,0.03029868031202998,-0.537920203189262,0.24673980897333964,-0.05309674433122291,0.28067212615055254,-0.028822217474855197,-0.659485124784866,1.0944524614962252,-0.014501400770272522,0.7329577935528959,11.989832053356198,0.0
