universe,period,phase,n_dates,mean_ic,mean_top20_10d,mean_bottom20_10d,mean_top_minus_bottom_10d,top_minus_bottom_positive_rate
KOSPI_ALL,BULL_2025,5,25,-0.012968592973879685,0.016489973731117193,0.00783326619943428,0.008656707531682914,0.48
KOSPI_ALL,BULL_2025,6,24,-0.032212314961909023,0.008176068421493024,0.011505666449668413,-0.00332959802817539,0.4583333333333333
KOSPI_ALL,BULL_2025,7,24,-0.027355622559632187,0.006546620141940703,0.006506233850214318,4.038629172638484e-05,0.4166666666666667
KOSPI_ALL,BULL_2025,8,24,-0.023500509882251514,0.00741179943929186,0.006811134002570225,0.0006006654367216325,0.4583333333333333
KOSPI_ALL,BULL_2025,9,24,-0.018639113119034132,0.010531274122963586,0.009490540044052398,0.001040734078911188,0.5416666666666666
KOSPI_ALL,YTD_2026,0,14,-0.022781506044934237,-0.0006811878324393479,-0.0008373568137393858,0.00015616898130003148,0.5
KOSPI_ALL,YTD_2026,1,14,-0.036020424992457965,0.007117186660676915,-0.0033872358289600813,0.010504422489636994,0.5
KOSPI_ALL,YTD_2026,2,14,-0.046829410413932904,0.00662661396495348,-0.0028521996396409432,0.00947881360459443,0.5714285714285714
KOSPI_ALL,YTD_2026,3,13,-0.03662336149457883,0.005323329242669234,-0.005290411621456907,0.010613740864126146,0.5384615384615384
KOSPI_ALL,YTD_2026,4,13,-0.03280017341020104,0.0042139989893619076,-0.0073758612855607895,0.011589860274922693,0.5384615384615384
KOSPI_ALL,YTD_2026,5,13,-0.02732372564880223,-0.009795944270001218,-0.010544576037487067,0.0007486317674858437,0.5384615384615384
KOSPI_ALL,YTD_2026,6,14,-0.017008519853914186,-0.009911232273218952,-0.008500345620630083,-0.001410886652588868,0.5
KOSPI_ALL,YTD_2026,7,14,-0.010265484351821464,0.00020021205356032999,-0.011156140959960049,0.011356353013520375,0.5
KOSPI_ALL,YTD_2026,8,14,-0.028881059385947642,-0.00534297029836085,-0.011377866797052555,0.006034896498691701,0.42857142857142855
KOSPI_ALL,YTD_2026,9,14,-0.03264829796515151,-0.004954642790790212,-0.003524128699331484,-0.0014305140914587272,0.5714285714285714
KOSDAQ,EARLY_2017_2019,0,73,-0.03890398287113676,0.010474198806112828,0.005426543566254327,0.005047655239858502,0.589041095890411
KOSDAQ,EARLY_2017_2019,1,73,-0.03487217703632755,0.007486373399090192,0.004852769351683904,0.0026336040474062876,0.547945205479452
KOSDAQ,EARLY_2017_2019,2,74,-0.041727637728015105,0.007270366785463095,0.003428356119482651,0.0038420106659804434,0.527027027027027
