"Code","Name","거래대금(십억원)"
"A026150","특수건설","3.84323976"
"A026890","스틱인베스트먼트","13.03016608"
"A026910","광진실업","0.059285715"
"A026940","부국철강","0.85467183"
"A026960","동서","2.75561625"
"A027040","서울전자통신","0.068931905"
"A027050","코리아나","13.26169138"
"A027360","아주IB투자","17.41826288"
"A027410","BGF","0.74423908"
"A027580","상보","0.566506745"
"A027710","팜스토리","0.30396649"
"A027740","마니커","0.817157424"
"A027830","대성창투","1.798166355"
"A027970","한국제지","0.440745745"
"A028050","삼성E&A","33.81600885"
"A028080","휴맥스홀딩스","0.509621575"
"A028100","동아지질","1.23497895"
"A028260","삼성물산","62.0689315"
"A028300","HLB","58.6735249"
"A028670","팬오션","6.669450655"
"A029460","케이씨","1.34355605"
"A029480","광무","0.744611595"
"A029530","신도리코","0.16238915"
"A029780","삼성카드","3.70349475"
"A030000","제일기획","6.1622208"
"A030190","NICE평가정보","1.78724545"
"A030200","KT","22.17691035"
"A030210","다올투자증권","0.196482415"
"A030350","드래곤플라이","0.75985076"
"A030520","한컴","3.2703487"
"A030530","원익홀딩스","1.65884379"
"A030610","교보증권","0.38472486"
"A030720","동원수산","0.91854517"
"A030960","양지사","0.8877641"
"A031210","서울보증보험",""
"A031310","아이즈비전","0.14317076"
"A031330","에스에이엠티","0.724403755"
"A031430","신세계인터내셔날","3.2612925"
"A031440","신세계푸드","0.1712809"
"A031510","오스템","1.022343495"
"A031820","아이티센씨티에스","2.564180805"
"A031860","디에이치엑스컴퍼니","0.489987905"
"A031980","피에스케이홀딩스","0.04641337"
"A032080","아즈텍WB","0.15257563"
"A032190","다우데이타","1.83392825"
"A032280","삼일","0.008858535"
"A032300","한국파마","5.59727555"
"A032350","롯데관광개발","5.2196871"
"A032500","케이엠더블유","58.3650188"
"A032540","TJ미디어","0.03968531"
"A032560","황금에스티","0.22177347"
"A032580","피델릭스","0.575210425"
"A032620","GC메디아이","3.76795051"
"A032640","LG유플러스","47.62815105"
"A032680","소프트센","0.403798825"
"A032750","삼진","0.22118895"
"A032790","엠젠솔루션","0"
"A032800","판타지오","0.56769828"
"A032820","우리기술","38.953460715"
"A032830","삼성생명","24.0340038"
"A032850","비트컴퓨터","4.34740247"
"A032860","더라미","3.05683616"
"A032940","원익","0.26271321"
"A032960","동일기연","0.2996975"
"A032980","바이온","1.521148335"
"A033050","제이엠아이","0.299937655"
"A033100","제룡전기","0.66805462"
"A033130","디지틀조선","1.043640825"
"A033160","엠케이전자","1.21978086"
"A033170","시그네틱스","0.950454165"
"A033200","모아텍","1.21690031"
"A033230","인성정보","0.5149241"
"A033240","자화전자","3.7791352"
"A033250","체시스","3.03180106"
"A033270","유나이티드제약","67.7391675"
"A033290","로젠","0.88626621"
"A033310","엠투엔","2.2950346"
"A033320","제이씨현시스템","6.17768487"
"A033340","좋은사람들","1.908227655"
"A033500","동성화인텍","1.82216536"
"A033530","SJG세종","7.50811384"
"A033540","파라텍","1.26396366"
"A033560","블루콤","0.68668647"
"A033640","네패스","6.82597475"
"A033780","KT&G","38.6827587"
"A033790","피노","0"
"A033830","티비씨","0.71137379"
"A033920","무학","0.09101995"
"A034020","두산에너빌리티","79.29802655"
"A034120","SBS","1.35687705"
"A034220","LG디스플레이","20.38846215"
"A034230","파라다이스","5.3749734"
"A034310","NICE","0.87813015"
"A034590","인천도시가스","0.0791356"
"A034730","SK","39.0691255"
"A034810","해성산업","0.661252"
"A034830","한국토지신탁","1.24660167"
"A034940","조아제약","3.42898057"
"A034950","한국기업평가","0.5576573"
"A035000","HS애드","0.1002003"
"A035080","그래디언트","0.692528375"
"A035150","백산","0.476914215"
"A035200","프럼파스트","0.351263085"
"A035250","강원랜드","10.60991875"
"A035290","골드앤에스","0"
"A035420","NAVER","320.599626"
"A035460","기산텔레콤","0.176177815"
"A035510","신세계 I&C","0.6415445"
"A035600","KG이니시스","2.00768595"
"A035610","솔본","0.442785285"
"A035620","바른손이앤에이","0.59335376"
"A035720","카카오","382.380889"
"A035760","CJ ENM","11.2206882"
