sample,universe,horizon,metric,series,n_pos_rule,n,mean,median,positive_share,nw_tstat
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,20,spread,POS_ALT,>=1,45,0.0030177555718825886,0.005292173313491817,0.6222222222222222,0.5134087861837483
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,20,spread,MOM,>=1,45,-0.0031765479745368068,-0.00889138846734494,0.4,-0.34214802437263664
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,20,spread,POS_ALT_MINUS_MOM,>=1,45,0.006194303546419393,0.020645457595234135,0.6,0.4342729464644326
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,top,POS_ALT_MINUS_MOM_BY_N,1,16,0.0030347599016848754,-0.0030616234985854527,0.4375,0.33797566651187855
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,20,top,POS_ALT_MINUS_MOM_BY_N,1,16,-0.0015590438114570018,0.007172289255205744,0.5625,-0.07690604425066734
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,top,POS_ALT_MINUS_MOM_BY_N,2,12,-0.006193228583885109,-0.004080952892091928,0.5,-0.9107741802027332
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,20,top,POS_ALT_MINUS_MOM_BY_N,2,12,0.009824747074743146,0.01654527837872402,0.6666666666666666,1.5206354511427354
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,top,POS_ALT_MINUS_MOM_BY_N,3,17,0.0003155338682269819,-0.00012923911252886444,0.47058823529411764,0.08030493422624821
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,20,top,POS_ALT_MINUS_MOM_BY_N,3,17,-0.001455415954550982,0.008030022311257823,0.5882352941176471,-0.163077035853031
TRAIN_2016_2022,KOSPI_ALL,5,top,POS_ALT,>=1,54,0.0029046076596101794,0.005230272892035334,0.6481481481481481,0.9922161820905232
TRAIN_2016_2022,KOSPI_ALL,5,top,MOM,>=1,54,0.0027331606159775234,0.0021548014157649004,0.6111111111111112,0.7660759090350935
TRAIN_2016_2022,KOSPI_ALL,5,top,POS_ALT_MINUS_MOM,>=1,54,0.0001714470436326549,-0.0017779501551858333,0.42592592592592593,0.07308911263420584
TRAIN_2016_2022,KOSPI_ALL,5,spread,POS_ALT,>=1,54,0.0010902625298004963,0.001393953339079267,0.5185185185185185,0.5854887743825404
TRAIN_2016_2022,KOSPI_ALL,5,spread,MOM,>=1,54,0.00042681210036324586,0.00189856369669645,0.5740740740740741,0.1668292231772932
TRAIN_2016_2022,KOSPI_ALL,5,spread,POS_ALT_MINUS_MOM,>=1,54,0.0006634504294372498,0.0005047020588453664,0.5185185185185185,0.2036415217904089
TRAIN_2016_2022,KOSPI_ALL,20,top,POS_ALT,>=1,54,0.012810173775881542,0.014978921282367108,0.6666666666666666,1.487128078789589
TRAIN_2016_2022,KOSPI_ALL,20,top,MOM,>=1,54,0.01149088958365179,0.010541807680374049,0.5740740740740741,1.292040247461436
TRAIN_2016_2022,KOSPI_ALL,20,top,POS_ALT_MINUS_MOM,>=1,54,0.001319284192229753,-1.6598764769653468e-05,0.5,0.29622836706833294
