date,phase,universe,factor,strategy,codes
2016-01-11,5,KOSPI_ALL,PER12MF,CF20,A000990|A183190|A004800|A200880|A011760|A015760|A005850|A006650|A003300|A104700|A086790|A003030|A175330|A089470|A102260|A000210|A139130|A000720|A138930|A001430
2016-01-11,5,KOSPI_ALL,PRIVATE_FLOW,BASE,A192820|A006060|A001520|A060980|A000720|A010140|A006360|A009450|A010060|A111770|A093370|A000070|A005740|A010120|A037560|A128940|A069960|A004430|A009240|A066570
2016-01-11,5,KOSPI_ALL,PRIVATE_FLOW,CF20,A006060|A001520|A006360|A004430|A192820|A005740|A000070|A009450|A010140|A000720|A183190|A093370|A128940|A010060|A066570|A069960|A111770|A060980|A037560|A009830
2016-01-12,6,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,A194480|A063080|A112040|A213420|A002020|A017390|A067000|A052790|A196170|A009420|A053030|A067390|A044490|A006360|A036930|A182400|A173940|A114810|A036030|A054620
2016-01-12,6,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,CF20,A009420|A196170|A017390|A194480|A036930|A112040|A067000|A002020|A054620|A052790|A006360|A213420|A044490|A063080|A064760|A041910|A004430|A053030|A173940|A067390
2016-01-12,6,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BASE,A011760|A036830|A013120|A015750|A183190|A000990|A200880|A139130|A043370|A030530|A175330|A023410|A089470|A102260|A213500|A060720|A069080|A192440|A082640|A029460
2016-01-12,6,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,CF20,A000990|A200880|A183190|A036830|A011760|A015750|A013120|A089470|A102260|A029460|A023410|A043370|A175330|A004430|A030530|A060720|A139130|A213500|A069080|A000370
2016-01-12,6,KOSPI_ALL,PER12MF,BASE,A004800|A011760|A003300|A003030|A005850|A138930|A183190|A000990|A015760|A200880|A139130|A086790|A104700|A005380|A175330|A047050|A006650|A000720|A001430|A089470
2016-01-12,6,KOSPI_ALL,PER12MF,CF20,A000990|A004800|A183190|A200880|A011760|A015760|A005850|A003300|A006650|A104700|A086790|A175330|A089470|A003030|A102260|A139130|A000720|A029460|A138930|A120110
2016-01-12,6,KOSPI_ALL,PRIVATE_FLOW,BASE,A192820|A006060|A001520|A006360|A000720|A010140|A009450|A000070|A060980|A111770|A010060|A093370|A069960|A008770|A037560|A204320|A128940|A004430|A009240|A183190
2016-01-12,6,KOSPI_ALL,PRIVATE_FLOW,CF20,A006060|A001520|A006360|A000070|A004430|A192820|A009450|A000720|A010140|A069960|A183190|A093370|A009830|A128940|A010060|A066570|A111770|A037560|A060980|A000990
2016-01-13,7,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,A194480|A063080|A112040|A213420|A002020|A017390|A067000|A052790|A196170|A009420|A053030|A067390|A044490|A006360|A036930|A182400|A173940|A114810|A036030|A054620
2016-01-13,7,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,CF20,A009420|A196170|A194480|A036930|A017390|A112040|A067000|A054620|A002020|A006360|A052790|A213420|A044490|A053030|A063080|A064760|A041910|A004430|A173940|A067390
2016-01-13,7,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BASE,A011760|A036830|A013120|A015750|A183190|A139130|A200880|A043370|A000990|A175330|A030530|A089470|A023410|A102260|A060720|A005880|A192440|A069080|A115160|A082640
2016-01-13,7,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,CF20,A000990|A200880|A183190|A036830|A011760|A013120|A015750|A089470|A023410|A102260|A175330|A043370|A139130|A030530|A029460|A060720|A004430|A069080|A000370|A115160
2016-01-13,7,KOSPI_ALL,PER12MF,BASE,A011760|A004800|A003030|A003300|A005850|A138930|A183190|A139130|A015760|A200880|A000990|A086790|A104700|A005380|A175330|A001430|A006650|A047050|A024110|A089470
2016-01-13,7,KOSPI_ALL,PER12MF,CF20,A000990|A183190|A004800|A200880|A011760|A015760|A005850|A006650|A003300|A104700|A086790|A175330|A003030|A089470|A102260|A139130|A120110|A029460|A000720|A001430
2016-01-13,7,KOSPI_ALL,PRIVATE_FLOW,BASE,A192820|A006060|A001520|A006360|A010140|A000720|A000070|A009450|A111770|A012630|A093370|A008770|A010060|A204320|A069960|A128940|A060980|A037560|A047810|A011170
2016-01-13,7,KOSPI_ALL,PRIVATE_FLOW,CF20,A006060|A001520|A006360|A000070|A192820|A008930|A000720|A010140|A009450|A093370|A183190|A069960|A012630|A128940|A111770|A009830|A010060|A000990|A004430|A066570
2016-01-14,8,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,A194480|A063080|A112040|A213420|A017390|A067000|A052790|A002020|A196170|A009420|A053030|A067390|A044490|A006360|A036930|A182400|A173940|A114810|A036030|A054620
2016-01-14,8,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,CF20,A009420|A036930|A017390|A194480|A196170|A112040|A067000|A052790|A006360|A213420|A054620|A002020|A053030|A063080|A044490|A064760|A067390|A004430|A173940|A060720
2016-01-14,8,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BASE,A011760|A036830|A015750|A013120|A183190|A139130|A200880|A043370|A000990|A175330|A089470|A030530|A023410|A102260|A192440|A028670|A005880|A006840|A115160|A082640
2016-01-14,8,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,CF20,A000990|A200880|A183190|A036830|A011760|A013120|A015750|A023410|A030530|A102260|A175330|A089470|A043370|A139130|A029460|A004430|A028670|A060720|A069080|A115160
2016-01-14,8,KOSPI_ALL,PER12MF,BASE,A011760|A004800|A003030|A003300|A005850|A138930|A183190|A139130|A015760|A200880|A086790|A000990|A104700|A175330|A005380|A001430|A006650|A089470|A024110|A047050
2016-01-14,8,KOSPI_ALL,PER12MF,CF20,A000990|A183190|A200880|A004800|A015760|A011760|A005850|A006650|A175330|A003300|A086790|A003030|A104700|A102260|A139130|A089470|A120110|A138930|A000720|A029460
2016-01-14,8,KOSPI_ALL,PRIVATE_FLOW,BASE,A001520|A192820|A006060|A000070|A000720|A010140|A012630|A009450|A111770|A008770|A010060|A093370|A204320|A060980|A069960|A011170|A128940|A097950|A047810|A037560
2016-01-14,8,KOSPI_ALL,PRIVATE_FLOW,CF20,A006060|A001520|A000070|A192820|A000720|A009450|A012630|A069960|A093370|A128940|A183190|A010140|A006360|A111770|A009830|A010060|A000990|A066570|A097950|A011170
2016-01-15,9,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,A194480|A063080|A112040|A213420|A017390|A067000|A052790|A002020|A196170|A009420|A053030|A067390|A141000|A044490|A006360|A036930|A182400|A114810|A036030|A054620
2016-01-15,9,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,CF20,A009420|A017390|A194480|A036930|A196170|A112040|A067000|A213420|A052790|A006360|A141000|A054620|A002020|A063080|A053030|A064760|A044490|A060720|A004430|A036030
2016-01-15,9,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BASE,A011760|A036830|A013120|A015750|A139130|A183190|A200880|A043370|A000990|A175330|A089470|A023410|A030530|A102260|A192440|A005880|A028670|A006840|A018670|A082640
2016-01-15,9,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,CF20,A000990|A200880|A036830|A013120|A011760|A183190|A015750|A023410|A102260|A175330|A030530|A139130|A029460|A043370|A089470|A060720|A004430|A028670|A000370|A052790
2016-01-15,9,KOSPI_ALL,PER12MF,BASE,A011760|A004800|A003300|A003030|A005850|A138930|A139130|A183190|A015760|A086790|A200880|A000990|A104700|A175330|A005380|A001430|A006650|A024110|A089470|A047050
2016-01-15,9,KOSPI_ALL,PER12MF,CF20,A000990|A200880|A015760|A011760|A183190|A004800|A005850|A003300|A006650|A086790|A175330|A003030|A102260|A139130|A104700|A089470|A138930|A120110|A029460|A000720
2016-01-15,9,KOSPI_ALL,PRIVATE_FLOW,BASE,A001520|A192820|A006060|A000070|A000720|A012630|A010140|A111770|A009450|A011170|A093370|A010060|A008770|A204320|A047810|A060980|A097950|A069960|A009240|A005490
2016-01-15,9,KOSPI_ALL,PRIVATE_FLOW,CF20,A006060|A001520|A000070|A000720|A192820|A012630|A009450|A093370|A011170|A010140|A111770|A069960|A000990|A004430|A128940|A204320|A097950|A010060|A183190|A006360
2016-01-18,0,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,A194480|A063080|A112040|A213420|A017390|A052790|A067000|A002020|A196170|A009420|A067390|A141000|A044490|A006360|A036930|A182400|A114810|A036030|A054620|A053030
2016-01-18,0,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,CF20,A009420|A036930|A194480|A017390|A196170|A052790|A112040|A213420|A067000|A141000|A006360|A063080|A002020|A044490|A064760|A054620|A004430|A060720|A041910|A036030
2016-01-18,0,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BASE,A011760|A036830|A013120|A015750|A139130|A183190|A200880|A043370|A000990|A175330|A023410|A089470|A192440|A030530|A028670|A102260|A006840|A005880|A018670|A035760
2016-01-18,0,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,CF20,A000990|A183190|A200880|A013120|A011760|A036830|A015750|A175330|A023410|A139130|A102260|A043370|A089470|A030530|A029460|A004430|A028670|A000370|A060720|A052790
2016-01-18,0,KOSPI_ALL,PER12MF,BASE,A011760|A004800|A003300|A003030|A005850|A138930|A015760|A139130|A183190|A086790|A200880|A000990|A104700|A001430|A005380|A047050|A006650|A175330|A024110|A089470
2016-01-18,0,KOSPI_ALL,PER12MF,CF20,A000990|A015760|A183190|A200880|A011760|A005850|A004800|A086790|A003300|A006650|A003030|A175330|A139130|A102260|A104700|A138930|A089470|A120110|A000720|A007690
2016-01-18,0,KOSPI_ALL,PRIVATE_FLOW,BASE,A001520|A192820|A000070|A006060|A111770|A012630|A047810|A009450|A000720|A204320|A093370|A192400|A009240|A097950|A069960|A108670|A060980|A000080|A005490|A183190
2016-01-18,0,KOSPI_ALL,PRIVATE_FLOW,CF20,A006060|A001520|A000070|A008930|A192820|A012630|A000720|A009450|A183190|A093370|A111770|A097950|A204320|A009240|A000990|A069960|A004430|A128940|A000080|A192400
