universe,factor,strategy,phase,period,return_type,n_days,cagr,sharpe,mdd,calmar,annual_turnover,avg_missing_weight
KOSPI_ALL,PRIVATE_FLOW,BASE,9,BULL_2025,GROSS,242,0.7038521278840986,2.2525396556370976,-0.1789729761749852,3.932728520957987,13.534652269083958,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,BULL_2025,NET30,242,0.6359993495149063,2.088417110473314,-0.18152557185663432,3.503635014119153,13.534652269083958,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,BULL_2025,NET60,242,0.5707421041201963,1.9227333561077424,-0.1840742200730875,3.1006085691607472,13.534652269083958,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,YTD_2026,GROSS,147,0.29002642479434626,0.7794048808272868,-0.34679085753038286,0.8363150829861097,13.508911727544344,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,YTD_2026,NET30,147,0.23874669825797556,0.6920736196444393,-0.3517854799829162,0.6786712694042115,13.508911727544344,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,YTD_2026,NET60,147,0.18941994956226527,0.6047098525424993,-0.3567495543058,0.5309605780191039,13.508911727544344,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,FULL_2016_2026,GROSS,2599,0.16053660259527947,0.726856649956284,-0.5106666639130639,0.3143667169600271,14.728285246207703,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,FULL_2016_2026,NET30,2599,0.11033049890833357,0.5476184469902918,-0.5468199608630502,0.20176750448940833,14.728285246207703,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,FULL_2016_2026,NET60,2599,0.06221136080101486,0.368123180618283,-0.5859215782633551,0.10617694092340224,14.728285246207703,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,PRE_STRESS_2016_2024,GROSS,2210,0.10699477914834032,0.5657304205018211,-0.5106666639130639,0.20951980363957173,14.792789198585458,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,PRE_STRESS_2016_2024,NET30,2210,0.058899643461093554,0.36768538672298295,-0.5468199608630502,0.10771304574933913,14.792789198585458,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,PRE_STRESS_2016_2024,NET60,2210,0.012812291766934658,0.1695512348675152,-0.5859215782633551,0.02186690547378321,14.792789198585458,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,EARLY_2016_2019,GROSS,979,0.009383612779508832,0.1417745593615257,-0.3207230203509993,0.02925768399549058,14.701512518214809,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,EARLY_2016_2019,NET30,979,-0.03420586090275035,-0.1045163876479156,-0.3327726533735237,-0.10279048039550194,14.701512518214809,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,EARLY_2016_2019,NET60,979,-0.0759868731839416,-0.3491726001950315,-0.3533178193568254,-0.21506663129039738,14.701512518214809,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,LATE_2020_2022,GROSS,742,0.18717343516042795,0.7635194572017191,-0.4176497887563996,0.4481588167870465,15.085222279903528,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,LATE_2020_2022,NET30,742,0.13459767675361745,0.5981373256829297,-0.4216984039120488,0.31917995303034086,15.085222279903528,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,LATE_2020_2022,NET60,742,0.08426023891010992,0.4324922779721897,-0.4257259065461201,0.19792133298559733,15.085222279903528,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,NORMAL_2023_2024,GROSS,489,0.19763760786945928,0.9228338202087355,-0.1961451994601785,1.0076086919964806,14.531796404607666,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,NORMAL_2023_2024,NET30,489,0.14650283788829155,0.7273024536751758,-0.20166386936949743,0.726470429960176,14.531796404607666,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,NORMAL_2023_2024,NET60,489,0.09746493022240243,0.5303694353374385,-0.2071541206605888,0.4704947693610866,14.531796404607666,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,BULL_2025,GROSS,242,0.6446781134786181,2.0971109193451074,-0.1410223425877598,4.571460817121426,14.452553939196891,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,BULL_2025,NET30,242,0.5748340334523194,1.923500741425524,-0.14354077555434475,4.004674150828218,14.452553939196891,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,BULL_2025,NET60,242,0.5078437423769988,1.748378220196631,-0.14605570857457295,3.477055072569824,14.452553939196891,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,YTD_2026,GROSS,147,0.32976760025403173,0.8445749466159511,-0.29314464091554504,1.1249313622930524,14.212456957376226,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,YTD_2026,NET30,147,0.27421174528171655,0.7528548096341738,-0.29912081014197933,0.9167257375090702,14.212456957376226,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,0,YTD_2026,NET60,147,0.22088129131103607,0.6610343413318734,-0.30505665555157524,0.7240664554971238,14.212456957376226,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,1,FULL_2016_2026,GROSS,2598,0.13884113068813497,0.6470291144903489,-0.5402776462835174,0.25698107564360784,14.605993647743519,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,1,FULL_2016_2026,NET30,2598,0.08997416890502974,0.47070326221630376,-0.5740136754644898,0.15674568873681097,14.605993647743519,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,1,FULL_2016_2026,NET60,2598,0.04312204217756088,0.2946851274389794,-0.6084841481917519,0.07086797956151819,14.605993647743519,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,1,PRE_STRESS_2016_2024,GROSS,2209,0.07470423711370966,0.4335686903774053,-0.5402776462835174,0.13827008692213724,14.649132985147391,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,1,PRE_STRESS_2016_2024,NET30,2209,0.028456024735000307,0.23774117090683336,-0.5740136754644898,0.04957377489651931,14.649132985147391,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,1,PRE_STRESS_2016_2024,NET60,2209,-0.01587975835695421,0.04253512276894338,-0.6084841481917519,-0.026097242474014317,14.649132985147391,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,1,EARLY_2016_2019,GROSS,978,-0.017578342889624787,-0.007601087697929317,-0.3580706250281189,-0.04909183178107497,14.71996790590751,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,1,EARLY_2016_2019,NET30,978,-0.06005539837155027,-0.2518371459776701,-0.38012750811996165,-0.1579875096874016,14.71996790590751,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,1,EARLY_2016_2019,NET60,978,-0.10076755520706593,-0.49459167296872936,-0.41541652316928757,-0.24256992581395675,14.71996790590751,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,1,LATE_2020_2022,GROSS,742,0.2172551474078115,0.856184688923568,-0.40492579574410226,0.5365307661088317,14.733382478902252,0.0
KOSPI_ALL,PRIVATE_FLOW,CF20,1,LATE_2020_2022,NET30,742,0.16457730063631804,0.6937188745300205,-0.41023644589272223,0.4011766928171842,14.733382478902252,0.0
