sample,return_type,horizon,breadth_transition,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
TRAIN_2016_2022,GROSS,5,HIGH_PERSIST,119,0.004660579275034159,0.0036626110096550034,0.5546218487394958,0.021140713809186234
TRAIN_2016_2022,GROSS,5,NON_HIGH,174,0.0038723506920928428,0.007301017642405955,0.6149425287356322,0.024316388979317462
TRAIN_2016_2022,GROSS,10,HIGH_ENTRY,48,0.0024020521119335427,0.004892299291659519,0.5416666666666666,0.0391787318007188
TRAIN_2016_2022,GROSS,10,HIGH_PERSIST,119,0.0072181669509829545,0.009880560523556847,0.6554621848739496,0.030750227530014676
TRAIN_2016_2022,GROSS,10,NON_HIGH,174,0.008520175841347555,0.014061748859650303,0.6379310344827587,0.03783203903550267
TRAIN_2016_2022,GROSS,20,HIGH_ENTRY,48,0.013445343765302882,0.023346522823683057,0.625,0.04824879535621513
TRAIN_2016_2022,GROSS,20,HIGH_PERSIST,119,0.004620400330835657,0.010131486886655217,0.5546218487394958,0.04977867384705952
TRAIN_2016_2022,GROSS,20,NON_HIGH,174,0.02257874378339716,0.025892128863541385,0.6609195402298851,0.057420981514451734
TRAIN_2016_2022,NET30,5,HIGH_ENTRY,48,-0.002112335083288353,0.006211078391612029,0.5833333333333334,0.033257597078748244
TRAIN_2016_2022,NET30,5,HIGH_PERSIST,119,0.003844227579480564,0.0028090059754636966,0.5462184873949579,0.021052585081379527
TRAIN_2016_2022,NET30,5,NON_HIGH,174,0.003048727893332954,0.0063832781667688574,0.603448275862069,0.024110471826132844
TRAIN_2016_2022,NET30,10,HIGH_ENTRY,48,0.0007476402969836191,0.0033085404989042387,0.5208333333333334,0.03906569907709289
TRAIN_2016_2022,NET30,10,HIGH_PERSIST,119,0.005585323186182595,0.008184176521300036,0.6386554621848739,0.030234762969989244
TRAIN_2016_2022,NET30,10,NON_HIGH,174,0.0068612256014947606,0.012338216765126087,0.6091954022988506,0.037340140173747996
TRAIN_2016_2022,NET30,20,HIGH_ENTRY,48,0.010136614659990668,0.020379032494905934,0.6041666666666666,0.04742402612918517
TRAIN_2016_2022,NET30,20,HIGH_PERSIST,119,0.0013511268042126576,0.006883027455324731,0.5462184873949579,0.0493939306491653
TRAIN_2016_2022,NET30,20,NON_HIGH,174,0.01922991812917246,0.02285406949758841,0.6436781609195402,0.05624496435622739
TRAIN_2016_2022,NET60,5,HIGH_ENTRY,48,-0.002936142574452573,0.005314455005095531,0.5833333333333334,0.033083294645293075
TRAIN_2016_2022,NET60,5,HIGH_PERSIST,119,0.003027875883926832,0.0019203142696914033,0.5378151260504201,0.02097969503275311
TRAIN_2016_2022,NET60,5,NON_HIGH,174,0.0022251050945729343,0.005561802608725764,0.5804597701149425,0.023927709357496753
TRAIN_2016_2022,NET60,10,HIGH_ENTRY,48,-0.0009067715179665644,0.0017247817061487535,0.5208333333333334,0.03902831651717396
TRAIN_2016_2022,NET60,10,HIGH_PERSIST,119,0.003952479421381973,0.006876728158067469,0.6050420168067226,0.029785209422587586
TRAIN_2016_2022,NET60,10,NON_HIGH,174,0.0052022753616416915,0.010389649016886354,0.5977011494252874,0.03692202137619462
TRAIN_2016_2022,NET60,20,HIGH_ENTRY,48,0.006833123294839781,0.01741582812752094,0.6041666666666666,0.046614154904370965
TRAIN_2016_2022,NET60,20,HIGH_PERSIST,119,-0.0019129014703006127,0.003777706519541113,0.5294117647058824,0.04909467066931956
