sample,return_type,horizon,high_revision_cell,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
TRAIN_2016_2022,NET60,20,,2,-0.017479492568165736,-0.017479492568165736,0.5,0.02489452264458286
YTD_2026,GROSS,5,HIGH|N+,4,-0.016265704910276003,-0.009853121399771198,0.25,0.025170712441867096
YTD_2026,GROSS,5,HIGH|N-,1,-0.05859500342939193,-0.05859500342939193,0.0,0.05859500342939193
YTD_2026,GROSS,5,HIGH|R+,1,0.0646068337533607,0.0646068337533607,1.0,0.0646068337533607
YTD_2026,GROSS,5,HIGH|R-,6,-0.002467519425117063,-0.037425508113855525,0.3333333333333333,0.07750717467520343
YTD_2026,GROSS,5,HIGH|W+,5,-0.00708726777901429,0.003104254320716082,0.6,0.025522501443165223
YTD_2026,GROSS,5,HIGH|W-,2,-0.09835319988583263,-0.09835319988583263,0.0,0.09835319988583263
YTD_2026,GROSS,5,NON_HIGH,9,0.036436810420732976,0.022158091190007667,0.6666666666666666,0.04455341430981934
YTD_2026,GROSS,10,HIGH|N+,4,-0.0313514999579019,-0.03066949418753709,0.25,0.03864979498162546
YTD_2026,GROSS,10,HIGH|N-,1,-0.08799516148974014,-0.08799516148974014,0.0,0.08799516148974014
YTD_2026,GROSS,10,HIGH|R+,1,0.15635820792467023,0.15635820792467023,1.0,0.15635820792467023
YTD_2026,GROSS,10,HIGH|R-,5,-0.05100165329516319,-0.07359772991597188,0.2,0.08077133265082567
YTD_2026,GROSS,10,HIGH|W+,5,-0.030867281495103448,-0.012262844071365919,0.2,0.037168018017027696
YTD_2026,GROSS,10,HIGH|W-,2,-0.09615828518797191,-0.09615828518797191,0.0,0.09615828518797191
YTD_2026,GROSS,10,NON_HIGH,9,0.06900342390524589,0.08951922290048989,0.7777777777777778,0.09149068637207919
YTD_2026,GROSS,20,HIGH|N+,4,-0.006714864696321144,-0.02630804245223925,0.5,0.05624894057898715
YTD_2026,GROSS,20,HIGH|N-,1,-0.17040904072778243,-0.17040904072778243,0.0,0.17040904072778243
YTD_2026,GROSS,20,HIGH|R+,1,0.17454734109017386,0.17454734109017386,1.0,0.17454734109017386
YTD_2026,GROSS,20,HIGH|R-,3,-0.11447119734970408,-0.09438159022619187,0.0,0.11447119734970408
YTD_2026,GROSS,20,HIGH|W+,5,-0.09262692671202796,-0.10392245122188819,0.2,0.09848246803115164
YTD_2026,GROSS,20,HIGH|W-,2,-0.10977006935300071,-0.10977006935300071,0.0,0.10977006935300071
YTD_2026,GROSS,20,NON_HIGH,9,0.11536883582582164,0.15972090428125682,0.8888888888888888,0.15155808646188587
