date,sample,return_type,horizon,factor_breadth_20d,breadth_bin,breadth_group,breadth_transition,breadth_delta,base_state,factor_substate,REVISION_state,high_base_cell,high_revision_cell,high_factor_substate_cell,fwd_mean_across_phases,fwd_median_across_phases
2016-03-25,TRAIN_2016_2022,NET60,20,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.010903528981192822,0.008791766993489158
2016-04-01,TRAIN_2016_2022,GROSS,5,0.375,LOW,NON_HIGH,NON_HIGH,0.125,B4,F_LOW,N+,NON_HIGH,NON_HIGH,NON_HIGH,0.024864327583001743,0.026182137184806997
2016-04-01,TRAIN_2016_2022,GROSS,10,0.375,LOW,NON_HIGH,NON_HIGH,0.125,B4,F_LOW,N+,NON_HIGH,NON_HIGH,NON_HIGH,-0.010620258202662403,-0.011036523794950515
2016-04-01,TRAIN_2016_2022,GROSS,20,0.375,LOW,NON_HIGH,NON_HIGH,0.125,B4,F_LOW,N+,NON_HIGH,NON_HIGH,NON_HIGH,-0.026209561308162176,-0.025200755879684067
2016-04-01,TRAIN_2016_2022,NET30,5,0.375,LOW,NON_HIGH,NON_HIGH,0.125,B4,F_LOW,N+,NON_HIGH,NON_HIGH,NON_HIGH,0.02403419917993077,0.02588501620584005
2016-04-01,TRAIN_2016_2022,NET30,10,0.375,LOW,NON_HIGH,NON_HIGH,0.125,B4,F_LOW,N+,NON_HIGH,NON_HIGH,NON_HIGH,-0.012032980940548865,-0.012336753060991634
2016-04-01,TRAIN_2016_2022,NET30,20,0.375,LOW,NON_HIGH,NON_HIGH,0.125,B4,F_LOW,N+,NON_HIGH,NON_HIGH,NON_HIGH,-0.029102075166766272,-0.028167016120347776
2016-04-01,TRAIN_2016_2022,NET60,5,0.375,LOW,NON_HIGH,NON_HIGH,0.125,B4,F_LOW,N+,NON_HIGH,NON_HIGH,NON_HIGH,0.023204070776859664,0.02556947191929726
2016-04-01,TRAIN_2016_2022,NET60,10,0.375,LOW,NON_HIGH,NON_HIGH,0.125,B4,F_LOW,N+,NON_HIGH,NON_HIGH,NON_HIGH,-0.01344570367843546,-0.013723122032227253
2016-04-01,TRAIN_2016_2022,NET60,20,0.375,LOW,NON_HIGH,NON_HIGH,0.125,B4,F_LOW,N+,NON_HIGH,NON_HIGH,NON_HIGH,-0.03199041186595634,-0.031128930028812396
2016-04-08,TRAIN_2016_2022,GROSS,5,0.75,HIGH,HIGH,HIGH_ENTRY,0.375,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.03461736876756254,-0.03268776657293493
2016-04-08,TRAIN_2016_2022,GROSS,10,0.75,HIGH,HIGH,HIGH_ENTRY,0.375,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.026050541359620528,-0.0255607344794771
2016-04-08,TRAIN_2016_2022,GROSS,20,0.75,HIGH,HIGH,HIGH_ENTRY,0.375,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.027845579385799502,-0.028096804384570906
2016-04-08,TRAIN_2016_2022,NET30,5,0.75,HIGH,HIGH,HIGH_ENTRY,0.375,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.035211455436678696,-0.03298919419804708
2016-04-08,TRAIN_2016_2022,NET30,10,0.75,HIGH,HIGH,HIGH_ENTRY,0.375,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.027252354907599065,-0.02668821290684026
2016-04-08,TRAIN_2016_2022,NET30,20,0.75,HIGH,HIGH,HIGH_ENTRY,0.375,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.03079992991906102,-0.030855982667729986
2016-04-08,TRAIN_2016_2022,NET60,5,0.75,HIGH,HIGH,HIGH_ENTRY,0.375,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.03580554210579493,-0.033514443366157554
2016-04-08,TRAIN_2016_2022,NET60,10,0.75,HIGH,HIGH,HIGH_ENTRY,0.375,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.02845416845557779,-0.02781569133420342
2016-04-08,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_ENTRY,0.375,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.03374996238573127,-0.033611537637436906
2016-04-18,TRAIN_2016_2022,GROSS,5,0.5,LOW,NON_HIGH,NON_HIGH,-0.25,B4,F_HIGH,N+,NON_HIGH,NON_HIGH,NON_HIGH,0.008879473900010492,0.008138231595767764
2016-04-18,TRAIN_2016_2022,GROSS,10,0.5,LOW,NON_HIGH,NON_HIGH,-0.25,B4,F_HIGH,N+,NON_HIGH,NON_HIGH,NON_HIGH,-0.015758348117051357,-0.01734085543267644
2016-04-18,TRAIN_2016_2022,GROSS,20,0.5,LOW,NON_HIGH,NON_HIGH,-0.25,B4,F_HIGH,N+,NON_HIGH,NON_HIGH,NON_HIGH,-0.0011916494671402433,-0.00031094761652783465
2016-04-18,TRAIN_2016_2022,NET30,5,0.5,LOW,NON_HIGH,NON_HIGH,-0.25,B4,F_HIGH,N+,NON_HIGH,NON_HIGH,NON_HIGH,0.008256263583585999,0.008138231595767875
