sample,return_type,horizon,high_factor_substate_cell,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
YTD_2026,NET30,5,HIGH|F_HIGH,10,-0.01791586695088569,-0.010767567175876609,0.4,0.0298682384229656
YTD_2026,NET30,5,HIGH|F_LOW,9,-0.015995764824905848,-0.0504603843314978,0.3333333333333333,0.07972631369094686
YTD_2026,NET30,5,NON_HIGH,9,0.035469865463302386,0.020619349494951145,0.6666666666666666,0.044199562859602165
YTD_2026,NET30,10,HIGH|F_HIGH,10,-0.04853858402137266,-0.0316431424956293,0.2,0.05380227544161992
YTD_2026,NET30,10,HIGH|F_LOW,8,-0.02560485608837965,-0.049740030430352765,0.25,0.08227481513603697
YTD_2026,NET30,10,NON_HIGH,9,0.06702120677585668,0.08740741545460615,0.7777777777777778,0.09029510079190863
YTD_2026,NET30,20,HIGH|F_HIGH,10,-0.06511105173037376,-0.06625570195614525,0.3,0.08559135835702603
YTD_2026,NET30,20,HIGH|F_LOW,6,-0.07529294814166836,-0.09633801349684105,0.16666666666666666,0.13190439832813075
YTD_2026,NET30,20,NON_HIGH,9,0.11103649569756456,0.15609083035409357,0.8888888888888888,0.14792998886038083
YTD_2026,NET60,5,HIGH|F_HIGH,10,-0.01884338322397017,-0.011682012951982006,0.4,0.029968506323417965
YTD_2026,NET60,5,HIGH|F_LOW,9,-0.01686760323241604,-0.051270825340642215,0.3333333333333333,0.0799451899636936
YTD_2026,NET60,5,NON_HIGH,9,0.03450292050587159,0.019080607799894532,0.6666666666666666,0.04384571140938488
YTD_2026,NET60,10,HIGH|F_HIGH,10,-0.05029882990484187,-0.03349045244090472,0.2,0.05475652647488467
YTD_2026,NET60,10,HIGH|F_LOW,8,-0.02734461013364472,-0.0514329656478555,0.25,0.08298892665050259
YTD_2026,NET60,10,NON_HIGH,9,0.06503898964646707,0.08529560800872205,0.7777777777777778,0.0890995152117378
YTD_2026,NET60,20,HIGH|F_HIGH,10,-0.06845519761439309,-0.06954181787268988,0.3,0.0866785039125196
YTD_2026,NET60,20,HIGH|F_LOW,6,-0.07871292961568867,-0.09951733259889523,0.16666666666666666,0.1337565491372177
YTD_2026,NET60,20,NON_HIGH,9,0.10671194343441326,0.15246515946928776,0.8888888888888888,0.1443083458871074
