universe,overlay,sample,n_dates,mean_delta,median_delta,positive_date_rate,mean_factor_beat_rate
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W10,YTD_2026,13,0.007607722997610747,0.010811598843468051,0.7692307692307693,0.6923076923076923
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W20,BULL_2025,25,0.004413957740483625,0.0029719630673284113,0.52,0.56
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W20,EARLY_2016_2019,98,0.0012947449748300266,0.0011042015252563946,0.6122448979591837,0.5178571428571429
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W20,LATE_2020_2022,75,0.0016918736453947903,0.0009391572971645442,0.5466666666666666,0.5233333333333333
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.0005811466660292208,-0.00021623561531238867,0.5,0.5130208333333334
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W20,YTD_2026,13,0.011044417068078034,0.01536250860845146,0.8461538461538461,0.6634615384615384
KOSPI_KOSDAQ_ALL,FOUR_FAMILY_EW,BULL_2025,25,0.00469564660967245,0.010226409739784366,0.56,0.51
KOSPI_KOSDAQ_ALL,FOUR_FAMILY_EW,EARLY_2016_2019,98,-0.0001373027919289126,0.0002842893766782531,0.5102040816326531,0.5038265306122449
KOSPI_KOSDAQ_ALL,FOUR_FAMILY_EW,LATE_2020_2022,75,0.002249744662877481,0.006513549965100134,0.5866666666666667,0.5233333333333333
KOSPI_KOSDAQ_ALL,FOUR_FAMILY_EW,NORMAL_2023_2024,48,-0.003370633687288764,-0.007089944050025795,0.3958333333333333,0.4609375
KOSPI_KOSDAQ_ALL,FOUR_FAMILY_EW,YTD_2026,13,-0.0014126718067060994,0.0010107782493854172,0.5384615384615384,0.4807692307692308
KOSPI_KOSDAQ_ALL,SIBLING_W20,BULL_2025,25,0.00378944343449451,0.0035118928871685903,0.56,0.575
KOSPI_KOSDAQ_ALL,SIBLING_W20,EARLY_2016_2019,98,0.0006395524826672674,0.0004787671986761649,0.5612244897959183,0.5229591836734694
KOSPI_KOSDAQ_ALL,SIBLING_W20,LATE_2020_2022,75,0.00278134147925145,0.0024403176715440894,0.6133333333333333,0.5483333333333333
KOSPI_KOSDAQ_ALL,SIBLING_W20,NORMAL_2023_2024,48,0.0031438640460992456,0.004201214177332201,0.6041666666666666,0.5234375
KOSPI_KOSDAQ_ALL,SIBLING_W20,YTD_2026,13,0.016012830193984164,0.012684407041569774,0.8461538461538461,0.6153846153846154
