universe,factor,family,overlay,sample,n,ann_return,sharpe,mdd,hit_rate,avg_turnover,mean_delta_vs_base,beat_base_rate,median_delta_vs_base
KOSDAQ,OP12_REV,REVISION,SIBLING_W20,YTD_2026,13,-0.4081451467939021,-0.7942503947572934,-0.45344307578741816,0.38461538461538464,0.5038461538461538,0.004630132416225638,0.6153846153846154,0.011171276110979261
KOSDAQ,OPFY1_REV,REVISION,BASE,BULL_2025,25,0.8602332491211955,2.8838171081734907,-0.13768535760907707,0.76,0.498,0.0,0.0,0.0
KOSDAQ,OPFY1_REV,REVISION,BASE,EARLY_2016_2019,98,0.07108519715298978,0.4189113694590421,-0.3132735531174674,0.5510204081632653,0.4607142857142858,0.0,0.0,0.0
KOSDAQ,OPFY1_REV,REVISION,BASE,LATE_2020_2022,75,0.06771493689253139,0.376349368405689,-0.3782235411784418,0.6266666666666667,0.5239999999999999,0.0,0.0,0.0
KOSDAQ,OPFY1_REV,REVISION,BASE,NORMAL_2023_2024,48,0.05339658400018066,0.33322752849370424,-0.31318297595091504,0.5,0.5083333333333333,0.0,0.0,0.0
KOSDAQ,OPFY1_REV,REVISION,BASE,YTD_2026,13,-0.28194810051447783,-0.41209039502205,-0.39954118144598616,0.5384615384615384,0.5307692307692308,0.0,0.0,0.0
KOSDAQ,OPFY1_REV,REVISION,CROSS_FAMILY_W10,BULL_2025,25,0.8929611616779418,3.022954403583992,-0.14037082552829572,0.8,0.512,0.0006714676938676117,0.36,0.0
KOSDAQ,OPFY1_REV,REVISION,CROSS_FAMILY_W10,EARLY_2016_2019,98,0.0657407209739791,0.4012531077748392,-0.3309197851636666,0.5408163265306123,0.4653061224489795,-0.00025180486065798526,0.42857142857142855,0.0
KOSDAQ,OPFY1_REV,REVISION,CROSS_FAMILY_W10,LATE_2020_2022,75,0.07259571981540724,0.39213073044215074,-0.38315606915950173,0.6133333333333333,0.52,0.00018147455550062853,0.4666666666666667,0.0
KOSDAQ,OPFY1_REV,REVISION,CROSS_FAMILY_W10,NORMAL_2023_2024,48,0.04667007687414282,0.3062682473158256,-0.3056022189230645,0.5208333333333334,0.5125000000000001,-0.00024791446898378205,0.4583333333333333,0.0
KOSDAQ,OPFY1_REV,REVISION,CROSS_FAMILY_W10,YTD_2026,13,-0.17565988291627654,-0.1372490340942168,-0.36161937848442893,0.6153846153846154,0.5346153846153847,0.005503601311420142,0.38461538461538464,-1.3877787807814457e-17
