universe,overlay,sample,metric,n_dates,mean,ci025,ci975,p_gt0
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,YTD_2026,gross_delta,13,0.004853376192824437,-0.003998015880880692,0.012505729221749327,0.8582
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,BULL_2025,net_delta,25,0.007951998858251921,-0.0037531388470803655,0.020263621676256935,0.8944
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,BULL_2025,gross_delta,25,0.00857074885825192,-0.003319355218856354,0.021067013198156903,0.9118
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,EARLY_2016_2019,net_delta,98,-5.827129660326633e-05,-0.0030230416087030474,0.003018153200863296,0.4734
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,EARLY_2016_2019,gross_delta,98,0.0005021241115599985,-0.002505280011212405,0.0034347165811688977,0.623
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,LATE_2020_2022,net_delta,75,0.001725382092427459,-0.003533441462719327,0.006970687599897731,0.744
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,LATE_2020_2022,gross_delta,75,0.002376632092427459,-0.0027962124887433546,0.007787101746486856,0.8156
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,NORMAL_2023_2024,net_delta,48,-0.004458178855244087,-0.01268857816359264,0.005543658690274902,0.168
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,NORMAL_2023_2024,gross_delta,48,-0.003757788230244087,-0.012309603888892068,0.00576495126901074,0.2046
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,YTD_2026,net_delta,13,0.00668671234217789,-0.008031320649098665,0.021772532230336754,0.8024
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,YTD_2026,gross_delta,13,0.007547770034485578,-0.007485083926539875,0.02273457219647682,0.8288
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,BULL_2025,net_delta,25,0.002884439227836992,-0.0025318875704722966,0.008568559002091598,0.845
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,BULL_2025,gross_delta,25,0.0029766892278369887,-0.0023953663841138825,0.00834076848712765,0.8638
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,EARLY_2016_2019,net_delta,98,0.00044164000397805555,-0.0008040091801725013,0.0016503269667331251,0.7514
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,EARLY_2016_2019,gross_delta,98,0.0005811170447943817,-0.0006347867193222843,0.0018191157336769116,0.8248
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,LATE_2020_2022,net_delta,75,0.001334879048214683,-0.00043630466072259983,0.0031449112225230094,0.9314
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,LATE_2020_2022,gross_delta,75,0.0014546290482146838,-0.0003059800929775201,0.0031742041556864727,0.9474
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,NORMAL_2023_2024,net_delta,48,0.0034003257102220076,-3.833370491287075e-06,0.006708309681381497,0.9748
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,NORMAL_2023_2024,gross_delta,48,0.0035546225852220066,0.0001103175057379029,0.006872682754729189,0.9794
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,YTD_2026,net_delta,13,0.013964836276536068,0.005611134468348779,0.022247127673943136,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,YTD_2026,gross_delta,13,0.014110509353459148,0.005573946641971997,0.022795260057455493,1.0
KOSPI_ALL,CROSS_FAMILY_W10,BULL_2025,net_delta,25,0.0027477426657322025,8.770772996973229e-05,0.005634174454895533,0.9792
KOSPI_ALL,CROSS_FAMILY_W10,BULL_2025,gross_delta,25,0.0027769926657321997,0.0001703507892820351,0.0056853022497002055,0.9822
KOSPI_ALL,CROSS_FAMILY_W10,EARLY_2016_2019,net_delta,98,0.0002920689992975258,-0.00031359857239709766,0.0008698774300815828,0.84
KOSPI_ALL,CROSS_FAMILY_W10,EARLY_2016_2019,gross_delta,98,0.0003142628768485458,-0.00029837019789132784,0.0008902607375768658,0.8438
KOSPI_ALL,CROSS_FAMILY_W10,LATE_2020_2022,net_delta,75,0.0005527970328112498,-0.0006688366078902751,0.0017671571886746706,0.8096
KOSPI_ALL,CROSS_FAMILY_W10,LATE_2020_2022,gross_delta,75,0.0005967970328112489,-0.0005554627097373979,0.001819685582751723,0.8344
KOSPI_ALL,CROSS_FAMILY_W10,NORMAL_2023_2024,net_delta,48,0.00014859616531175674,-0.0014187698127119614,0.0015294036986163541,0.5944
KOSPI_ALL,CROSS_FAMILY_W10,NORMAL_2023_2024,gross_delta,48,0.0001985961653117568,-0.0013762516802501594,0.0015968772530642026,0.6226
KOSPI_ALL,CROSS_FAMILY_W10,YTD_2026,net_delta,13,0.001078371868167587,-0.0017686816091158281,0.003463184141384041,0.781
KOSPI_ALL,CROSS_FAMILY_W10,YTD_2026,gross_delta,13,0.00111442956047528,-0.0017378971833595916,0.0035130296837147966,0.7864
KOSPI_ALL,CROSS_FAMILY_W20,BULL_2025,net_delta,25,0.002600970588682491,-0.001556873889619677,0.007236770422558596,0.8714
KOSPI_ALL,CROSS_FAMILY_W20,BULL_2025,gross_delta,25,0.0027359705886824885,-0.0013220210121932111,0.0073548181546135545,0.8952
KOSPI_ALL,CROSS_FAMILY_W20,EARLY_2016_2019,net_delta,98,0.0002599975323598307,-0.0008500836751755244,0.001372330851512297,0.6906
KOSPI_ALL,CROSS_FAMILY_W20,EARLY_2016_2019,gross_delta,98,0.0003487730425639122,-0.0007911974863852866,0.0014411270440172813,0.728
