date,threshold_bn,factor_rows,eligible,jaccard,precision,recall,factor_only,eligible_only
2017-10-20,200,490,589,0.8226351351351351,0.9938775510204082,0.8268251273344652,3,102
2017-10-20,225,490,540,0.8968692449355433,0.9938775510204082,0.9018518518518519,3,53
2017-10-20,250,490,497,0.9622266401590457,0.9877551020408163,0.9738430583501007,6,13
2017-10-20,275,490,459,0.936734693877551,0.936734693877551,1.0,31,0
2017-10-20,300,490,427,0.8714285714285714,0.8714285714285714,1.0,63,0
2017-10-20,325,490,409,0.8346938775510204,0.8346938775510204,1.0,81,0
2017-10-20,350,490,389,0.7938775510204081,0.7938775510204081,1.0,101,0
2017-10-27,150,510,763,0.6618798955613577,0.9941176470588236,0.6644823066841415,3,256
2017-10-27,175,510,667,0.7567164179104477,0.9941176470588236,0.760119940029985,3,160
2017-10-27,200,510,596,0.8464106844741235,0.9941176470588236,0.8506711409395973,3,89
2017-10-27,225,510,554,0.9102333931777379,0.9941176470588236,0.9151624548736462,3,47
2017-10-27,250,510,508,0.9690522243713733,0.9823529411764705,0.9862204724409449,9,7
2017-10-27,275,510,468,0.91015625,0.9137254901960784,0.9957264957264957,44,2
2017-10-27,300,510,440,0.8590998043052838,0.8607843137254902,0.9977272727272727,71,1
2017-10-27,325,510,420,0.8235294117647058,0.8235294117647058,1.0,90,0
2017-10-27,350,510,398,0.7803921568627451,0.7803921568627451,1.0,112,0
2017-11-03,150,518,776,0.658974358974359,0.9922779922779923,0.6623711340206185,4,262
2017-11-03,175,518,679,0.7525622254758418,0.9922779922779923,0.7569955817378498,4,165
2017-11-03,200,518,603,0.8467874794069192,0.9922779922779923,0.8524046434494196,4,89
2017-11-03,225,518,563,0.9065255731922398,0.9922779922779923,0.9129662522202486,4,49
2017-11-03,250,518,521,0.9715370018975332,0.9884169884169884,0.982725527831094,6,9
2017-11-03,275,518,472,0.9075144508670521,0.9092664092664092,0.9978813559322034,47,1
2017-11-03,300,518,444,0.8571428571428571,0.8571428571428571,1.0,74,0
2017-11-03,325,518,426,0.8223938223938224,0.8223938223938224,1.0,92,0
2017-11-03,350,518,403,0.777992277992278,0.777992277992278,1.0,115,0
2017-11-10,150,528,785,0.6641318124207858,0.9924242424242424,0.6675159235668789,4,261
2017-11-10,175,528,692,0.7528735632183908,0.9924242424242424,0.7572254335260116,4,168
2017-11-10,200,528,616,0.8451612903225807,0.9924242424242424,0.8506493506493507,4,92
2017-11-10,225,528,568,0.916083916083916,0.9924242424242424,0.9225352112676056,4,44
2017-11-10,250,528,527,0.9719626168224299,0.9848484848484849,0.9867172675521821,8,7
2017-11-10,275,528,487,0.9223484848484849,0.9223484848484849,1.0,41,0
2017-11-10,300,528,454,0.8598484848484849,0.8598484848484849,1.0,74,0
2017-11-10,325,528,433,0.8200757575757576,0.8200757575757576,1.0,95,0
2017-11-10,350,528,417,0.7897727272727273,0.7897727272727273,1.0,111,0
2017-11-17,150,538,789,0.6733921815889029,0.9925650557620818,0.6768060836501901,4,255
2017-11-17,175,538,697,0.7617689015691869,0.9925650557620818,0.7661406025824964,4,163
2017-11-17,200,538,630,0.8422712933753943,0.9925650557620818,0.8476190476190476,4,96
2017-11-17,225,538,577,0.919104991394148,0.9925650557620818,0.925476603119584,4,43
2017-11-17,250,538,539,0.9725274725274725,0.9869888475836431,0.9851576994434137,7,8
2017-11-17,275,538,491,0.912639405204461,0.912639405204461,1.0,47,0
2017-11-17,300,538,467,0.8680297397769516,0.8680297397769516,1.0,71,0
2017-11-17,325,538,444,0.8252788104089219,0.8252788104089219,1.0,94,0
2017-11-17,350,538,422,0.7843866171003717,0.7843866171003717,1.0,116,0
2017-11-24,150,540,809,0.6592865928659286,0.9925925925925926,0.6625463535228677,4,273
2017-11-24,175,540,705,0.7559943582510579,0.9925925925925926,0.7602836879432624,4,169
2017-11-24,200,540,636,0.8375,0.9925925925925926,0.8427672955974843,4,100
2017-11-24,225,540,586,0.9084745762711864,0.9925925925925926,0.9146757679180887,4,50
2017-11-24,250,540,542,0.9816849816849816,0.9925925925925926,0.988929889298893,4,6
2017-11-24,275,540,507,0.9353049907578558,0.937037037037037,0.9980276134122288,34,1
2017-11-24,300,540,472,0.8706099815157117,0.8722222222222222,0.9978813559322034,69,1
2017-11-24,325,540,453,0.8354898336414048,0.837037037037037,0.9977924944812362,88,1
2017-11-24,350,540,433,0.7985212569316081,0.8,0.9976905311778291,108,1
2017-12-01,150,539,805,0.6613102595797281,0.9925788497217068,0.6645962732919255,4,270
2017-12-01,175,539,706,0.7535211267605634,0.9925788497217068,0.7577903682719547,4,171
2017-12-01,200,539,629,0.8451816745655608,0.9925788497217068,0.8505564387917329,4,94
2017-12-01,225,539,592,0.8976510067114094,0.9925788497217068,0.9037162162162162,4,57
2017-12-01,250,539,537,0.9706959706959707,0.9833024118738405,0.9869646182495344,9,7
2017-12-01,275,539,504,0.9314814814814815,0.9332096474953617,0.998015873015873,36,1
2017-12-01,300,539,479,0.8886827458256029,0.8886827458256029,1.0,60,0
2017-12-01,325,539,457,0.8478664192949907,0.8478664192949907,1.0,82,0
2017-12-01,350,539,429,0.7959183673469388,0.7959183673469388,1.0,110,0
2017-12-08,150,550,799,0.677860696517413,0.990909090909091,0.6821026282853567,5,254
2017-12-08,175,550,691,0.7830459770114943,0.990909090909091,0.788712011577424,5,146
2017-12-08,200,550,626,0.8607594936708861,0.9890909090909091,0.8690095846645367,6,82
2017-12-08,225,550,579,0.9266211604095563,0.9872727272727273,0.9378238341968912,7,36
2017-12-08,250,550,537,0.9550359712230215,0.9654545454545455,0.9888268156424581,19,6
2017-12-08,275,550,497,0.8898916967509025,0.8963636363636364,0.9919517102615694,57,4
2017-12-08,300,550,472,0.8447653429602888,0.850909090909091,0.9915254237288136,82,4
2017-12-08,325,550,440,0.7870036101083032,0.7927272727272727,0.990909090909091,114,4
2017-12-08,350,550,409,0.7310469314079422,0.7363636363636363,0.9902200488997555,145,4
2017-12-15,150,546,808,0.6674876847290641,0.9926739926739927,0.6707920792079208,4,266
2017-12-15,175,546,708,0.7612359550561798,0.9926739926739927,0.7655367231638418,4,166
2017-12-15,200,546,637,0.8455538221528861,0.9926739926739927,0.8508634222919937,4,95
2017-12-15,225,546,588,0.9155405405405406,0.9926739926739927,0.9217687074829932,4,46
2017-12-15,250,546,545,0.9800362976406534,0.989010989010989,0.9908256880733946,6,5
2017-12-15,275,546,512,0.9377289377289377,0.9377289377289377,1.0,34,0
2017-12-15,300,546,478,0.8754578754578755,0.8754578754578755,1.0,68,0
2017-12-15,325,546,455,0.8333333333333334,0.8333333333333334,1.0,91,0
2017-12-15,350,546,418,0.7655677655677655,0.7655677655677655,1.0,128,0
2017-12-22,150,543,786,0.6822784810126582,0.992633517495396,0.6857506361323156,4,247
2017-12-22,175,543,685,0.7822931785195936,0.992633517495396,0.7868613138686131,4,146
2017-12-22,200,543,625,0.8539682539682539,0.990791896869245,0.8608,5,87
2017-12-22,225,543,579,0.9212328767123288,0.990791896869245,0.9291882556131261,5,41
2017-12-22,250,543,538,0.9798534798534798,0.9852670349907919,0.9944237918215614,8,3
2017-12-22,275,543,508,0.9355432780847146,0.9355432780847146,1.0,35,0
2017-12-22,300,543,475,0.8747697974217311,0.8747697974217311,1.0,68,0
2017-12-22,325,543,453,0.8342541436464088,0.8342541436464088,1.0,90,0
2017-12-22,350,543,417,0.7679558011049724,0.7679558011049724,1.0,126,0
2018-01-03,150,547,822,0.6573849878934624,0.9926873857404022,0.6605839416058394,4,279
2018-01-03,175,547,715,0.7552155771905424,0.9926873857404022,0.7594405594405594,4,172
2018-01-03,200,547,653,0.8264840182648402,0.9926873857404022,0.8315467075038285,4,110
2018-01-03,225,547,602,0.8960396039603961,0.9926873857404022,0.9019933554817275,4,59
2018-01-03,250,547,552,0.9695340501792115,0.9890310786106032,0.980072463768116,6,11
2018-01-03,275,547,521,0.9453551912568307,0.9488117001828154,0.9961612284069098,28,2
2018-01-03,300,547,488,0.8852459016393442,0.8884826325411335,0.9959016393442623,61,2
2018-01-03,325,547,465,0.850091407678245,0.850091407678245,1.0,82,0
2018-01-03,350,547,434,0.793418647166362,0.793418647166362,1.0,113,0
2018-01-10,150,568,832,0.6746411483253588,0.9929577464788732,0.6778846153846154,4,268
2018-01-10,175,568,720,0.7790055248618785,0.9929577464788732,0.7833333333333333,4,156
2018-01-10,200,568,655,0.8558421851289834,0.9929577464788732,0.8610687022900764,4,91
2018-01-10,225,568,611,0.9170731707317074,0.9929577464788732,0.9230769230769231,4,47
2018-01-10,250,568,564,0.9721254355400697,0.9823943661971831,0.9893617021276596,10,6
2018-01-10,275,568,518,0.9119718309859155,0.9119718309859155,1.0,50,0
2018-01-10,300,568,492,0.8661971830985915,0.8661971830985915,1.0,76,0
2018-01-10,325,568,466,0.8204225352112676,0.8204225352112676,1.0,102,0
2018-01-10,350,568,438,0.7711267605633803,0.7711267605633803,1.0,130,0
2018-01-17,150,564,835,0.6654761904761904,0.9911347517730497,0.6694610778443114,5,276
2018-01-17,175,564,735,0.7554054054054054,0.9911347517730497,0.7605442176870748,5,176
2018-01-17,200,564,661,0.8393393393393394,0.9911347517730497,0.8456883509833586,5,102
2018-01-17,225,564,615,0.9016129032258065,0.9911347517730497,0.9089430894308943,5,56
2018-01-17,250,564,572,0.9485420240137221,0.9804964539007093,0.9667832167832168,11,19
2018-01-17,275,564,530,0.9362831858407079,0.9379432624113475,0.9981132075471698,35,1
2018-01-17,300,564,500,0.8831858407079646,0.8847517730496454,0.998,65,1
2018-01-17,325,564,474,0.8371681415929203,0.8386524822695035,0.9978902953586498,91,1
2018-01-17,350,564,448,0.7911504424778761,0.7925531914893617,0.9977678571428571,117,1
2018-01-24,150,578,867,0.6590126291618829,0.9930795847750865,0.6620530565167243,4,293
2018-01-24,175,578,765,0.7464239271781534,0.9930795847750865,0.7503267973856209,4,191
2018-01-24,200,578,675,0.845360824742268,0.9930795847750865,0.8503703703703703,4,101
2018-01-24,225,578,633,0.9010989010989011,0.9930795847750865,0.9067930489731437,4,59
2018-01-24,250,578,581,0.9744463373083475,0.9896193771626297,0.9845094664371773,6,9
2018-01-24,275,578,541,0.9326424870466321,0.9342560553633218,0.9981515711645101,38,1
2018-01-24,300,578,507,0.8771626297577855,0.8771626297577855,1.0,71,0
2018-01-24,325,578,491,0.8494809688581315,0.8494809688581315,1.0,87,0
2018-01-24,350,578,458,0.7923875432525952,0.7923875432525952,1.0,120,0
2018-01-31,150,599,892,0.6640625,0.993322203672788,0.6670403587443946,4,297
2018-01-31,175,599,784,0.7550761421319797,0.993322203672788,0.7589285714285714,4,189
2018-01-31,200,599,694,0.8524355300859598,0.993322203672788,0.8573487031700289,4,99
2018-01-31,225,599,643,0.919629057187017,0.993322203672788,0.9253499222395023,4,48
2018-01-31,250,599,591,0.9669421487603306,0.9766277128547579,0.9898477157360406,14,6
2018-01-31,275,599,555,0.9233333333333333,0.9248747913188647,0.9981981981981982,45,1
2018-01-31,300,599,522,0.8683333333333333,0.8697829716193656,0.9980842911877394,78,1
2018-01-31,325,599,500,0.8316666666666667,0.8330550918196995,0.998,100,1
2018-01-31,350,599,469,0.7829716193656093,0.7829716193656093,1.0,130,0
2018-02-07,150,576,842,0.6761229314420804,0.9930555555555556,0.6793349168646081,4,270
2018-02-07,175,576,734,0.7750677506775068,0.9930555555555556,0.779291553133515,4,162
2018-02-07,200,576,650,0.8746177370030581,0.9930555555555556,0.88,4,78
2018-02-07,225,576,609,0.933115823817292,0.9930555555555556,0.9392446633825944,4,37
2018-02-07,250,576,563,0.9705882352941176,0.9739583333333334,0.9964476021314387,15,2
2018-02-07,275,576,526,0.9131944444444444,0.9131944444444444,1.0,50,0
2018-02-07,300,576,504,0.875,0.875,1.0,72,0
2018-02-07,325,576,474,0.8229166666666666,0.8229166666666666,1.0,102,0
2018-02-07,350,576,445,0.7725694444444444,0.7725694444444444,1.0,131,0
2018-02-14,150,571,855,0.662004662004662,0.9947460595446584,0.664327485380117,3,287
2018-02-14,175,571,742,0.7624161073825504,0.9947460595446584,0.7654986522911051,3,174
2018-02-14,200,571,669,0.8452380952380952,0.9947460595446584,0.8490284005979073,3,101
2018-02-14,225,571,616,0.9176090468497576,0.9947460595446584,0.922077922077922,3,48
2018-02-14,250,571,568,0.9774305555555556,0.9859894921190894,0.9911971830985915,8,5
2018-02-14,275,571,537,0.9336823734729494,0.9369527145359019,0.9962756052141527,36,2
2018-02-14,300,571,510,0.8898601398601399,0.8914185639229422,0.9980392156862745,62,1
2018-02-14,325,571,477,0.8321678321678322,0.8336252189141856,0.9979035639412998,95,1
2018-02-14,350,571,453,0.7902097902097902,0.7915936952714536,0.9977924944812362,119,1
2018-02-23,150,583,860,0.6740139211136891,0.9965694682675815,0.6755813953488372,2,279
2018-02-23,175,583,754,0.7685185185185185,0.9965694682675815,0.7705570291777188,2,173
2018-02-23,200,583,678,0.8544117647058823,0.9965694682675815,0.8569321533923304,2,97
2018-02-23,225,583,620,0.9340836012861736,0.9965694682675815,0.9370967741935484,2,39
2018-02-23,250,583,581,0.9829642248722317,0.9897084048027445,0.9931153184165232,6,4
2018-02-23,275,583,543,0.9313893653516295,0.9313893653516295,1.0,40,0
2018-02-23,300,583,517,0.8867924528301887,0.8867924528301887,1.0,66,0
2018-02-23,325,583,491,0.8421955403087479,0.8421955403087479,1.0,92,0
2018-02-23,350,583,466,0.7993138936535163,0.7993138936535163,1.0,117,0
2018-03-05,150,576,839,0.6825208085612366,0.9965277777777778,0.6841477949940405,2,265
2018-03-05,175,576,738,0.7756756756756756,0.9965277777777778,0.7777777777777778,2,164
2018-03-05,200,576,662,0.8644578313253012,0.9965277777777778,0.8670694864048338,2,88
2018-03-05,225,576,612,0.9348534201954397,0.9965277777777778,0.9379084967320261,2,38
2018-03-05,250,576,566,0.9723661485319517,0.9774305555555556,0.9946996466431095,13,3
2018-03-05,275,576,537,0.9322916666666666,0.9322916666666666,1.0,39,0
2018-03-05,300,576,503,0.8732638888888888,0.8732638888888888,1.0,73,0
2018-03-05,325,576,472,0.8194444444444444,0.8194444444444444,1.0,104,0
2018-03-05,350,576,453,0.7864583333333334,0.7864583333333334,1.0,123,0
2018-03-12,150,571,859,0.6608594657375145,0.9964973730297724,0.6623981373690337,2,290
2018-03-12,175,571,758,0.7486842105263158,0.9964973730297724,0.7506596306068601,2,189
2018-03-12,200,571,684,0.8294460641399417,0.9964973730297724,0.8318713450292398,2,115
2018-03-12,225,571,627,0.904610492845787,0.9964973730297724,0.9074960127591707,2,58
2018-03-12,250,571,586,0.967687074829932,0.9964973730297724,0.9709897610921502,2,17
2018-03-12,275,571,546,0.9493891797556719,0.9527145359019265,0.9963369963369964,27,2
2018-03-12,300,571,515,0.9019264448336253,0.9019264448336253,1.0,56,0
2018-03-12,325,571,490,0.8581436077057794,0.8581436077057794,1.0,81,0
2018-03-12,350,571,462,0.809106830122592,0.809106830122592,1.0,109,0
2018-03-19,150,591,861,0.6786127167630058,0.9932318104906938,0.6817653890824622,4,274
2018-03-19,175,591,757,0.771353482260184,0.9932318104906938,0.7754293262879789,4,170
2018-03-19,200,591,685,0.8519593613933236,0.9932318104906938,0.8569343065693431,4,98
2018-03-19,225,591,626,0.9317460317460318,0.9932318104906938,0.9376996805111821,4,39
2018-03-19,250,591,585,0.9731543624161074,0.9813874788494078,0.9914529914529915,11,5
2018-03-19,275,591,548,0.9239864864864865,0.9255499153976311,0.9981751824817519,44,1
2018-03-19,300,591,514,0.8665540540540541,0.868020304568528,0.9980544747081712,78,1
2018-03-19,325,591,488,0.8257191201353637,0.8257191201353637,1.0,103,0
2018-03-19,350,591,466,0.7884940778341794,0.7884940778341794,1.0,125,0
2018-03-26,150,593,836,0.7032181168057211,0.9949409780775716,0.7057416267942583,3,246
