universe,metric,strategy,sample,phase,family,n_dates,net_delta_30
KOSDAQ,ACT1,LOW05,YTD_2026,9,VALUE,13,-0.0010071190380762528
KOSDAQ,ACT5,LOW30,BULL_2025,0,FLOW,25,0.0017068639208589753
KOSDAQ,ACT5,LOW30,BULL_2025,0,MOMENTUM,25,-0.0011994066991743318
KOSDAQ,ACT5,LOW30,BULL_2025,0,REVISION,25,0.0014396623716909967
KOSDAQ,ACT5,LOW30,BULL_2025,0,VALUE,25,0.0007426317141348298
KOSDAQ,ACT5,LOW30,BULL_2025,1,FLOW,25,0.004426463899901412
KOSDAQ,ACT5,LOW30,BULL_2025,1,MOMENTUM,25,0.0006128023546745551
KOSDAQ,ACT5,LOW30,BULL_2025,1,REVISION,25,0.002246424441776659
KOSDAQ,ACT5,LOW30,BULL_2025,1,VALUE,25,-0.00029750060361151436
KOSDAQ,ACT5,LOW30,BULL_2025,2,FLOW,24,0.0025918908936036233
KOSDAQ,ACT5,LOW30,BULL_2025,2,MOMENTUM,24,0.0008662060571133079
KOSDAQ,ACT5,LOW30,BULL_2025,2,REVISION,24,-0.000704054307394339
KOSDAQ,ACT5,LOW30,BULL_2025,2,VALUE,24,0.0008787941804367015
KOSDAQ,ACT5,LOW30,BULL_2025,3,FLOW,24,0.00016250954241347422
KOSDAQ,ACT5,LOW30,BULL_2025,3,MOMENTUM,24,0.00015058732202857878
KOSDAQ,ACT5,LOW30,BULL_2025,3,REVISION,24,0.00022546924812418069
KOSDAQ,ACT5,LOW30,BULL_2025,3,VALUE,24,0.0008982477835634108
KOSDAQ,ACT5,LOW30,BULL_2025,4,FLOW,24,0.003310035312351099
KOSDAQ,ACT5,LOW30,BULL_2025,4,MOMENTUM,24,0.00047975021831271267
KOSDAQ,ACT5,LOW30,BULL_2025,4,REVISION,24,-0.0021783174662377215
KOSDAQ,ACT5,LOW30,BULL_2025,4,VALUE,24,0.000487830987440283
KOSDAQ,ACT5,LOW30,BULL_2025,5,FLOW,24,0.002335781488530559
KOSDAQ,ACT5,LOW30,BULL_2025,5,MOMENTUM,24,0.0024108320391763023
KOSDAQ,ACT5,LOW30,BULL_2025,5,REVISION,24,-0.0042087469281706855
KOSDAQ,ACT5,LOW30,BULL_2025,5,VALUE,24,0.0004371561793821823
KOSDAQ,ACT5,LOW30,BULL_2025,6,FLOW,24,-0.0028971970451604316
KOSDAQ,ACT5,LOW30,BULL_2025,6,MOMENTUM,24,0.0025537813578432305
KOSDAQ,ACT5,LOW30,BULL_2025,6,REVISION,24,-0.0005532680988853761
KOSDAQ,ACT5,LOW30,BULL_2025,6,VALUE,24,0.0016318741017668167
KOSDAQ,ACT5,LOW30,BULL_2025,7,FLOW,24,-0.001023159290026072
KOSDAQ,ACT5,LOW30,BULL_2025,7,MOMENTUM,24,0.0024909495871327
KOSDAQ,ACT5,LOW30,BULL_2025,7,REVISION,24,0.00043395519185455744
KOSDAQ,ACT5,LOW30,BULL_2025,7,VALUE,24,0.0010317532070842855
KOSDAQ,ACT5,LOW30,BULL_2025,8,FLOW,24,0.0026758801633424457
KOSDAQ,ACT5,LOW30,BULL_2025,8,MOMENTUM,24,0.002916542724844238
KOSDAQ,ACT5,LOW30,BULL_2025,8,REVISION,24,-0.001321914372495
KOSDAQ,ACT5,LOW30,BULL_2025,8,VALUE,24,0.0012964937096668742
KOSDAQ,ACT5,LOW30,BULL_2025,9,FLOW,24,-0.0022276575544053667
KOSDAQ,ACT5,LOW30,BULL_2025,9,MOMENTUM,24,0.0031701368544658133
KOSDAQ,ACT5,LOW30,BULL_2025,9,REVISION,24,0.00174980958633588
KOSDAQ,ACT5,LOW30,BULL_2025,9,VALUE,24,0.00016617657324662096
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,0,FLOW,96,0.0010021356546585627
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,0,MOMENTUM,96,0.0009594129291711015
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,0,REVISION,96,0.0010567501998868278
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,0,VALUE,96,0.000558136256308375
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,1,FLOW,96,-0.00026105909302020933
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,1,MOMENTUM,96,0.0013897183151909455
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,1,REVISION,96,-0.00019651498756548716
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,1,VALUE,96,0.0010238314525089804
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,2,FLOW,96,0.0005225854063719641
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,2,MOMENTUM,96,0.0010592048735271265
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,2,REVISION,96,-0.0009245952930442926
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,2,VALUE,96,0.0004121787857269557
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,3,FLOW,96,-0.00015922959567893108
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,3,MOMENTUM,96,0.0007891782929313135
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,3,REVISION,96,-0.00030976431040451185
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,3,VALUE,96,-0.00035113738191139726
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,4,FLOW,96,-0.00018003882625027232
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,4,MOMENTUM,96,0.0011458516716623339
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,4,REVISION,96,-0.00017607911214945023
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,4,VALUE,96,0.0002509220967922661
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,5,FLOW,96,0.00033273443692601257
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,5,MOMENTUM,96,0.0012778229783594363
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,5,REVISION,96,0.00017609533490792718
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,5,VALUE,96,0.0004275176087975307
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,6,FLOW,96,-0.0012658678170120949
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,6,MOMENTUM,96,-3.149380517234108e-05
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,6,REVISION,96,-0.0007110242546765063
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,6,VALUE,96,0.00042409822116591363
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,7,FLOW,96,1.6209434051407586e-05
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,7,MOMENTUM,96,0.0010149205973354525
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,7,REVISION,96,0.0009749594164957968
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,7,VALUE,96,0.0007449560632819246
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,8,FLOW,96,0.0013374330724150098
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,8,MOMENTUM,96,0.0006827243678762298
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,8,REVISION,96,-4.553096984839648e-05
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,8,VALUE,96,0.0006357775703046488
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,9,FLOW,96,0.0004994636443684711
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,9,MOMENTUM,96,0.001290512298743692
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,9,REVISION,96,0.0006665732156132262
KOSDAQ,ACT5,LOW30,EARLY_2016_2019,9,VALUE,96,0.00028039396782735654
KOSDAQ,ACT5,LOW30,LATE_2020_2022,0,FLOW,75,0.0005559274663110522
KOSDAQ,ACT5,LOW30,LATE_2020_2022,0,MOMENTUM,75,0.004025238693854866
KOSDAQ,ACT5,LOW30,LATE_2020_2022,0,REVISION,75,-0.0005798898030322514
KOSDAQ,ACT5,LOW30,LATE_2020_2022,0,VALUE,75,0.00024468645856836154
KOSDAQ,ACT5,LOW30,LATE_2020_2022,1,FLOW,74,-0.0014907797184601488
KOSDAQ,ACT5,LOW30,LATE_2020_2022,1,MOMENTUM,74,0.0022916791253519224
KOSDAQ,ACT5,LOW30,LATE_2020_2022,1,REVISION,74,0.0005311916669206159
KOSDAQ,ACT5,LOW30,LATE_2020_2022,1,VALUE,74,-0.000654310355879822
KOSDAQ,ACT5,LOW30,LATE_2020_2022,2,FLOW,74,-0.001238830115067127
KOSDAQ,ACT5,LOW30,LATE_2020_2022,2,MOMENTUM,74,-0.00033066262254673694
KOSDAQ,ACT5,LOW30,LATE_2020_2022,2,REVISION,74,-0.00014236018953448802
KOSDAQ,ACT5,LOW30,LATE_2020_2022,2,VALUE,74,-0.0008281731137815881
KOSDAQ,ACT5,LOW30,LATE_2020_2022,3,FLOW,74,-0.0005766455202002998
